Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2978,5330,24010,2465,http://data.gesis.org/claimskg/creative_work/1d19bd6f-5dec-5f60-8c4c-eb6d47e1bf2b,Nasal flu vaccines being rolled out at the same time as strep A infections have risen means there is a link.,fullfact,English,FALSE,1,,,0.0,21,en,106,106_vaccines_strep_vaccine_streptococcal
3786,6146,23295,1750,http://data.gesis.org/claimskg/creative_work/cb3236e2-b527-51b7-84af-22b2dd4593a5,Nasal flu vaccines given to children contain strep A.,fullfact,English,FALSE,1,,,0.0,9,en,106,106_vaccines_strep_vaccine_streptococcal
10840,15187,27839,6294,http://data.gesis.org/claimskg/creative_work/650542d3-e00c-5174-b4c8-3c7aa02051b3,Nasal flu vaccines are causing the increase in strep A infections and deaths in young children.,fullfact,English,FALSE,1,young children,['young children'],1.0,16,en,106,106_vaccines_strep_vaccine_streptococcal
22192,27314,21771,226,http://data.gesis.org/claimskg/creative_work/dcafb9bd-28fc-5b8b-b3d9-1e6a5f06936f,The new nasal flu vaccine is linked to strep A cases.,fullfact,English,OTHER,-1,flu vaccine,['flu vaccine'],1.0,11,en,106,106_vaccines_strep_vaccine_streptococcal
23030,28179,23539,1994,http://data.gesis.org/claimskg/creative_work/3362b9f1-3b73-59ee-8e2a-e13ee8482ddd,The live flu vaccine has been found to cause strep A.,fullfact,English,OTHER,-1,flu vaccine,['flu vaccine'],1.0,11,en,106,106_vaccines_strep_vaccine_streptococcal
38837,44282,26884,5339,http://data.gesis.org/claimskg/creative_work/4e10c821-e229-58db-8051-386436317cbc,A study published in 2014 showed a connection between children’s nasal flu vaccines and strep A infections.,fullfact,English,OTHER,-1,"children’s, flu vaccines","['children’s', ' flu vaccines']",2.0,17,en,106,106_vaccines_strep_vaccine_streptococcal
39267,44801,23763,2218,http://data.gesis.org/claimskg/creative_work/696a7564-b1c8-57cd-83b3-ba77766e41fc,"They’re using the same vaccine for strep A, Covid-19 and scarlet fever.",fullfact,English,OTHER,-1,"Covid-19, vaccine","['Covid-19', ' vaccine']",2.0,12,en,106,106_vaccines_strep_vaccine_streptococcal
39350,44884,24453,2908,http://data.gesis.org/claimskg/creative_work/cb9ea18c-fb93-5a62-9d19-b7715e20df5c,A study published in 2014 children’s nasal flu vaccines can cause strep A infections.,fullfact,English,OTHER,-1,"children’s, flu vaccines","['children’s', ' flu vaccines']",2.0,14,en,106,106_vaccines_strep_vaccine_streptococcal
39725,45261,23300,1755,http://data.gesis.org/claimskg/creative_work/89a2a14f-ef75-5ec1-bdac-795734a32150,Something has been added to the flu vaccine nasal spray causing children to get very sick or die.,fullfact,English,FALSE,1,"flu vaccine, nasal spray","['flu vaccine', ' nasal spray']",2.0,18,en,106,106_vaccines_strep_vaccine_streptococcal
46875,53053,27138,5593,http://data.gesis.org/claimskg/creative_work/461994ed-e527-56f2-9464-97dbc537a9e5,"The nasal flu vaccine given to children contains streptococcal bacteria and aluminium, and is linked to the outbreak of deaths from strep A.",fullfact,English,OTHER,-1,"aluminium, flu vaccine, streptococcal bacteria","['aluminium', ' flu vaccine', ' streptococcal bacteria']",3.0,23,en,106,106_vaccines_strep_vaccine_streptococcal
57051,63552,70777,8748,http://data.gesis.org/claimskg/creative_work/047f100f-4739-5e90-a5b4-797fbd04c19c,"The swine flu vaccine used in the U.S. contains squalene, a dangerous adjuvant.",snopes,English,False,1,"U.S., adjuvant, squalene, swine flu vaccine","['U.S.', ' adjuvant', ' squalene', ' swine flu vaccine']",4.0,13,en,106,106_vaccines_strep_vaccine_streptococcal
