Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
100,705,15537,4189,http://data.gesis.org/claimskg/creative_work/ace0a9bb-2192-5d5e-af51-fbd06c0af2fa,Masks are meant to protect the vaccinated,factcheck_afp,English,FALSE,1,,,0.0,7,en,0,0_masks_maskwearing_mask_masked
114,787,15643,4295,http://data.gesis.org/claimskg/creative_work/de74ea78-44b7-5fbb-a9e9-c2fe550428e2,Grandpa vaccinated and arrested for not wearing a mask?,factcheck_afp,English,FALSE,1,,,0.0,9,en,0,0_masks_maskwearing_mask_masked
550,2552,12401,1053,http://data.gesis.org/claimskg/creative_work/f2f3491f-f7a9-5a10-9f43-8da92379a4ea,These masks protect against the novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,7,en,0,0_masks_maskwearing_mask_masked
750,2763,43903,5076,http://data.gesis.org/claimskg/creative_work/d3158e65-c270-55eb-bf70-4cd14ef3537b,"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them.",politifact,English,False,1,,,0.0,16,en,0,0_masks_maskwearing_mask_masked
1841,3910,15186,3838,http://data.gesis.org/claimskg/creative_work/f9955185-f05e-513e-9fc8-c7d30787db4c,Non-medical masks do not prevent the transmission of coronavirus,factcheck_afp,English,FALSE,1,,,0.0,9,en,0,0_masks_maskwearing_mask_masked
3296,5652,24180,2635,http://data.gesis.org/claimskg/creative_work/74df30ba-d75f-51d4-8cac-7e089dc3e01f,The vaccines won’t allow me to stop wearing a mask.,fullfact,English,OTHER,-1,,,0.0,10,en,0,0_masks_maskwearing_mask_masked
3812,6173,23379,1834,http://data.gesis.org/claimskg/creative_work/85b86f4b-e821-5b25-a093-d2c0790d07cd,The new coronavirus is 400-500 micro and for this reason wide enough to be stopped by masks.,fullfact,English,OTHER,-1,,,0.0,17,en,0,0_masks_maskwearing_mask_masked
4812,8968,6151,6151,http://data.gesis.org/claimskg/creative_work/385d6cf3-f750-584c-ad00-7d2763e05456,"No, asymptomatic Covid patients can transmit the virus, and masks work",africacheck,English,FALSE,1,,,0.0,11,en,0,0_masks_maskwearing_mask_masked
7529,11810,62171,142,http://data.gesis.org/claimskg/creative_work/d04a8cf4-8401-5b4c-86d2-8b8f79ea212f,A photograph shows politicians flouting COVID-19 face-mask rules.,snopes,English,False,1,COVID-19,['COVID-19'],1.0,8,en,0,0_masks_maskwearing_mask_masked
7935,12233,29178,31,http://data.gesis.org/claimskg/creative_work/3ab2bbb2-5cc3-5d65-945a-2132ab681688,A meme likening the purpose of coronavirus masks to protecting from a random wild urinaters accurately describes the purpose of coronavirus mask recommendations.,truthorfiction,English,TRUE,3,coronavirus,['coronavirus'],1.0,23,en,0,0_masks_maskwearing_mask_masked
8261,12577,64440,2411,http://data.gesis.org/claimskg/creative_work/c48684ee-0dd8-5cfc-a56d-471ef36fc175,"When it comes to protecting against COVID-19 transmission, neck gaiters are worse than wearing no mask at all.",snopes,English,False,1,COVID-19,['COVID-19'],1.0,18,en,0,0_masks_maskwearing_mask_masked
9755,14096,25029,3484,http://data.gesis.org/claimskg/creative_work/5dbc6521-4ffb-5475-8903-6e94532cac5a,MPs are not following workplace Covid guidance such as wearing masks.,fullfact,English,OTHER,-1,MPs,['MPs'],1.0,11,en,0,0_masks_maskwearing_mask_masked
10032,14374,25398,3853,http://data.gesis.org/claimskg/creative_work/a33d33d1-d544-5a2f-87dc-046bc573bdd1,The label on a box of face masks says will not protect against Covid-19. Therefore it’s anti-science to wear one.,fullfact,English,OTHER,-1,face masks,['face masks'],1.0,20,en,0,0_masks_maskwearing_mask_masked
11560,15913,27502,5957,http://data.gesis.org/claimskg/creative_work/e0f03a62-7263-57a4-af5b-ff6d657db301,"Covid-19 cases were going up very rapidly in England when mask mandates were introduced in 2020, and the mandates brought them under control within weeks.",fullfact,English,OTHER,-1,mask mandates,['mask mandates'],1.0,25,en,0,0_masks_maskwearing_mask_masked
11576,15929,69856,7827,http://data.gesis.org/claimskg/creative_work/6fc8e632-af19-5e1a-bd0d-ee06effd7f84,A photograph of non-respirator ear loop mask packaging demonstrates that such masks are ineffective at protecting against the spread of COVID-19.,snopes,English,False,1,COVID-19,['COVID-19'],1.0,21,en,0,0_masks_maskwearing_mask_masked
11692,16047,70571,8542,http://data.gesis.org/claimskg/creative_work/932b2c55-9246-5135-a462-4f6e1fc22c78,Thieves are exploiting the coronavirus pandemic by dousing masks in chemicals that render people unconscious and then robbing them.,snopes,English,False,1,coronavirus pandemic,['coronavirus pandemic'],1.0,19,en,0,0_masks_maskwearing_mask_masked
12742,17109,53900,6030,http://data.gesis.org/claimskg/creative_work/5c501908-52da-501b-960d-18551b17685f,"For mitigating COVID-19 spread, masks (are) the number one way to do so.",politifact,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,13,en,0,0_masks_maskwearing_mask_masked
13045,17415,43543,4716,http://data.gesis.org/claimskg/creative_work/5f746e04-a4f6-5002-b328-dae054c738c2,I don’t believe the science suggests that young people should be vaccinated. I don’t believe that young people should have to wear masks at school. I’m not sure the science is settled on that at all.,politifact,English,False,1,wear masks,['wear masks'],1.0,36,en,0,0_masks_maskwearing_mask_masked
13402,17777,43286,4459,http://data.gesis.org/claimskg/creative_work/9125328b-bdac-5eb7-847c-ead8034df14a,"Canada has just criminalized all CV19 measures requiring masks, distancing, quarantining & vaccines.",politifact,English,False,1,Canada,['Canada'],1.0,13,en,0,0_masks_maskwearing_mask_masked
14685,19069,46945,8118,http://data.gesis.org/claimskg/creative_work/f0312a82-1e8e-5de7-aeed-7ee5b9bf5712,The coronavirus can’t be so dangerous because there are no biohazard bins for COVID-19 masks and gloves.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,17,en,0,0_masks_maskwearing_mask_masked
16100,20544,60296,2136,http://data.gesis.org/claimskg/creative_work/03a839fc-5c7d-53cc-a790-ce2cc03a2670,"During the 1918 flu pandemic, a newspaper advised readers to Wear your masks, take no chances.",snopes,English,True,3,1918 flu pandemic,['1918 flu pandemic'],1.0,16,en,0,0_masks_maskwearing_mask_masked
17455,21965,40665,1838,http://data.gesis.org/claimskg/creative_work/2db0c45f-42b6-5779-9b09-aea85bee54de,Says the CDC recommends men shave their beards to protect against coronavirus.,politifact,English,False,1,CDC,['CDC'],1.0,12,en,0,0_masks_maskwearing_mask_masked
17872,22389,37332,1020,http://data.gesis.org/claimskg/creative_work/60820254-96e5-581a-aa93-5ad51e0ec820,"Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.",politifact,English,True,3,OSHA,['OSHA'],1.0,32,en,0,0_masks_maskwearing_mask_masked
18199,22718,39207,380,http://data.gesis.org/claimskg/creative_work/ac68b8d0-11ca-5657-a6f4-9cdb51b76a37,"Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.",politifact,English,False,1,Texas,['Texas'],1.0,18,en,0,0_masks_maskwearing_mask_masked
19862,24786,15023,3675,http://data.gesis.org/claimskg/creative_work/0a3c2d8b-11c7-52aa-aa93-1556a8842361,Maskless people in Hong Kong gym during pandemic,factcheck_afp,English,FALSE,1,Hong Kong,['Hong Kong'],1.0,8,en,0,0_masks_maskwearing_mask_masked
20354,25286,15359,4011,http://data.gesis.org/claimskg/creative_work/0bf7dfd6-091a-58a6-bd5a-e73979cfa958,Face masks without VFE label cannot be used for protection against Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,12,en,0,0_masks_maskwearing_mask_masked
20513,25450,15100,3752,http://data.gesis.org/claimskg/creative_work/08f5ab68-5719-59d6-a21e-7d3d5568fafe,Masks caused second Covid surge in South Africa,factcheck_afp,English,FALSE,1,South Africa,['South Africa'],1.0,8,en,0,0_masks_maskwearing_mask_masked
21114,26094,16946,5598,http://data.gesis.org/claimskg/creative_work/13ebaacd-9bab-5785-8d62-7f2d6d5f6cda,Face masks don't protect from COVID-19,factcheck_afp,English,FALSE,1,COVID-19,['COVID-19'],1.0,6,en,0,0_masks_maskwearing_mask_masked
22213,27336,21816,271,http://data.gesis.org/claimskg/creative_work/22ed4218-359e-5d8d-9e75-73cb6451c954,The risk of transmitting Covid-19 from an unmasked person to an unmasked person is 90%. From an unmasked person to a masked person it is 30%. From a masked person to an unmasked person it is 5%. From a masked person to a masked person it is 1.5%.,fullfact,English,TRUE,3,30%,['30%'],1.0,48,en,0,0_masks_maskwearing_mask_masked
22413,27545,23792,2247,http://data.gesis.org/claimskg/creative_work/42d41a3a-10da-532f-bb1f-d9d540ed0f87,Surgical masks offer no protection against Covid-19 and are no good.,fullfact,English,OTHER,-1,Surgical masks,['Surgical masks'],1.0,11,en,0,0_masks_maskwearing_mask_masked
22623,27760,25,25,http://data.gesis.org/claimskg/creative_work/2849cde7-db70-53a2-bfba-634d40880aa2,"No, Covid-19 virus 'not confirmed as airborne' – and ‘everyone required to wear a mask everywhere’ not official advice",africacheck,English,FALSE,1,Covid-19 virus,['Covid-19 virus'],1.0,19,en,0,0_masks_maskwearing_mask_masked
22742,27885,11955,607,http://data.gesis.org/claimskg/creative_work/3a5f4791-47e6-5b2a-9b3d-8972be40448a,Stanford study found masks are ineffective to block transmission of Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,11,en,0,0_masks_maskwearing_mask_masked
22819,27965,23297,1752,http://data.gesis.org/claimskg/creative_work/33b027b7-e851-567b-b4c8-21339969caf4,The masks they give to hospital staff and in schools say they do not protect against Covid-19.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,17,en,0,0_masks_maskwearing_mask_masked
24118,29374,45125,6298,http://data.gesis.org/claimskg/creative_work/7a5129f9-6308-55dd-8e94-a96099491d26,"N95 masks block few, if any COVID-19 particles due to their size.",politifact,English,False,1,"COVID-19, N95","['COVID-19', ' N95']",2.0,12,en,0,0_masks_maskwearing_mask_masked
24420,29676,44942,6115,http://data.gesis.org/claimskg/creative_work/9eec54da-b49e-50c3-b94f-42f1b33ac880,Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks everywhere.,politifact,English,False,1,"COVID-19, wear masks","['COVID-19', ' wear masks']",2.0,19,en,0,0_masks_maskwearing_mask_masked
24474,29730,11614,266,http://data.gesis.org/claimskg/creative_work/167372fc-9eab-5d0c-b3d4-d34179892641,Virus that causes Covid-19 cannot be blocked by face masks,factcheck_afp,English,FALSE,1,"Covid-19, face masks","['Covid-19', ' face masks']",2.0,10,en,0,0_masks_maskwearing_mask_masked
24774,30031,44196,5369,http://data.gesis.org/claimskg/creative_work/d653c851-fe3b-5081-b5f0-3220737cd09e,OSHA says masks don't work to reduce COVID-19 transmission and violate OSHA oxygen levels.,politifact,English,False,1,"COVID-19, OSHA","['COVID-19', ' OSHA']",2.0,14,en,0,0_masks_maskwearing_mask_masked
24972,30230,7037,799,http://data.gesis.org/claimskg/creative_work/7f50db6a-a597-5baf-be26-dfc795aa4430,A post shared on Facebook claims the Centers for Disease Control and Prevention (CDC) recommended wearing only certain beard styles to help prevent the spread of the Coronavirus.,checkyourfact,English,FALSE,1,"Facebook, spread of the Coronavirus","['Facebook', ' spread of the Coronavirus']",2.0,28,en,0,0_masks_maskwearing_mask_masked
26335,31601,51923,4053,http://data.gesis.org/claimskg/creative_work/2cd855c6-c704-5b4a-a85c-8cacd0a6bf96,"Arizona Department of Education gives green light on face mask and vaccine mandates, as well as implementing Critical (Race) Theory.",politifact,English,MIXTURE,2,"Arizona Department of Education, vaccine mandates","['Arizona Department of Education', ' vaccine mandates']",2.0,20,en,0,0_masks_maskwearing_mask_masked
27139,32409,50574,2704,http://data.gesis.org/claimskg/creative_work/2d23442f-3d0e-5e48-bc80-748a8e3bacec,There’s a direct correlation between North Carolina’s mask requirement and COVID-19 stabilization.,politifact,English,MIXTURE,2,"COVID-19, North Carolina","['COVID-19', ' North Carolina']",2.0,12,en,0,0_masks_maskwearing_mask_masked
27820,33096,45417,6590,http://data.gesis.org/claimskg/creative_work/10b9cb8f-f0ff-55ba-b3c1-3da5b9405203,Wearing masks is COVID theater and not doing anything.,politifact,English,False,1,"COVID, Wearing masks","['COVID', ' Wearing masks']",2.0,9,en,0,0_masks_maskwearing_mask_masked
28787,34072,11340,226,http://data.gesis.org/claimskg/creative_work/f6e9f688-ab2e-5e48-b8e1-428d2af07596,Corona masks are recommended everywhere else but in Finland,eufactcheck,English,FALSE,1,"Corona, Finland","['Corona', ' Finland']",2.0,9,en,0,0_masks_maskwearing_mask_masked
29944,35240,68109,6080,http://data.gesis.org/claimskg/creative_work/cd9446c9-02ce-57f9-b97f-33c1c6694734,An image shows the official COVID-19 series of NFL helmets.,snopes,English,False,1,"COVID-19, NFL","['COVID-19', ' NFL']",2.0,10,en,0,0_masks_maskwearing_mask_masked
29947,35243,68101,6072,http://data.gesis.org/claimskg/creative_work/f963d8ae-fbb5-5438-8854-24c1f7831496,Wearing a mask to prevent the spread of COVID-19 is unnecessary because the disease can also be spread via farts.,snopes,English,False,1,"Wearing a mask, prevent the spread of COVID-19","['Wearing a mask', ' prevent the spread of COVID-19']",2.0,20,en,0,0_masks_maskwearing_mask_masked
30849,36152,520,520,http://data.gesis.org/claimskg/creative_work/5b4d260f-aa46-5bb0-854f-69c0464b5606,"Danish doctor accurately quoted on masks and Covid-19, but graphic misleading",africacheck,English,FALSE,1,"Covid-19, Danish","['Covid-19', ' Danish']",2.0,11,en,0,0_masks_maskwearing_mask_masked
32063,37378,74009,2723,http://data.gesis.org/claimskg/creative_work/d48c62b3-7b6c-5ab9-8071-209bdf65d6a7,A chart accurately shows the effectiveness of wearing face masks during the COVID-19 pandemic.,snopes,English,MIXTURE,2,"COVID-19 pandemic, wearing face masks","['COVID-19 pandemic', ' wearing face masks']",2.0,14,en,0,0_masks_maskwearing_mask_masked
32333,37649,73653,2367,http://data.gesis.org/claimskg/creative_work/000d02a0-9e75-5086-a364-d7217e9d688b,U.S. Surgeon General Jerome Adams has said that the general public should not wear or buy masks to protect against the spread of the COVID-19 coronavirus disease.,snopes,English,MIXTURE,2,"COVID-19 coronavirus, general public","['COVID-19 coronavirus', ' general public']",2.0,27,en,0,0_masks_maskwearing_mask_masked
32417,37735,60494,2334,http://data.gesis.org/claimskg/creative_work/60798c51-dad9-59c0-abd7-01a0bc1c9a71,"In an interview with Today, Dr. Anthony Fauci said that two masks are better than one when it comes to slowing the spread of COVID-19.",snopes,English,True,3,"Dr. Anthony Fauci, spread of COVID-19","['Dr. Anthony Fauci', ' spread of COVID-19']",2.0,25,en,0,0_masks_maskwearing_mask_masked
32704,38024,5624,5624,http://data.gesis.org/claimskg/creative_work/f77ff29c-0f38-5149-a0a8-63820ec7111f,"Yes, France’s face veil ban remains, despite face mask order to control Covid-19",africacheck,English,TRUE,3,"Covid-19, France","['Covid-19', ' France']",2.0,13,en,0,0_masks_maskwearing_mask_masked
32923,38243,61753,3593,http://data.gesis.org/claimskg/creative_work/bb5b58bf-4402-5a19-af17-6e73e816e80e,Michigan Gov. Gretchen Whitmer violated her own COVID-19 restrictions by visiting a bar and sitting at a table with a group of a dozen people.,snopes,English,True,3,"COVID-19 restrictions, Michigan","['COVID-19 restrictions', ' Michigan']",2.0,25,en,0,0_masks_maskwearing_mask_masked
33276,38599,6373,135,http://data.gesis.org/claimskg/creative_work/ef331e96-b7eb-56a3-964f-d2e83e8bd636,"A post shared on Facebook claims not a single politician has died, lost their job or worn a mask during the COVID-19 pandemic.",checkyourfact,English,FALSE,1,"COVID-19 pandemic, Facebook","['COVID-19 pandemic', ' Facebook']",2.0,23,en,0,0_masks_maskwearing_mask_masked
36145,41499,15276,3928,http://data.gesis.org/claimskg/creative_work/b5b66f2d-c8fa-5f31-a004-188e2a2729f4,Florida has no restrictions or mask mandate and does not have a spike in Covid-19 cases or deaths,factcheck_afp,English,MIXTURE,2,"Covid-19, Florida","['Covid-19', ' Florida']",2.0,18,en,0,0_masks_maskwearing_mask_masked
37084,42485,16150,4802,http://data.gesis.org/claimskg/creative_work/5d66f889-7da0-5398-a2da-57aaab13e82d,"Several claims about Covid-19 including face masks, vaccines and unapproved treatments",factcheck_afp,English,MIXTURE,2,"Covid-19, face masks","['Covid-19', ' face masks']",2.0,11,en,0,0_masks_maskwearing_mask_masked
37235,42642,16556,5208,http://data.gesis.org/claimskg/creative_work/5aa0f8eb-f186-51a4-a96f-48410c505410,Fauci email is evidence that face masks are ineffective against Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, face masks","['Covid-19', ' face masks']",2.0,11,en,0,0_masks_maskwearing_mask_masked
37304,42716,35071,2821,http://data.gesis.org/claimskg/creative_work/af57ed01-2a3c-51ac-8434-43baa1eaa02d,Face Masks Alone Can Help In Preventing COVID-19,Vishvanews,English,MIXTURE,2,"COVID-19, Masks","['COVID-19', ' Masks']",2.0,8,en,0,0_masks_maskwearing_mask_masked
37483,42902,13805,2457,http://data.gesis.org/claimskg/creative_work/37daa310-bcf2-5a6a-90d1-3568eff89bc0,Manitoba said masks will not prevent spread of Covid-19,factcheck_afp,English,OTHER,-1,"Covid-19, Manitoba","['Covid-19', ' Manitoba']",2.0,9,en,0,0_masks_maskwearing_mask_masked
37746,43167,40300,1473,http://data.gesis.org/claimskg/creative_work/51fc01c5-6a0f-5bad-af2a-26f81d353924,Wearing masks has not been demonstrated to make a significant impact in preventing the spread of COVID.,politifact,English,False,1,"COVID, Wearing masks","['COVID', ' Wearing masks']",2.0,17,en,0,0_masks_maskwearing_mask_masked
37798,43219,13613,2265,http://data.gesis.org/claimskg/creative_work/9531a43d-f785-59ed-b64b-372312223a13,Accurate graphic over effectiveness of face masks in curbing the spread of COVID-19,factcheck_afp,English,FALSE,1,"effectiveness of face masks, spread of COVID-19","['effectiveness of face masks', ' spread of COVID-19']",2.0,13,en,0,0_masks_maskwearing_mask_masked
37833,43255,13472,2124,http://data.gesis.org/claimskg/creative_work/74a40e01-a6d7-5d66-a66b-4bcf599734d2,CDC issued facial hair recommendations to protect from novel coronavirus,factcheck_afp,English,MIXTURE,2,"CDC, facial hair","['CDC', ' facial hair']",2.0,10,en,0,0_masks_maskwearing_mask_masked
37976,43401,13765,2417,http://data.gesis.org/claimskg/creative_work/853ae11c-5224-5443-a992-e9d8fc8065fb,Graphics show the exact probability of COVID-19 carriers spreading the disease if they or another person wears a mask,factcheck_afp,English,MIXTURE,2,"COVID-19, spreading the disease","['COVID-19', ' spreading the disease']",2.0,19,en,0,0_masks_maskwearing_mask_masked
38011,43436,40098,1271,http://data.gesis.org/claimskg/creative_work/e3d4e942-c0f8-540b-bcde-93d28b63c27f,"If you are licensed to carry a concealed weapon, wearing a face covering for coronavirus removes your conceal carry ability.",politifact,English,False,1,"carry a concealed weapon, face covering","['carry a concealed weapon', ' face covering']",2.0,20,en,0,0_masks_maskwearing_mask_masked
38104,43531,14651,3303,http://data.gesis.org/claimskg/creative_work/7bb47e38-d382-5654-a407-c14296c850ce,Steaming face masks makes them reusable during coronavirus outbreak,factcheck_afp,English,FALSE,1,"coronavirus outbreak, face masks","['coronavirus outbreak', ' face masks']",2.0,9,en,0,0_masks_maskwearing_mask_masked
38305,43735,14820,3472,http://data.gesis.org/claimskg/creative_work/d8646410-d1b6-58ca-826e-55574790abba,Wearing masks won’t prevent coronavirus,factcheck_afp,English,FALSE,1,"Wearing masks, coronavirus","['Wearing masks', ' coronavirus']",2.0,5,en,0,0_masks_maskwearing_mask_masked
38564,44004,14148,2800,http://data.gesis.org/claimskg/creative_work/afcd43f2-f6cf-5fbd-979e-79a3a0211325,People should not be concerned about others not wearing face masks during the coronavirus crisis as long as their own mask works,factcheck_afp,English,FALSE,1,"coronavirus crisis, wearing face masks","['coronavirus crisis', ' wearing face masks']",2.0,22,en,0,0_masks_maskwearing_mask_masked
38866,44311,27206,5661,http://data.gesis.org/claimskg/creative_work/f86408d5-456c-573b-bc65-41be851aa4aa,Face masks are useless at stopping Covid-19 because the gaps in them are larger than a Covid-19 viral particle.,fullfact,English,OTHER,-1,"Face masks, viral particle","['Face masks', ' viral particle']",2.0,19,en,0,0_masks_maskwearing_mask_masked
39257,44791,23583,2038,http://data.gesis.org/claimskg/creative_work/aa3e7c8f-b3ec-5e78-b368-5c39d122c513,"Mask-wearing cuts Covid incidence by 53%, says global study.",fullfact,English,OTHER,-1,"Mask-wearing, global study","['Mask-wearing', ' global study']",2.0,9,en,0,0_masks_maskwearing_mask_masked
39399,44934,24805,3260,http://data.gesis.org/claimskg/creative_work/e4c49127-db17-56f9-84da-ab6af8a8fedd,FFP3 respirators provide 99% protection against Covid-19.,fullfact,English,FALSE,1,"Covid-19, FFP3","['Covid-19', ' FFP3']",2.0,7,en,0,0_masks_maskwearing_mask_masked
39928,45541,31342,2195,http://data.gesis.org/claimskg/creative_work/c162c37e-7d5c-5974-960f-a8dc5c24293c,The recommendation to wear masks to prevent COVID-19 has been debunked.,truthorfiction,English,FALSE,1,"COVID-19, wear masks","['COVID-19', ' wear masks']",2.0,11,en,0,0_masks_maskwearing_mask_masked
40760,46610,30303,1156,http://data.gesis.org/claimskg/creative_work/aa408897-2233-5a1c-9d94-ecf52a78d7a0,Use of masks to combat the spread of COVID-19 has transformed the United States into an obedient socialist country.,truthorfiction,English,FALSE,1,"COVID-19, United States","['COVID-19', ' United States']",2.0,19,en,0,0_masks_maskwearing_mask_masked
40924,46801,41879,3052,http://data.gesis.org/claimskg/creative_work/dc3800a7-e0bc-525a-b3b0-a37e2dafcaa2,Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.,politifact,English,False,1,"disposable masks, spread of COVID-19","['disposable masks', ' spread of COVID-19']",2.0,22,en,0,0_masks_maskwearing_mask_masked
41017,46896,43563,4736,http://data.gesis.org/claimskg/creative_work/d810ff58-a2a1-5234-87a5-b48fb00743e5,"Wearing masks for the coronavirus decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.",politifact,English,False,1,"Wearing masks, coronavirus","['Wearing masks', ' coronavirus']",2.0,23,en,0,0_masks_maskwearing_mask_masked
41128,47008,13377,2029,http://data.gesis.org/claimskg/creative_work/acf905b5-21f9-57c6-b2eb-87b2a76da94b,Drywall dust penetration means face masks are ineffective against the coronavirus,factcheck_afp,English,FALSE,1,"Drywall, face masks","['Drywall', ' face masks']",2.0,11,en,0,0_masks_maskwearing_mask_masked
41565,47452,12301,953,http://data.gesis.org/claimskg/creative_work/41163d4e-089b-59bd-8e16-f78cf4b1a2d7,Philippine department of health releases guideline on appropriate COVID-19 face shields,factcheck_afp,English,FALSE,1,"COVID-19, Philippine department","['COVID-19', ' Philippine department']",2.0,11,en,0,0_masks_maskwearing_mask_masked
41619,47507,12575,1227,http://data.gesis.org/claimskg/creative_work/8f1b46a5-ab69-569a-8c00-2da1a42395de,Children should not wear masks or be vaccinated against Covid-19,factcheck_afp,English,MIXTURE,2,"Covid-19, wear masks","['Covid-19', ' wear masks']",2.0,10,en,0,0_masks_maskwearing_mask_masked
41822,47714,12064,716,http://data.gesis.org/claimskg/creative_work/57aad1e9-a8d9-5525-907b-14fba95c2eeb,"CDC gives contradictory mask advice for fires, Covid-19",factcheck_afp,English,MIXTURE,2,"CDC, Covid-19","['CDC', ' Covid-19']",2.0,8,en,0,0_masks_maskwearing_mask_masked
41985,47882,42025,3198,http://data.gesis.org/claimskg/creative_work/fa2b4fc2-1bf4-5ec2-b6dd-3b2fdf2ad603,There’s a ‘positive correlation’ between higher mask usage and COVID-19 deaths.,politifact,English,False,1,"COVID-19 deaths, mask usage","['COVID-19 deaths', ' mask usage']",2.0,11,en,0,0_masks_maskwearing_mask_masked
42575,48498,46420,7593,http://data.gesis.org/claimskg/creative_work/39699bf7-1c1d-5ab3-918d-8837a64253ea,An email from Dr. Anthony Fauci shows everyone was lied to about wearing masks to prevent the spread of COVID-19.,politifact,English,False,1,"Dr. Anthony Fauci, prevent the spread of COVID-19, wearing masks","['Dr. Anthony Fauci', ' prevent the spread of COVID-19', ' wearing masks']",3.0,20,en,0,0_masks_maskwearing_mask_masked
42936,48884,30692,1545,http://data.gesis.org/claimskg/creative_work/73d4c605-15db-5aaf-899a-119b8bd2beaf,MIchigan Gov. Gretchen Whitmer took a vacation in Florida despite advising residents not to do so amid the spread of COVID-19.,truthorfiction,English,FALSE,1,"COVID, Florida, Gov. Gretchen Whitmer","['COVID', ' Florida', ' Gov. Gretchen Whitmer']",3.0,21,en,0,0_masks_maskwearing_mask_masked
43374,49361,30548,1401,http://data.gesis.org/claimskg/creative_work/7b33342a-f7e1-58d4-815c-56d54c1e62a9,An OSHA-certified official has claimed that the use of facial coverings to stop the spread of COVID-19 is worse than wearing nothing.,truthorfiction,English,FALSE,1,"OSHA, facial coverings, spread of COVID-19","['OSHA', ' facial coverings', ' spread of COVID-19']",3.0,22,en,0,0_masks_maskwearing_mask_masked
43503,49499,31194,2047,http://data.gesis.org/claimskg/creative_work/ed1922b7-2904-5c47-977a-c69d3101a676,New evidence shows that wearing a face mask can help coronavirus enter the brain and pose more health risk.,truthorfiction,English,FALSE,1,"coronavirus, health risk, wearing a face mask","['coronavirus', ' health risk', ' wearing a face mask']",3.0,19,en,0,0_masks_maskwearing_mask_masked
43570,49578,65566,3537,http://data.gesis.org/claimskg/creative_work/f77f4f51-da12-52cd-a541-26ff4cbc2b59,Photographs depict persons who developed staph infections from wearing masks to prevent the spread of COVID-19.,snopes,English,False,1,"prevent the spread of COVID-19, staph infections, wearing masks","['prevent the spread of COVID-19', ' staph infections', ' wearing masks']",3.0,16,en,0,0_masks_maskwearing_mask_masked
44160,50206,10894,4656,http://data.gesis.org/claimskg/creative_work/ad68ece7-2f10-52cf-8a44-8cbd626b3692,An image shared on Facebook purportedly shows Democratic presidential nominee Joe Biden not wearing a face mask on an airplane during the COVID-19 pandemic.,checkyourfact,English,FALSE,1,"COVID-19 pandemic, Facebook, Joe Biden","['COVID-19 pandemic', ' Facebook', ' Joe Biden']",3.0,24,en,0,0_masks_maskwearing_mask_masked
44411,50459,16746,5398,http://data.gesis.org/claimskg/creative_work/efdcd76d-b0dd-5387-ad0d-03cc3e532916,WHO does not recommend the public wear masks during COVID-19 pandemic,factcheck_afp,English,FALSE,1,"COVID-19 pandemic, WHO, wear masks","['COVID-19 pandemic', ' WHO', ' wear masks']",3.0,11,en,0,0_masks_maskwearing_mask_masked
44787,50839,17036,5688,http://data.gesis.org/claimskg/creative_work/69310a9c-d052-5974-a053-1ada49c820a5,Healthy people should not wear face masks during the COVID-19 pandemic because they are ineffective and dangerous,factcheck_afp,English,MIXTURE,2,"COVID, Healthy people, wear face masks","['COVID', ' Healthy people', ' wear face masks']",3.0,17,en,0,0_masks_maskwearing_mask_masked
45056,51145,32590,340,http://data.gesis.org/claimskg/creative_work/32373711-cc0a-5dee-b245-5c88c653116e,Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry - UNICEF,Vishvanews,English,FALSE,1,"COVID-19, Coronavirus, UNICEF","['COVID-19', ' Coronavirus', ' UNICEF']",3.0,25,en,0,0_masks_maskwearing_mask_masked
