Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
20552,25489,15940,4592,http://data.gesis.org/claimskg/creative_work/252e7b59-a4a2-50cb-acf6-434725092361,South Korean president’s son violates pandemic restrictions,factcheck_afp,English,FALSE,1,South Korean president,['South Korean president'],1.0,7,en,100,100_vaccine_vaccination_vaccines_vaccinations
20830,25776,17427,6079,http://data.gesis.org/claimskg/creative_work/9710c927-d078-599d-8248-a4ab078da55c,Two medical ethic codes give people the right to refuse vaccines in South Korea,factcheck_afp,English,FALSE,1,South Korea,['South Korea'],1.0,14,en,100,100_vaccine_vaccination_vaccines_vaccinations
37100,42501,16286,4938,http://data.gesis.org/claimskg/creative_work/911c74c8-4eb4-545f-8fc1-abbdbdfa386c,A hundred 'flu vaccine deaths' in South Korea,factcheck_afp,English,FALSE,1,"South Korea, flu vaccine","['South Korea', ' flu vaccine']",2.0,8,en,100,100_vaccine_vaccination_vaccines_vaccinations
37292,42702,16633,5285,http://data.gesis.org/claimskg/creative_work/3d2df8fe-f0c9-5a5f-941d-8d741c417fb4,South Korea PM warns anyone who refuses to receive Covid-19 vaccinations will be arrested,factcheck_afp,English,FALSE,1,"Covid-19, South Korea","['Covid-19', ' South Korea']",2.0,14,en,100,100_vaccine_vaccination_vaccines_vaccinations
37840,43262,13479,2131,http://data.gesis.org/claimskg/creative_work/b42672fa-e085-5532-b4bc-aa97f92cfd43,Unvaccinated voters will be barred from South Korea's next presidential election,factcheck_afp,English,FALSE,1,"South Korea, presidential election","['South Korea', ' presidential election']",2.0,11,en,100,100_vaccine_vaccination_vaccines_vaccinations
44448,50498,12848,1500,http://data.gesis.org/claimskg/creative_work/100a3f3b-142b-5e9c-8727-3b3b172775c0,Singapore halts the rollout of influenza vaccination due to deaths in South Korea,factcheck_afp,English,FALSE,1,"Singapore, South Korea, influenza vaccination","['Singapore', ' South Korea', ' influenza vaccination']",3.0,13,en,100,100_vaccine_vaccination_vaccines_vaccinations
46716,52894,11586,238,http://data.gesis.org/claimskg/creative_work/8d23ca05-84cc-5f39-ba93-41fb3183b81e,South Korea classifies Covid-19 infections among double-vaccinated people as unvaccinated infections,factcheck_afp,English,FALSE,1,"Covid-19, South Korea, vaccinated people","['Covid-19', ' South Korea', ' vaccinated people']",3.0,11,en,100,100_vaccine_vaccination_vaccines_vaccinations
51087,57466,15396,4048,http://data.gesis.org/claimskg/creative_work/e91d1534-1a38-54db-8967-9c2f6ca81f3a,Korean health authorities admitted Covid-19 is the common cold,factcheck_afp,English,FALSE,1,"Covid-19, Korean, common cold","['Covid-19', ' Korean', ' common cold']",3.0,9,en,100,100_vaccine_vaccination_vaccines_vaccinations
53290,59679,14672,3324,http://data.gesis.org/claimskg/creative_work/51036b9b-78b7-54ad-8934-092acc9774e4,Only South Koreans have Covid-19 antibodies,factcheck_afp,English,FALSE,1,"Covid-19, South Koreans, antibodies","['Covid-19', ' South Koreans', ' antibodies']",3.0,6,en,100,100_vaccine_vaccination_vaccines_vaccinations
54377,60779,16419,5071,http://data.gesis.org/claimskg/creative_work/a074b76b-0fa3-5400-ab7a-8001194354c9,The free Covid-19 vaccines South Korea plans to offer will be from Celltrion.,factcheck_afp,English,FALSE,1,"Celltrion, Covid-19 vaccines, South Korea","['Celltrion', ' Covid-19 vaccines', ' South Korea']",3.0,13,en,100,100_vaccine_vaccination_vaccines_vaccinations
56920,63420,14287,2939,http://data.gesis.org/claimskg/creative_work/e673045a-addd-5786-880c-6f17d041f335,"Kim Kyoung-soo, governor of South Korea’s South Gyeongsang province, receives a Covid-19 vaccine shot on his jacket",factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Kim Kyoung-soo, South Gyeongsang province, South Korea","['Covid-19 vaccine', ' Kim Kyoung-soo', ' South Gyeongsang province', ' South Korea']",4.0,17,en,100,100_vaccine_vaccination_vaccines_vaccinations
61570,68284,74857,510,http://data.gesis.org/claimskg/creative_work/875c2f85-0a1e-5cc6-bd2a-e99218bf7f38,North Korea leader Kim Jong Un ordered his country's first COVID-19 patient to be shot dead.,snopes,English,OTHER,-1,"COVID-19, Kim Jong Un, North Korea, shot dead","['COVID-19', ' Kim Jong Un', ' North Korea', ' shot dead']",4.0,16,en,100,100_vaccine_vaccination_vaccines_vaccinations
