Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2277,4360,39183,356,http://data.gesis.org/claimskg/creative_work/25e80d29-be91-52fa-89a9-e9a67033ba62,The number of coronavirus deaths is almost nothing.,politifact,English,False,1,,,0.0,8,en,101,101_covid_covid19_coronavirus_hospitalized
2442,4532,26753,5208,http://data.gesis.org/claimskg/creative_work/96fdba68-17f6-5427-b428-09258960cd96,There were no new daily Covid-19 cases reported in several UK nations and regions on April 29.,fullfact,English,FALSE,1,,,0.0,17,en,101,101_covid_covid19_coronavirus_hospitalized
2593,4683,22082,537,http://data.gesis.org/claimskg/creative_work/b1b6e5a4-8686-5d7d-b1b8-333bb33c1c60,A quarter of Covid-19 deaths were not caused by the virus.,fullfact,English,TRUE,3,,,0.0,11,en,101,101_covid_covid19_coronavirus_hospitalized
11779,16134,44665,5838,http://data.gesis.org/claimskg/creative_work/2db7bb7f-3ad9-59a1-b233-8d90a8d7bbff,Says no one has died from the coronavirus in the United States.,politifact,English,False,1,United States,['United States'],1.0,12,en,101,101_covid_covid19_coronavirus_hospitalized
12345,16707,46240,7413,http://data.gesis.org/claimskg/creative_work/f42d29d8-502a-5b80-9162-13cf42eb496a,Jamaica has not recorded any case of the coronavirus.,politifact,English,False,1,Jamaica,['Jamaica'],1.0,9,en,101,101_covid_covid19_coronavirus_hospitalized
14330,18712,47198,8371,http://data.gesis.org/claimskg/creative_work/2c2659cd-3123-5f79-9783-f23bb32d4268,No one has been hospitalized for the omicron variant of COVID-19.,politifact,English,False,1,variant of COVID-19,['variant of COVID-19'],1.0,11,en,101,101_covid_covid19_coronavirus_hospitalized
22446,27579,23744,2199,http://data.gesis.org/claimskg/creative_work/973a3fd2-4244-53f3-8d2c-401a34ee96e5,There were no Covid-19 deaths in Ireland in August.,fullfact,English,FALSE,1,Ireland,['Ireland'],1.0,9,en,101,101_covid_covid19_coronavirus_hospitalized
26191,31456,46038,7211,http://data.gesis.org/claimskg/creative_work/81aae920-4954-557a-9c7f-abdfea710a0a,There is no discernible difference between the spread and deaths of COVID in Virginia than there is in Florida.,politifact,English,False,1,"Florida, Virginia","['Florida', ' Virginia']",2.0,19,en,101,101_covid_covid19_coronavirus_hospitalized
32888,38208,4989,4989,http://data.gesis.org/claimskg/creative_work/7b6828de-78d8-548a-9471-14b4a08f2495,No single Covid-19 research has been sponsored in Nigeria.,africacheck,English,OTHER,-1,"Covid-19, Nigeria","['Covid-19', ' Nigeria']",2.0,9,en,101,101_covid_covid19_coronavirus_hospitalized
39423,44958,24221,2676,http://data.gesis.org/claimskg/creative_work/b2775b3a-2391-5d7d-943a-c975e818f6b4,The NHS was not overwhelmed during Covid-19.,fullfact,English,TRUE,3,"Covid-19, NHS","['Covid-19', ' NHS']",2.0,7,en,101,101_covid_covid19_coronavirus_hospitalized
42338,48240,41706,2879,http://data.gesis.org/claimskg/creative_work/59159ec9-a743-57f1-9f68-5124572ba6f4,There are absolutely no patients at Los Angeles hospital considered the center of region's COVID-19 surge.,politifact,English,False,1,"COVID-19, Los Angeles","['COVID-19', ' Los Angeles']",2.0,16,en,101,101_covid_covid19_coronavirus_hospitalized
58626,65154,75084,737,http://data.gesis.org/claimskg/creative_work/7f6d8575-5d6f-5f7a-90ab-b3d402dc2887,"As of early December 2021, no one worldwide who tested positive for the omicron variant of the coronavirus had died.",snopes,English,OTHER,-1,"coronavirus, early December, omicron variant, tested positive","['coronavirus', ' early December', ' omicron variant', ' tested positive']",4.0,20,en,101,101_covid_covid19_coronavirus_hospitalized
