Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
30451,35750,2851,2851,http://data.gesis.org/claimskg/creative_work/f4108bc7-a8c8-5a2c-8163-14ca7ca0b882,"No evidence ibuprofen makes Covid-19 worse, say experts",africacheck,English,FALSE,1,"Covid-19, ibuprofen","['Covid-19', ' ibuprofen']",2.0,8,en,102,102_ibuprofen_covid19_anticoagulants_infection
36303,41667,36242,3992,http://data.gesis.org/claimskg/creative_work/77f06b5c-d9d0-5202-8b2d-b396458652ef,Over-the-counter self-medications to treat COVID-19,Vishvanews,English,MIXTURE,2,"COVID-19, medications","['COVID-19', ' medications']",2.0,5,en,102,102_ibuprofen_covid19_anticoagulants_infection
38967,44412,22429,884,http://data.gesis.org/claimskg/creative_work/55b8cc19-8799-51b4-b998-4308ee5fd932,People with Covid-19 should not take ibuprofen,fullfact,English,OTHER,-1,"Covid-19, ibuprofen","['Covid-19', ' ibuprofen']",2.0,7,en,102,102_ibuprofen_covid19_anticoagulants_infection
39319,44853,24717,3172,http://data.gesis.org/claimskg/creative_work/747383dc-8186-5d8d-a52d-01551982aba7,Antibiotics should be used to fight Covid-19.,fullfact,English,TRUE,3,"Antibiotics, Covid-19","['Antibiotics', ' Covid-19']",2.0,7,en,102,102_ibuprofen_covid19_anticoagulants_infection
39584,45119,22771,1226,http://data.gesis.org/claimskg/creative_work/66cc42a3-db63-55a5-9369-30d90e17ef99,Anticoagulants should be used to fight Covid-19.,fullfact,English,FALSE,1,"Anticoagulants, Covid-19","['Anticoagulants', ' Covid-19']",2.0,7,en,102,102_ibuprofen_covid19_anticoagulants_infection
39753,45289,25777,4232,http://data.gesis.org/claimskg/creative_work/34ab94e1-bf5e-5cbd-ba2a-83a0f0e14f99,Anti-inflammatories should be used to fight Covid-19.,fullfact,English,TRUE,3,"Anti-inflammatories, Covid-19","['Anti-inflammatories', ' Covid-19']",2.0,7,en,102,102_ibuprofen_covid19_anticoagulants_infection
40097,45745,33165,915,http://data.gesis.org/claimskg/creative_work/7ee375f0-6934-57db-b73f-c4fd446a4664,Fenugreek seed tape can cure COVID-19,Vishvanews,English,FALSE,1,"COVID, Fenugreek seed","['COVID', ' Fenugreek seed']",2.0,6,en,102,102_ibuprofen_covid19_anticoagulants_infection
46200,52368,74544,197,http://data.gesis.org/claimskg/creative_work/5fdd674e-c7f9-5b04-8bc9-f8975dab7de9,Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections.,snopes,English,OTHER,-1,"COVID-19, ibuprofen, relieve pain","['COVID-19', ' ibuprofen', ' relieve pain']",3.0,14,en,102,102_ibuprofen_covid19_anticoagulants_infection
47145,53325,23817,2272,http://data.gesis.org/claimskg/creative_work/2d4786ed-333f-53da-8ed6-133b6035fbc3,People with Covid-19 should take aspirin 100mg and Apronax or paracetamol.,fullfact,English,OTHER,-1,"Covid-19, aspirin, paracetamol","['Covid-19', ' aspirin', ' paracetamol']",3.0,11,en,102,102_ibuprofen_covid19_anticoagulants_infection
60660,67326,14866,3518,http://data.gesis.org/claimskg/creative_work/ee7165b8-4e28-5ce7-b038-f82f8d243a24,Gargling the antiseptic povidone idodine prevents Covid-19 infection,factcheck_afp,English,FALSE,1,"Covid-19, Gargling, antiseptic, povidone","['Covid-19', ' Gargling', ' antiseptic', ' povidone']",4.0,8,en,102,102_ibuprofen_covid19_anticoagulants_infection
64651,71570,33672,1422,http://data.gesis.org/claimskg/creative_work/3b969dba-4da4-5583-bd9e-37717c73cd66,Fenugreek Seed Tape Can Cure Throat Infection During COVID-19,Vishvanews,English,FALSE,1,"COVID-19, Cure, Fenugreek Seed, Infection, Tape, Throat","['COVID-19', ' Cure', ' Fenugreek Seed', ' Infection', ' Tape', ' Throat']",6.0,9,en,102,102_ibuprofen_covid19_anticoagulants_infection
