Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
175,1470,33166,916,http://data.gesis.org/claimskg/creative_work/84f9874b-4ba2-5da5-ba5e-b3bd78046e99,WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,Vishvanews,English,FALSE,1,,,0.0,11,en,105,105_lanka_lankan_lankas_sri
20887,25835,17513,6165,http://data.gesis.org/claimskg/creative_work/b5aa1391-def4-56df-b836-ae956ff9827e,This photo shows produce Sri Lankan farmers failed to sell during the COVID-19 pandemic,factcheck_afp,English,FALSE,1,COVID-19 pandemic,['COVID-19 pandemic'],1.0,14,en,105,105_lanka_lankan_lankas_sri
36353,41723,15631,4283,http://data.gesis.org/claimskg/creative_work/fbfafd6d-4f77-5a98-9f02-64429f3a2c00,Newspaper article states Sri Lanka Army officer exposed vaccine corruption,factcheck_afp,English,FALSE,1,"Newspaper article, Sri Lanka Army","['Newspaper article', ' Sri Lanka Army']",2.0,10,en,105,105_lanka_lankan_lankas_sri
36751,42130,16955,5607,http://data.gesis.org/claimskg/creative_work/cedaa33c-8a33-5346-a54b-e73eeb25539b,Sri Lankan Minister Jeevan Thondaman hosts cricket match while the country is in Covid-19 lockdown,factcheck_afp,English,FALSE,1,"Covid-19, Jeevan Thondaman","['Covid-19', ' Jeevan Thondaman']",2.0,15,en,105,105_lanka_lankan_lankas_sri
37303,42715,16380,5032,http://data.gesis.org/claimskg/creative_work/55cf3edb-6bec-5dde-8b9e-a796cd494a53,Sri Lanka's IDH issues set of instructions to follow to protect from Covid-19 infection,factcheck_afp,English,FALSE,1,"Covid-19, Sri Lanka","['Covid-19', ' Sri Lanka']",2.0,14,en,105,105_lanka_lankan_lankas_sri
45200,51320,12671,1323,http://data.gesis.org/claimskg/creative_work/ee07cc2f-a54b-5c52-bf23-a1b7f89ffafa,Union leader slams Sri Lankan government for buying Covid-19 vaccines,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Sri Lankan government, Union leader","['Covid-19 vaccines', ' Sri Lankan government', ' Union leader']",3.0,10,en,105,105_lanka_lankan_lankas_sri
45416,51564,17796,6448,http://data.gesis.org/claimskg/creative_work/a2c5c365-ef2d-5d34-9d1c-dda6f360ac16,Citizens of Hungary 'live freely' despite Covid-19 unlike in Sri Lanka,factcheck_afp,English,FALSE,1,"Covid-19, Hungary, Sri Lanka","['Covid-19', ' Hungary', ' Sri Lanka']",3.0,11,en,105,105_lanka_lankan_lankas_sri
46293,52461,11674,326,http://data.gesis.org/claimskg/creative_work/df66d1f5-b018-571e-aee3-f3e786402a07,Photo shows Sri Lankan shaman who claimed he had a miracle cure for Covid-19 receiving the Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19, Covid-19 vaccine, shaman","['Covid-19', ' Covid-19 vaccine', ' shaman']",3.0,18,en,105,105_lanka_lankan_lankas_sri
48463,54710,12432,1084,http://data.gesis.org/claimskg/creative_work/fc1d3257-333d-533b-bca4-c1636a07e4ef,Sri Lanka recorded the highest global Covid-19 fatality rate on August 8,factcheck_afp,English,FALSE,1,"August 8, Covid-19, Sri Lanka","['August 8', ' Covid-19', ' Sri Lanka']",3.0,12,en,105,105_lanka_lankan_lankas_sri
49360,55711,11475,127,http://data.gesis.org/claimskg/creative_work/9a2bbe8c-4627-548c-adf1-8beec2483fd7,Sri Lanka is the first South Asian nation to receive Pfizer vaccines,factcheck_afp,English,FALSE,1,"Pfizer vaccines, South Asian, Sri Lanka","['Pfizer vaccines', ' South Asian', ' Sri Lanka']",3.0,12,en,105,105_lanka_lankan_lankas_sri
50673,57049,14783,3435,http://data.gesis.org/claimskg/creative_work/28e1bc01-04d9-5f95-a5bf-2644c804e632,Sri Lanka ranked having the world's fifth strongest Covid-19 response by WHO,factcheck_afp,English,FALSE,1,"Covid-19 response, Sri Lanka, WHO","['Covid-19 response', ' Sri Lanka', ' WHO']",3.0,12,en,105,105_lanka_lankan_lankas_sri
