Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
4397,8543,1765,1765,http://data.gesis.org/claimskg/creative_work/61938d9b-ebb4-584f-9ddd-4e88379128e0,Did R200m Covid-19 vaccine tender go to daughter of South African provincial premier?,africacheck,English,FALSE,1,,,0.0,13,en,109,109_vaccines_vaccination_vaccine_covid
21260,26248,5514,5514,http://data.gesis.org/claimskg/creative_work/15fa8b99-ceee-5966-8dc0-e8f603a84b9e,"Yes, South African law firm says bosses may be able to dismiss workers who refuse Covid vaccine",africacheck,English,TRUE,3,South African law,['South African law'],1.0,17,en,109,109_vaccines_vaccination_vaccine_covid
21867,26867,887,887,http://data.gesis.org/claimskg/creative_work/826bea3c-2ac2-50d6-8167-cdd663e91ce9,South Africa has expertise in the development and trial of a range of vaccines,africacheck,English,OTHER,-1,South Africa,['South Africa'],1.0,14,en,109,109_vaccines_vaccination_vaccine_covid
23661,28915,48594,724,http://data.gesis.org/claimskg/creative_work/c7b6bd17-f226-51e4-af23-a2aa0862989f,"Cervical cancer in Africa is fully preventable with basic education, screening and vaccines.",politifact,English,MIXTURE,2,"Africa, Cervical cancer","['Africa', ' Cervical cancer']",2.0,13,en,109,109_vaccines_vaccination_vaccine_covid
27822,33098,11427,79,http://data.gesis.org/claimskg/creative_work/25e7cc04-e9ba-53bf-ae20-583358b2a364,Vaccination card a requirement for employment in South Africa,factcheck_afp,English,FALSE,1,"South Africa, Vaccination card","['South Africa', ' Vaccination card']",2.0,9,en,109,109_vaccines_vaccination_vaccine_covid
29510,34800,1771,1771,http://data.gesis.org/claimskg/creative_work/cdf16c4f-18e3-5cee-9a7e-c163492c0850,"Yes, two French doctors said Covid-19 vaccine trial should be done in Africa",africacheck,English,TRUE,3,"Africa, Covid-19 vaccine","['Africa', ' Covid-19 vaccine']",2.0,13,en,109,109_vaccines_vaccination_vaccine_covid
30350,35648,2538,2538,http://data.gesis.org/claimskg/creative_work/2af42b36-0fb9-57dd-8e10-aa2d55f30b37,"Yes, graphic showing vaccination status of Covid patients at South Africa’s Groote Schuur hospital is authentic",africacheck,English,TRUE,3,"Groote Schuur, South Africa","['Groote Schuur', ' South Africa']",2.0,16,en,109,109_vaccines_vaccination_vaccine_covid
33779,39106,5806,5806,http://data.gesis.org/claimskg/creative_work/a96517d1-02bd-5c4a-b872-14159a3c942c,South Africa has an established vaccine manufacturing capability,africacheck,English,TRUE,3,"South Africa, vaccine manufacturing","['South Africa', ' vaccine manufacturing']",2.0,8,en,109,109_vaccines_vaccination_vaccine_covid
42486,48401,4118,4118,http://data.gesis.org/claimskg/creative_work/086b81c6-80d1-55c6-a80e-5aaf3f01da83,"Yes, Africa's first Covid-19 vaccine trial has started in South Africa",africacheck,English,TRUE,3,"Africa, Covid-19 vaccine, South Africa","['Africa', ' Covid-19 vaccine', ' South Africa']",3.0,11,en,109,109_vaccines_vaccination_vaccine_covid
49758,56122,2348,2348,http://data.gesis.org/claimskg/creative_work/15cb75b6-ddb4-5ea1-8768-198ebcfbc067,"No, South Africa’s deputy chief justice Zondo didn’t say politician should get Covid-19 vaccine first",africacheck,English,FALSE,1,"Covid-19 vaccine, South Africa, deputy chief justice","['Covid-19 vaccine', ' South Africa', ' deputy chief justice']",3.0,15,en,109,109_vaccines_vaccination_vaccine_covid
