Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
127,970,16053,4705,http://data.gesis.org/claimskg/creative_work/3b31686d-5761-5de7-87b6-987494bc160d,Photo shows Trump receiving treatment after contracting novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,9,en,10,10_pandemic_obama_coronavirus_barack
2122,4199,41546,2719,http://data.gesis.org/claimskg/creative_work/86f106f6-036e-52a8-b897-dfe1635a95df,Coronavirus — 22. Clintons — 39.,politifact,English,False,1,,,0.0,6,en,10,10_pandemic_obama_coronavirus_barack
8546,12871,30892,1745,http://data.gesis.org/claimskg/creative_work/ed6689fd-d9e7-5f8b-afed-a8c78b5e305b,"Close-up of U.S. President Donald Trump's coronavirus prepared remarks show he crossed out corona in coronavirus, writing Chinese in its place.",truthorfiction,English,TRUE,3,U.S. President Donald Trump,['U.S. President Donald Trump'],1.0,21,en,10,10_pandemic_obama_coronavirus_barack
9246,13583,74250,2964,http://data.gesis.org/claimskg/creative_work/bdb068b1-4829-5b79-9609-04d45176eb4e,U.S. President Donald Trump referred to the new coronavirus as a hoax.,snopes,English,MIXTURE,2,U.S. President Donald Trump,['U.S. President Donald Trump'],1.0,12,en,10,10_pandemic_obama_coronavirus_barack
11706,16061,70529,8500,http://data.gesis.org/claimskg/creative_work/47db0954-c37e-5f35-be15-48cde60f8bab,The Obama administration left behind no playbook for dealing with pandemics for the next administration.,snopes,English,False,1,Obama administration,['Obama administration'],1.0,15,en,10,10_pandemic_obama_coronavirus_barack
13214,17585,43687,4860,http://data.gesis.org/claimskg/creative_work/082e2539-ed8d-5a7b-9086-40824e522f8f,Says the New York Times exposed the real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances.,politifact,English,False,1,New York Times,['New York Times'],1.0,20,en,10,10_pandemic_obama_coronavirus_barack
15024,19412,47657,8830,http://data.gesis.org/claimskg/creative_work/90f5219d-e1ce-55c5-abe3-cb6d6f131be0,Suggests Trump urged sick people to get out and vote during COVID-19 pandemic,politifact,English,False,1,COVID-19 pandemic,['COVID-19 pandemic'],1.0,13,en,10,10_pandemic_obama_coronavirus_barack
15785,20217,56761,8891,http://data.gesis.org/claimskg/creative_work/a197ad1b-1957-5690-9eb8-178ba6b832b4,President Trump has come into contact with a potential coronavirus sufferer!,politifact,English,MIXTURE,2,President Trump,['President Trump'],1.0,11,en,10,10_pandemic_obama_coronavirus_barack
16093,20537,60255,2095,http://data.gesis.org/claimskg/creative_work/59cf823f-c7da-5a87-831e-d383c54162a5,Experts and officials warned in 2018 that the U.S. government would be unable to respond effectively to a pandemic.,snopes,English,True,3,U.S.,['U.S.'],1.0,19,en,10,10_pandemic_obama_coronavirus_barack
16777,21278,59436,1276,http://data.gesis.org/claimskg/creative_work/75468488-665a-5329-b6a3-329ecb0abf63,U.S. President Donald Trump golfed several times and held a number of rallies after learning about the threat of the coronavirus.,snopes,English,True,3,U.S. President Donald Trump,['U.S. President Donald Trump'],1.0,21,en,10,10_pandemic_obama_coronavirus_barack
17672,22184,55829,7959,http://data.gesis.org/claimskg/creative_work/11f34842-6645-5486-b219-5a75daa2b1bd,"The CDC issued its first warning on Jan 8. Trump held campaign rallies on Jan 9, Jan 14, Jan 28, Jan 30, Feb 10, Feb 19, Feb 20, Feb 21, & Feb 28. He golfed on Jan 18, Jan 19, Feb 1, Feb 15, Mar 7, Mar 8. The first time he admitted the coronavirus might be a problem was Mar 13.",politifact,English,MIXTURE,2,CDC,['CDC'],1.0,62,en,10,10_pandemic_obama_coronavirus_barack
18404,22924,55497,7627,http://data.gesis.org/claimskg/creative_work/4cefa2fc-f366-5140-ab35-0d4a3077f19b,"I, all the way back in January, warned (President Trump that) this pandemic was coming. I talked about what we needed to do.",politifact,English,MIXTURE,2,President Trump,['President Trump'],1.0,23,en,10,10_pandemic_obama_coronavirus_barack
20258,25190,15639,4291,http://data.gesis.org/claimskg/creative_work/57720add-1473-5451-b732-311a3afd2464,Donald Trump concealed the danger posed by the coronavirus,factcheck_afp,English,TRUE,3,Donald Trump,['Donald Trump'],1.0,9,en,10,10_pandemic_obama_coronavirus_barack
20914,25862,8222,1984,http://data.gesis.org/claimskg/creative_work/2fc05897-c333-5722-9ac5-3d95f0de7ff9,An article shared on Facebook claims the Ronald Reagan Presidential Library is in danger of closing permanently because of financial losses related to the coronavirus pandemic.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,26,en,10,10_pandemic_obama_coronavirus_barack
