Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1916,3989,41102,2275,http://data.gesis.org/claimskg/creative_work/e1f1e42c-f6f8-5bee-8361-c4a70e2ca380,Fauci just told us they found a (coronavirus) variant that ‘evades the test.’,politifact,English,False,1,,,0.0,13,en,11,11_fauci_faucis_coronavirus_viral
9208,13543,25690,4145,http://data.gesis.org/claimskg/creative_work/23283481-8ac6-5f09-b6d7-2b79fa744084,Dr Anthony Fauci has said that Covid-19 vaccines don’t protect against Covid or death.,fullfact,English,OTHER,-1,Dr Anthony Fauci,['Dr Anthony Fauci'],1.0,14,en,11,11_fauci_faucis_coronavirus_viral
12048,16404,43932,5105,http://data.gesis.org/claimskg/creative_work/b8ba7ec3-d146-5b46-9a86-48f04c364b76,New evidence ties COVID-19 creation to research funded by Fauci,politifact,English,False,1,COVID-19,['COVID-19'],1.0,10,en,11,11_fauci_faucis_coronavirus_viral
13116,17486,43332,4505,http://data.gesis.org/claimskg/creative_work/7f91d9c1-aefe-58c2-b23d-13db31cb6758,Video shows Dr. Anthony Fauci admitting he failed Americans during the pandemic when unnecessarily forcing masks.,politifact,English,False,1,Dr. Anthony Fauci,['Dr. Anthony Fauci'],1.0,16,en,11,11_fauci_faucis_coronavirus_viral
14385,18767,47059,8232,http://data.gesis.org/claimskg/creative_work/cd349448-8e05-5f0c-9fbc-ce5ff8461560,Emails show Fauci's fellow scientist could tell early on that the (coronavirus) looked manufactured.,politifact,English,False,1,Fauci,['Fauci'],1.0,14,en,11,11_fauci_faucis_coronavirus_viral
18374,22894,55646,7776,http://data.gesis.org/claimskg/creative_work/a194a034-f53a-5382-8681-4f18459fafea,"Fauci says there will be 'two Americas': One for vaccinated, one for unvaccinated.",politifact,English,MIXTURE,2,Americas,['Americas'],1.0,13,en,11,11_fauci_faucis_coronavirus_viral
23290,28469,11033,4795,http://data.gesis.org/claimskg/creative_work/0924d843-8433-54d2-834f-0a45475aaaed,"A post shared on Facebook claims Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases (NIAID), has said he wants Americans to receive four COVID-19 vaccine shots each year.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,34,en,11,11_fauci_faucis_coronavirus_viral
23427,28648,12720,1372,http://data.gesis.org/claimskg/creative_work/4d746a59-c138-5be0-9a79-84d383228e30,Video shows Anthony Fauci’s remarks that vaccines are toxic and can make you worse,factcheck_afp,English,FALSE,1,Anthony Fauci,['Anthony Fauci'],1.0,14,en,11,11_fauci_faucis_coronavirus_viral
23490,28728,10989,4751,http://data.gesis.org/claimskg/creative_work/d6da5795-a01d-546d-9055-95b11208c787,"A video shared on Facebook claims Christine Grady, the wife of White House medical adviser Anthony Fauci, is involved in the approval of COVID-19 vaccines.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,25,en,11,11_fauci_faucis_coronavirus_viral
24100,29356,7843,1605,http://data.gesis.org/claimskg/creative_work/763cecb4-7f57-5348-8423-2f83021037ac,"An image shared on Instagram allegedly shows a tweet by Chelsea Clinton, the daughter of former President Bill Clinton and former Secretary of State Hillary Clinton, in which she reacts to a cartoon critical of her mother and White House coronavirus adviser Dr. Anthony Fauci.",checkyourfact,English,FALSE,1,"Instagram, coronavirus","['Instagram', ' coronavirus']",2.0,45,en,11,11_fauci_faucis_coronavirus_viral
