Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
135,1059,35676,3426,http://data.gesis.org/claimskg/creative_work/00d92d1a-a131-5309-b54c-eb7af44be621,WHO Said Coronavirus Is Losing Potency,Vishvanews,English,FALSE,1,,,0.0,6,en,12,12_coronavirus_flu_fever_cold
678,2687,44288,5461,http://data.gesis.org/claimskg/creative_work/dd410496-6701-5a36-a194-bf1bec40eca9,Says coronavirus is just the damn flu.,politifact,English,False,1,,,0.0,7,en,12,12_coronavirus_flu_fever_cold
1830,3898,15141,3793,http://data.gesis.org/claimskg/creative_work/8c27f364-1f49-5fe0-a219-4100711d9272,Thai university warned ‘we are on our own’ if coronavirus cases surge,factcheck_afp,English,FALSE,1,,,0.0,12,en,12,12_coronavirus_flu_fever_cold
2227,4309,13887,2539,http://data.gesis.org/claimskg/creative_work/645c2165-776c-55b3-9893-227cdd4178e0,Johns Hopkins is the source of a list of points on the novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,14,en,12,12_coronavirus_flu_fever_cold
3214,5569,24365,2820,http://data.gesis.org/claimskg/creative_work/b99478be-c8f8-597c-9e8f-11576685cd05,People over six foot tall are twice as likely to get coronavirus.,fullfact,English,OTHER,-1,,,0.0,12,en,12,12_coronavirus_flu_fever_cold
3239,5594,24535,2990,http://data.gesis.org/claimskg/creative_work/5d157445-f318-50af-acf5-b0a59b5eadc5,Coronavirus is as deadly as the flu.,fullfact,English,FALSE,1,,,0.0,7,en,12,12_coronavirus_flu_fever_cold
7509,11789,28075,117,http://data.gesis.org/claimskg/creative_work/99c87485-2dd9-51e3-b8ac-fa42574dff30,Is Coronavirus ‘Like a Strong Flu’?,polygraph,English,MIXTURE,2,Flu,['Flu'],1.0,6,en,12,12_coronavirus_flu_fever_cold
7863,12160,62260,231,http://data.gesis.org/claimskg/creative_work/b131c261-4bd7-529c-b1ff-32c05f1f875c,St. Corona is the patron saint of plagues.,snopes,English,False,1,patron saint,['patron saint'],1.0,8,en,12,12_coronavirus_flu_fever_cold
9885,14227,24758,3213,http://data.gesis.org/claimskg/creative_work/2fc6def2-3f77-597d-b72d-3694cc4f5347,A 1989 medical textbook lists the common cold as a disease caused by coronaviruses.,fullfact,English,MIXTURE,2,textbook,['textbook'],1.0,14,en,12,12_coronavirus_flu_fever_cold
12638,17003,42340,3513,http://data.gesis.org/claimskg/creative_work/a37702f1-32ba-5e68-ad4b-8bbdd07e51c8,Florida hospital reports a coronavirus ‘infestation’ with multiple confirmed patients.,politifact,English,False,1,Florida hospital,['Florida hospital'],1.0,10,en,12,12_coronavirus_flu_fever_cold
19590,24475,13358,2010,http://data.gesis.org/claimskg/creative_work/bb9438dc-d2a5-50ca-bdbc-6ec7c29d742f,Coronavirus variants are planned for release in staged pandemic,factcheck_afp,English,FALSE,1,Coronavirus variants,['Coronavirus variants'],1.0,9,en,12,12_coronavirus_flu_fever_cold
20503,25440,15961,4613,http://data.gesis.org/claimskg/creative_work/ff0e0052-2519-5495-a3d5-2cdac26f8126,Coronavirus is a type of rabies,factcheck_afp,English,OTHER,-1,rabies,['rabies'],1.0,6,en,12,12_coronavirus_flu_fever_cold
22271,27397,11202,88,http://data.gesis.org/claimskg/creative_work/f1887882-3bcf-511a-941c-8ce327bc45f9,Twice as many men die from coronavirus than women,eufactcheck,English,MIXTURE,2,coronavirus,['coronavirus'],1.0,9,en,12,12_coronavirus_flu_fever_cold
26045,31308,10725,4487,http://data.gesis.org/claimskg/creative_work/2aad315a-ff64-5460-b87b-e049d41c3d9a,"An article shared on Facebook alleges authorities have confirmed eight cases of the novel coronavirus in Nashville, Tennessee.",checkyourfact,English,FALSE,1,"Facebook, Nashville","['Facebook', ' Nashville']",2.0,18,en,12,12_coronavirus_flu_fever_cold
27153,32423,11042,4804,http://data.gesis.org/claimskg/creative_work/811e3f5e-cce5-5790-9f06-63de872c335a,"An image shared on Facebook more than 3,300 times claims the novel coronavirus is simply the common cold.",checkyourfact,English,FALSE,1,"Facebook, coronavirus","['Facebook', ' coronavirus']",2.0,18,en,12,12_coronavirus_flu_fever_cold
27157,32427,46373,7546,http://data.gesis.org/claimskg/creative_work/ca56fa54-5d29-51e4-ad57-927806282095,Coronavirus is a Latin word for heart attack virus.,politifact,English,False,1,"Latin, heart attack","['Latin', ' heart attack']",2.0,9,en,12,12_coronavirus_flu_fever_cold
29398,34688,71357,71,http://data.gesis.org/claimskg/creative_work/c939781e-8bb5-5d17-bad4-3b5ad73aa9fa,Italy has stopped treating elderly coronavirus patients due to socialized medicine.,snopes,English,MIXTURE,2,"Italy, socialized medicine","['Italy', ' socialized medicine']",2.0,11,en,12,12_coronavirus_flu_fever_cold
36071,41424,15454,4106,http://data.gesis.org/claimskg/creative_work/2c83a12e-d321-5db5-8e66-2f0ec550f565,Tucker Carlson is the source of these comments on coronavirus-related measures,factcheck_afp,English,FALSE,1,"Tucker Carlson, coronavirus-related","['Tucker Carlson', ' coronavirus-related']",2.0,11,en,12,12_coronavirus_flu_fever_cold
37059,42459,16209,4861,http://data.gesis.org/claimskg/creative_work/cdee053a-9813-5960-8287-226e453ff136,Confirmed case of novel coronavirus in Uttar Pradesh town of Barhalganj,factcheck_afp,English,FALSE,1,"Barhalganj, Uttar Pradesh","['Barhalganj', ' Uttar Pradesh']",2.0,11,en,12,12_coronavirus_flu_fever_cold
37277,42686,16662,5314,http://data.gesis.org/claimskg/creative_work/e8cc0f5f-9694-5a69-a43e-42e87494fddd,Novel coronavirus exposure at a doctor’s office in this Australian town,factcheck_afp,English,FALSE,1,"coronavirus, doctor’s office","['coronavirus', ' doctor’s office']",2.0,11,en,12,12_coronavirus_flu_fever_cold
37280,42689,16641,5293,http://data.gesis.org/claimskg/creative_work/6f188f08-002d-59d5-9b7c-274564415ea2,The corona virus is possibly caused due to the use of rhino horn,factcheck_afp,English,FALSE,1,"corona virus, rhino horn","['corona virus', ' rhino horn']",2.0,13,en,12,12_coronavirus_flu_fever_cold
38625,44066,14463,3115,http://data.gesis.org/claimskg/creative_work/c37b3563-755a-5fec-a957-966c96dc6bd7,Novel coronavirus is just the common cold,factcheck_afp,English,FALSE,1,"common cold, coronavirus","['common cold', ' coronavirus']",2.0,7,en,12,12_coronavirus_flu_fever_cold
39450,44985,22939,1394,http://data.gesis.org/claimskg/creative_work/a6684d28-6790-5be0-9bb2-1200de8c52e8,Rashes are a symptom of the new coronavirus.,fullfact,English,OTHER,-1,"coronavirus, symptom","['coronavirus', ' symptom']",2.0,8,en,12,12_coronavirus_flu_fever_cold
39761,45297,33700,1450,http://data.gesis.org/claimskg/creative_work/f890330b-3c09-59db-a713-97338f81108f,Coronavirus does not affect people with ‘O+’ blood type,Vishvanews,English,MIXTURE,2,"O+, blood type","['O+', ' blood type']",2.0,9,en,12,12_coronavirus_flu_fever_cold
39843,45427,32329,79,http://data.gesis.org/claimskg/creative_work/c19c34b3-a001-5a71-9af4-595c922698b1,Our home minister interacting with the scientists on discovering a medicine for coronavirus,Vishvanews,English,FALSE,1,"coronavirus, interacting","['coronavirus', ' interacting']",2.0,13,en,12,12_coronavirus_flu_fever_cold
40176,45828,17584,6236,http://data.gesis.org/claimskg/creative_work/e892822a-6247-5efb-a0ae-20d2d70fc59b,Confirmed coronavirus cases in Calgary and Edmonton,factcheck_afp,English,FALSE,1,"Calgary, Edmonton","['Calgary', ' Edmonton']",2.0,7,en,12,12_coronavirus_flu_fever_cold
40183,45835,17861,6513,http://data.gesis.org/claimskg/creative_work/24ca692c-2400-5c6c-a5a6-ac517c644907,15 cases of coronavirus have been linked to Metrotown mall in BC,factcheck_afp,English,FALSE,1,"BC, Metrotown mall","['BC', ' Metrotown mall']",2.0,12,en,12,12_coronavirus_flu_fever_cold
40273,45977,32938,688,http://data.gesis.org/claimskg/creative_work/e458fc75-8bbc-57b1-8655-86b2a8c09ea5,Viral symptoms on coronavirus and other diseases released by AIIMS,Vishvanews,English,FALSE,1,"AIIMS, coronavirus","['AIIMS', ' coronavirus']",2.0,10,en,12,12_coronavirus_flu_fever_cold
40403,46134,30248,1101,http://data.gesis.org/claimskg/creative_work/32e3fb76-d454-54c1-a9c9-298a80eb8df1,"A new strain of the coronavirus SARS-CoV-2, D614, is ten times more infectious than the predominant strain and discovered in Malaysia in August 2020.",truthorfiction,English,MIXTURE,2,"Malaysia, SARS-CoV-2","['Malaysia', ' SARS-CoV-2']",2.0,24,en,12,12_coronavirus_flu_fever_cold
