Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
309,2308,45457,6630,http://data.gesis.org/claimskg/creative_work/ced2e012-ef8e-526d-997d-fdb4182d8fa4,Only 6% of the people actually died from COVID. The others died from other reasons.,politifact,English,False,1,,,0.0,15,en,13,13_covid19_covid_mortality_percent
2110,4186,41737,2910,http://data.gesis.org/claimskg/creative_work/d2380a23-507c-5829-aadc-d0024c0f1f9a,There is a 0.05% chance of dying from COVID.,politifact,English,False,1,,,0.0,9,en,13,13_covid19_covid_mortality_percent
2886,5232,27342,5797,http://data.gesis.org/claimskg/creative_work/3353f201-3efd-5afc-a9ef-d0f6e2a5af8b,Research says that nearly half of people who catch Covid develop depression afterwards.,fullfact,English,OTHER,-1,,,0.0,13,en,13,13_covid19_covid_mortality_percent
2918,5268,21594,49,http://data.gesis.org/claimskg/creative_work/e88d6b54-a6a4-540b-97a1-4b97e6032dae,Staying at least 1m away from people cuts your risk of catching Covid-19 by 80%.,fullfact,English,TRUE,3,,,0.0,15,en,13,13_covid19_covid_mortality_percent
2954,5305,27282,5737,http://data.gesis.org/claimskg/creative_work/ac57c65f-9000-5109-b290-6552b5ceed17,The survival rate for Covid-19 is 98.54% in the UK.,fullfact,English,OTHER,-1,,,0.0,10,en,13,13_covid19_covid_mortality_percent
3456,5812,23235,1690,http://data.gesis.org/claimskg/creative_work/fa6f975e-1e67-544e-81c7-a91e0be83d3e,There is only a 0.26% chance of catching Covid-19.,fullfact,English,OTHER,-1,,,0.0,9,en,13,13_covid19_covid_mortality_percent
3549,5907,26042,4497,http://data.gesis.org/claimskg/creative_work/894b667e-96b9-5d51-bdf0-f73add8f786f,The number of Covid hospitalisations is 0.5% of the level of cases.,fullfact,English,OTHER,-1,,,0.0,12,en,13,13_covid19_covid_mortality_percent
4013,6444,32107,2960,http://data.gesis.org/claimskg/creative_work/dee687b8-60d5-5584-bc7a-4f58277130cb,Were 94 Percent of COVID,truthorfiction,English,FALSE,1,,,0.0,5,en,13,13_covid19_covid_mortality_percent
9098,13432,26169,4624,http://data.gesis.org/claimskg/creative_work/bc83c07f-9093-570b-8302-8a8c210301c0,Covid-19’s infection fatality rate is 0.1%,fullfact,English,FALSE,1,infection fatality rate,['infection fatality rate'],1.0,6,en,13,13_covid19_covid_mortality_percent
10234,14577,25338,3793,http://data.gesis.org/claimskg/creative_work/19329844-6c5b-5a7c-96e9-0e4ea45a3fde,The chances of catching Covid-19 are 44 million to one.,fullfact,English,TRUE,3,Covid-19,['Covid-19'],1.0,10,en,13,13_covid19_covid_mortality_percent
11046,15395,27910,6365,http://data.gesis.org/claimskg/creative_work/06b43f6f-dd93-5980-92b3-8940ce8c1537,"If you do catch Covid-19, you have a one in a 100 percent chance of dying.",fullfact,English,TRUE,3,Covid-19,['Covid-19'],1.0,16,en,13,13_covid19_covid_mortality_percent
12015,16371,44178,5351,http://data.gesis.org/claimskg/creative_work/88ec4169-6b19-5d32-b0ad-e47c0a1f6b8e,Says 99% of COVID-19 cases are totally harmless.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,8,en,13,13_covid19_covid_mortality_percent
12100,16456,44401,5574,http://data.gesis.org/claimskg/creative_work/bebabf09-86ef-5d66-a684-ab1f5cac9894,New data shows that death is proportional to dose for COVID-19.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,11,en,13,13_covid19_covid_mortality_percent
14455,18837,52365,4495,http://data.gesis.org/claimskg/creative_work/bb765836-0fbc-5db8-bc72-7881ad1f13d2,The CDC just confirmed a 0.2% death-rate for COVID19.,politifact,English,MIXTURE,2,CDC,['CDC'],1.0,9,en,13,13_covid19_covid_mortality_percent
15106,19494,48181,311,http://data.gesis.org/claimskg/creative_work/27a2101e-229d-5249-9c10-779496e92e4f,"By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.",politifact,English,MIXTURE,2,vax,['vax'],1.0,16,en,13,13_covid19_covid_mortality_percent
16822,21323,40018,1191,http://data.gesis.org/claimskg/creative_work/26e519bd-04e0-5d14-84df-346bf845dfa1,"CDC COVID-19 survival rates are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",politifact,English,False,1,COVID-19,['COVID-19'],1.0,32,en,13,13_covid19_covid_mortality_percent
17553,22063,40917,2090,http://data.gesis.org/claimskg/creative_work/d8bb703e-0c16-5f28-9a49-c356830db277,"Since the reopening of (Georgia), we’ve seen our COVID rate skyrocket by 40%.",politifact,English,False,1,Georgia,['Georgia'],1.0,13,en,13,13_covid19_covid_mortality_percent
17835,22350,55739,7869,http://data.gesis.org/claimskg/creative_work/ebe1204f-7ea1-5cfa-a511-cd036259e691,Boston University CREATES a new COVID strain that has an 80% kill rate.,politifact,English,MIXTURE,2,Boston University,['Boston University'],1.0,13,en,13,13_covid19_covid_mortality_percent
21915,26917,22698,1153,http://data.gesis.org/claimskg/creative_work/a90a3557-39d5-53d6-b2f5-363e324f0d26,You’re more likely to drown than die from Covid-19.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,13,13_covid19_covid_mortality_percent
22166,27288,22057,512,http://data.gesis.org/claimskg/creative_work/ca631dbd-43c7-5306-8626-67a27a6e8cff,Covid-19 kills no more than 0.1% of the people who catch it,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,12,en,13,13_covid19_covid_mortality_percent
22347,27476,23952,2407,http://data.gesis.org/claimskg/creative_work/eb286c9c-14f7-5848-902d-5a23a0b919c2,The average age of death from Covid-19 is 82.5.,fullfact,English,TRUE,3,Covid-19,['Covid-19'],1.0,9,en,13,13_covid19_covid_mortality_percent
22405,27537,23926,2381,http://data.gesis.org/claimskg/creative_work/08ff575a-c190-5312-aa03-a4a0aaf1468d,Vapers with Covid-19 are up to 17% more likely to transmit the virus.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,13,en,13,13_covid19_covid_mortality_percent
22609,27745,24457,2912,http://data.gesis.org/claimskg/creative_work/ccf1b9f4-ebdb-5e82-bae4-0405c6db2282,The average age of death from Covid-19 is 82.,fullfact,English,TRUE,3,Covid-19,['Covid-19'],1.0,9,en,13,13_covid19_covid_mortality_percent
22814,27959,23287,1742,http://data.gesis.org/claimskg/creative_work/8a2557a4-c29e-584a-a3b3-9f02e8270971,Covid-19 has a survival rate of 99.998%.,fullfact,English,FALSE,1,survival rate,['survival rate'],1.0,7,en,13,13_covid19_covid_mortality_percent
