Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
381,2381,11615,267,http://data.gesis.org/claimskg/creative_work/5df03a4a-1487-58d4-a2e4-27fd46302fe5,Inifinix giving out phones for pandemic support,factcheck_afp,English,FALSE,1,,,0.0,7,en,14,14_5g_coronavirus_coronaviruses_3g
7534,11816,28439,481,http://data.gesis.org/claimskg/creative_work/32acc551-0446-5496-af39-86b56d7f4654,Can You Trust Your COVID-19 App?,polygraph,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,6,en,14,14_5g_coronavirus_coronaviruses_3g
22102,27224,22038,493,http://data.gesis.org/claimskg/creative_work/75acf2aa-4d29-5f9b-a06d-193e0ca1607d,The new coronavirus is actually the impact of 5G exposure.,fullfact,English,TRUE,3,5G,['5G'],1.0,10,en,14,14_5g_coronavirus_coronaviruses_3g
22501,27637,23850,2305,http://data.gesis.org/claimskg/creative_work/54938bcc-ea3a-522c-a27a-e90a4040e6eb,5G WiFi networks could be responsible for the rapid spread of the new coronavirus.,fullfact,English,FALSE,1,5G,['5G'],1.0,14,en,14,14_5g_coronavirus_coronaviruses_3g
22514,27650,23872,2327,http://data.gesis.org/claimskg/creative_work/398af969-c6bc-5fc4-ade6-75f3792ad2db,An early poll shows 80% of people on the Isle of Wight want to download the government’s new coronavirus tracing app.,fullfact,English,OTHER,-1,Isle of Wight,['Isle of Wight'],1.0,21,en,14,14_5g_coronavirus_coronaviruses_3g
22675,27813,24203,2658,http://data.gesis.org/claimskg/creative_work/05f778f5-9ef4-546a-aa5c-e36a12da9592,The Covid-19 vaccines put people who have received them in danger if 5G is ‘cranked up’.,fullfact,English,FALSE,1,5G,['5G'],1.0,16,en,14,14_5g_coronavirus_coronaviruses_3g
23663,28917,48593,723,http://data.gesis.org/claimskg/creative_work/62cd41ab-b70e-55e5-b3b3-486ed77c38e3,Google and Apple put a covid tracker on every phone.,politifact,English,MIXTURE,2,"Apple, Google","['Apple', ' Google']",2.0,10,en,14,14_5g_coronavirus_coronaviruses_3g
23872,29128,7471,1233,http://data.gesis.org/claimskg/creative_work/fcb6f0a7-f146-5790-a260-8319dc50e5a3,A video shared on Facebook allegedly shows people in China tearing down a 5G pole because it is triggering the Corona symptoms.,checkyourfact,English,FALSE,1,"5G, Facebook","['5G', ' Facebook']",2.0,22,en,14,14_5g_coronavirus_coronaviruses_3g
24090,29346,11565,217,http://data.gesis.org/claimskg/creative_work/60b57575-724b-50fb-a94c-128b2a60a0ce,5G technology creates coronavirus in human cells,factcheck_afp,English,FALSE,1,"5G technology, coronavirus","['5G technology', ' coronavirus']",2.0,7,en,14,14_5g_coronavirus_coronaviruses_3g
25958,31221,56179,8309,http://data.gesis.org/claimskg/creative_work/55b51afc-145b-5224-bc9e-75fd8a9505a3,Says a 5G LAW PASSED while everyone was distracted with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,politifact,English,MIXTURE,2,"5G, coronavirus pandemic","['5G', ' coronavirus pandemic']",2.0,21,en,14,14_5g_coronavirus_coronaviruses_3g
