Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
472,2473,45892,7065,http://data.gesis.org/claimskg/creative_work/b113acb3-3f0f-5528-adea-8a1f2a5e476a,Health and Human Services admits they have never conducted federally-required monitoring of vaccine safety for over 30 years.,politifact,English,False,1,,,0.0,18,en,16,16_vaccines_vaccine_tested_covid19
544,2546,43240,4413,http://data.gesis.org/claimskg/creative_work/e1994da2-3cfd-5080-a006-8dcc6d33ca38,Says combined doses of vaccines have never been tested.,politifact,English,False,1,,,0.0,9,en,16,16_vaccines_vaccine_tested_covid19
2579,4669,26810,5265,http://data.gesis.org/claimskg/creative_work/0ecc827c-2a54-5a68-bf7e-e7cc20ae18fe,Covid-19 vaccines offer no protection against transmission of or infection from the virus.,fullfact,English,OTHER,-1,,,0.0,13,en,16,16_vaccines_vaccine_tested_covid19
2615,4706,26314,4769,http://data.gesis.org/claimskg/creative_work/bfb79bd0-cbc1-5186-8cb4-d9ca204b2603,The UK and US have exported no vaccines.,fullfact,English,OTHER,-1,,,0.0,8,en,16,16_vaccines_vaccine_tested_covid19
2730,4823,26509,4964,http://data.gesis.org/claimskg/creative_work/5ddd0598-8441-5701-8d14-7bbbd3f5470f,The vaccines were not trialled or tested.,fullfact,English,FALSE,1,,,0.0,7,en,16,16_vaccines_vaccine_tested_covid19
2930,5280,27249,5704,http://data.gesis.org/claimskg/creative_work/5f825b59-5cc2-5e8b-ab54-13e94987b33a,The Covid-19 vaccines offer very little protection against the disease.,fullfact,English,FALSE,1,,,0.0,10,en,16,16_vaccines_vaccine_tested_covid19
2996,5348,25083,3538,http://data.gesis.org/claimskg/creative_work/ebf950c7-1d0c-5ce8-890b-45fc6703cdc1,The vaccine manufacturers do not have liability.,fullfact,English,OTHER,-1,,,0.0,7,en,16,16_vaccines_vaccine_tested_covid19
3144,5498,23833,2288,http://data.gesis.org/claimskg/creative_work/7515b1c9-9dc6-5d71-b513-52752037a10c,No vaccine has been tested to see if it causes cancer.,fullfact,English,OTHER,-1,,,0.0,11,en,16,16_vaccines_vaccine_tested_covid19
3227,5582,24573,3028,http://data.gesis.org/claimskg/creative_work/8d835bde-91fa-5197-a25f-d8007c9740cb,The booster vaccines have not been tested on humans at all during studies; they were tested only on mice.,fullfact,English,MIXTURE,2,,,0.0,19,en,16,16_vaccines_vaccine_tested_covid19
3356,5712,24750,3205,http://data.gesis.org/claimskg/creative_work/115eef8b-8e3a-5417-906e-699ef4576e83,Covid-19 vaccines are not approved for use.,fullfact,English,FALSE,1,,,0.0,7,en,16,16_vaccines_vaccine_tested_covid19
