Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
164,1372,17447,6099,http://data.gesis.org/claimskg/creative_work/9521eb24-7d1b-567e-b43d-6164dea38e5e,Ablution water can destroy novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,6,en,17,17_coronavirus_vinegar_virus_cures
186,1568,17740,6392,http://data.gesis.org/claimskg/creative_work/0d7c88ee-912e-50bc-97d1-af0afcc32531,Covid patients should not shower.,factcheck_afp,English,FALSE,1,,,0.0,5,en,17,17_coronavirus_vinegar_virus_cures
1937,4010,41398,2571,http://data.gesis.org/claimskg/creative_work/c876beca-72f2-50cb-8c2d-fbb4b26bfc4b,Says drinking a bleach solution will prevent you from getting the coronavirus.,politifact,English,False,1,,,0.0,12,en,17,17_coronavirus_vinegar_virus_cures
2201,4283,39546,719,http://data.gesis.org/claimskg/creative_work/fcfca090-be05-5684-a2e1-deeee8ab6a9d,Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of the novel coronavirus.,politifact,English,False,1,,,0.0,24,en,17,17_coronavirus_vinegar_virus_cures
2254,4337,14185,2837,http://data.gesis.org/claimskg/creative_work/cc4ccbc9-8559-5e48-85bc-3467087667c8,Bathing in hot water can prevent novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,8,en,17,17_coronavirus_vinegar_virus_cures
2496,4586,26691,5146,http://data.gesis.org/claimskg/creative_work/32bc8429-e1c3-5203-8343-eb7315da6bf2,Drinking lots of water will eliminate the new coronavirus from your throat.,fullfact,English,FALSE,1,,,0.0,12,en,17,17_coronavirus_vinegar_virus_cures
4270,7140,32427,177,http://data.gesis.org/claimskg/creative_work/7eb66e27-cc6c-537e-a545-2ffe7fbd1cc7,Coronavirus can be killed from inhaling steam,Vishvanews,English,FALSE,1,,,0.0,7,en,17,17_coronavirus_vinegar_virus_cures
12780,17148,42557,3730,http://data.gesis.org/claimskg/creative_work/430e17d2-9f69-516b-b32e-8947824e80e2,Fish tank additive may treat coronavirus.,politifact,English,False,1,Fish tank,['Fish tank'],1.0,6,en,17,17_coronavirus_vinegar_virus_cures
16234,20691,33516,1266,http://data.gesis.org/claimskg/creative_work/2a835154-6de4-5b10-ad6d-3cf512f6223c,Mouthwash kills and cures Coronavirus,Vishvanews,English,FALSE,1,Mouthwash,['Mouthwash'],1.0,5,en,17,17_coronavirus_vinegar_virus_cures
19116,23942,13198,1850,http://data.gesis.org/claimskg/creative_work/9b7c053d-6a20-5c8e-ae10-5285a6554e8a,Breathing steam from a boiling pot of water will treat or cure a novel coronavirus infection,factcheck_afp,English,FALSE,1,boiling pot,['boiling pot'],1.0,16,en,17,17_coronavirus_vinegar_virus_cures
19998,24925,16570,5222,http://data.gesis.org/claimskg/creative_work/18290572-af9f-5e20-b71f-e2f223e47642,Holding your breath is a test for novel coronavirus and drinking water every 15 minutes can prevent the illness,factcheck_afp,English,FALSE,1,drinking water,['drinking water'],1.0,19,en,17,17_coronavirus_vinegar_virus_cures
20323,25255,6770,532,http://data.gesis.org/claimskg/creative_work/8570644c-0886-5887-94e2-268cd59840ad,A Facebook post claims that drinking hot water with sliced lemon can kill the new coronavirus.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,16,en,17,17_coronavirus_vinegar_virus_cures
22810,27955,12239,891,http://data.gesis.org/claimskg/creative_work/3899cf8f-7ccd-577b-9f7e-4e1cce2212bc,Drinking water will cure coronavirus,factcheck_afp,English,FALSE,1,Drinking water,['Drinking water'],1.0,5,en,17,17_coronavirus_vinegar_virus_cures
24289,29545,11527,179,http://data.gesis.org/claimskg/creative_work/1d01bcae-8559-5c6d-a2a3-80e7a07d25cc,Drinking garlic water can cure novel coronavirus,factcheck_afp,English,FALSE,1,"coronavirus, garlic","['coronavirus', ' garlic']",2.0,7,en,17,17_coronavirus_vinegar_virus_cures
26786,32052,8700,2462,http://data.gesis.org/claimskg/creative_work/201816ca-cf60-58f3-9c80-e9d5441546f5,An image shared on Facebook claims that there have been no coronavirus deaths in Israel because people in the country drink a mixture of lemon and sodium bicarbonate that kills the virus.,checkyourfact,English,FALSE,1,"Facebook, sodium bicarbonate","['Facebook', ' sodium bicarbonate']",2.0,32,en,17,17_coronavirus_vinegar_virus_cures
27335,32607,9023,2785,http://data.gesis.org/claimskg/creative_work/35ebeb3f-deb3-5a1a-9016-4ed64134f98b,"A post shared on Facebook more than 1,100 times claims drinking magnesium citrate can kill the new coronavirus and stop it from spreading.",checkyourfact,English,FALSE,1,"Facebook, magnesium citrate","['Facebook', ' magnesium citrate']",2.0,23,en,17,17_coronavirus_vinegar_virus_cures
29356,34646,2340,2340,http://data.gesis.org/claimskg/creative_work/9d64ced4-cee3-5467-9e21-efd2fa9bab27,"Hot baths, hot hand dryers and other heat will NOT kill coronavirus",africacheck,English,FALSE,1,"Hot baths, hand dryers","['Hot baths', ' hand dryers']",2.0,12,en,17,17_coronavirus_vinegar_virus_cures
36216,41571,15787,4439,http://data.gesis.org/claimskg/creative_work/5d481491-e930-5961-bb0b-8eb843afd905,Gargling water can proect against coronavirus,factcheck_afp,English,FALSE,1,"Gargling, coronavirus","['Gargling', ' coronavirus']",2.0,6,en,17,17_coronavirus_vinegar_virus_cures
36282,41643,15713,4365,http://data.gesis.org/claimskg/creative_work/89734e99-704d-5300-9424-b02f37d8b236,German researchers confirm gargling salt water will kill coronavirus,factcheck_afp,English,FALSE,1,"coronavirus, gargling","['coronavirus', ' gargling']",2.0,9,en,17,17_coronavirus_vinegar_virus_cures
36791,42171,34227,1977,http://data.gesis.org/claimskg/creative_work/3f2fd95f-0783-52ad-ab48-1ea6a60c8ba6,Turmeric and lemon help fight against coronavirus,Vishvanews,English,FALSE,1,"Turmeric, coronavirus","['Turmeric', ' coronavirus']",2.0,7,en,17,17_coronavirus_vinegar_virus_cures
39524,45059,26286,4741,http://data.gesis.org/claimskg/creative_work/c0198301-fa7e-55e3-833d-e97be9a7530a,Gargling water mixed with salt or vinegar eliminates the new coronavirus from your throat.,fullfact,English,FALSE,1,"Gargling, vinegar","['Gargling', ' vinegar']",2.0,14,en,17,17_coronavirus_vinegar_virus_cures
39859,45450,32125,2978,http://data.gesis.org/claimskg/creative_work/a3a41686-664a-5e7c-906d-da89315aecba,"Coronavirus strain COVID-19 can be treated by drinking warm water, among several other claims made online.",truthorfiction,English,MIXTURE,2,"COVID-19, warm water","['COVID-19', ' warm water']",2.0,16,en,17,17_coronavirus_vinegar_virus_cures
40039,45687,33410,1160,http://data.gesis.org/claimskg/creative_work/568ced4f-99b5-5a12-b537-5adecf10fe08,Garlic water can cure coronavirus,Vishvanews,English,FALSE,1,"Garlic, coronavirus","['Garlic', ' coronavirus']",2.0,5,en,17,17_coronavirus_vinegar_virus_cures
42553,48472,4137,4137,http://data.gesis.org/claimskg/creative_work/8941bbec-ddce-59c7-b514-b330884fb0ec,"Ginger, turmeric won’t cure coronavirus or other diseases",africacheck,English,FALSE,1,"Ginger, coronavirus, turmeric","['Ginger', ' coronavirus', ' turmeric']",3.0,8,en,17,17_coronavirus_vinegar_virus_cures
45057,51147,4513,4513,http://data.gesis.org/claimskg/creative_work/fac17c3f-8491-5c2b-9fe3-ceb76d087a3e,"No, gargling salt or vinegar water will not cure coronavirus",africacheck,English,FALSE,1,"coronavirus, gargling, vinegar","['coronavirus', ' gargling', ' vinegar']",3.0,10,en,17,17_coronavirus_vinegar_virus_cures
