Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
564,2569,43472,4645,http://data.gesis.org/claimskg/creative_work/6e6c30e5-0dea-5a47-a0b6-60cb3ec35c3c,Says Goodwill used the pandemic to fire all of their employees instead of laying them off.,politifact,English,False,1,,,0.0,16,en,18,18_pandemic_workforce_workers_unemployment
1208,3227,47492,8665,http://data.gesis.org/claimskg/creative_work/b9f27d84-051c-5984-9f21-8a3109837d28,"The cost of an automobile, it's kind of back to what it was before the pandemic.",politifact,English,False,1,,,0.0,16,en,18,18_pandemic_workforce_workers_unemployment
1510,3533,38633,2321,http://data.gesis.org/claimskg/creative_work/fd7afc4c-796b-5742-b272-fec5f5d15eda,"Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.",politifact,English,True,3,,,0.0,23,en,18,18_pandemic_workforce_workers_unemployment
1573,3596,14255,2907,http://data.gesis.org/claimskg/creative_work/8ea94a95-71df-5e21-83c5-c58307cd9a8d,"Democrats brought back pandemic, race riots, depression, gas lines",factcheck_afp,English,FALSE,1,,,0.0,9,en,18,18_pandemic_workforce_workers_unemployment
1769,3835,37140,828,http://data.gesis.org/claimskg/creative_work/d262196c-ccb5-50db-9450-5fb9a19f16a9,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,politifact,English,True,3,,,0.0,18,en,18,18_pandemic_workforce_workers_unemployment
1929,4002,13116,1768,http://data.gesis.org/claimskg/creative_work/c2c00516-dbd2-5f8c-9559-91f001ae59ed,WHO offers home-based jobs during pandemic,factcheck_afp,English,FALSE,1,,,0.0,6,en,18,18_pandemic_workforce_workers_unemployment
2441,4531,22234,689,http://data.gesis.org/claimskg/creative_work/beaf2305-0858-575b-9323-5b76b1cf1096,"There are 430,000 more people in employment than before the pandemic began.",fullfact,English,FALSE,1,,,0.0,12,en,18,18_pandemic_workforce_workers_unemployment
2636,4727,26377,4832,http://data.gesis.org/claimskg/creative_work/8b4797ba-2899-5388-9c37-3c8525ba77e4,There are more people in work than there were before the pandemic.,fullfact,English,FALSE,1,,,0.0,12,en,18,18_pandemic_workforce_workers_unemployment
2862,5206,27117,5572,http://data.gesis.org/claimskg/creative_work/85348494-069d-54d9-ad62-09d69178cbba,Economic inactivity is up by half a million since the spring of 2019 largely because of long Covid.,fullfact,English,OTHER,-1,,,0.0,18,en,18,18_pandemic_workforce_workers_unemployment
2896,5242,21655,110,http://data.gesis.org/claimskg/creative_work/3e1871b3-4504-57bc-a471-18a898355738,Employees are earning more money than before the pandemic.,fullfact,English,FALSE,1,,,0.0,9,en,18,18_pandemic_workforce_workers_unemployment
3138,5492,24960,3415,http://data.gesis.org/claimskg/creative_work/10a7978f-8c66-55e3-8c2a-fc1238c2e281,"There are 420,000 more people in work now than at the start of the pandemic.",fullfact,English,FALSE,1,,,0.0,15,en,18,18_pandemic_workforce_workers_unemployment
3777,6137,23362,1817,http://data.gesis.org/claimskg/creative_work/ef7346a0-6159-50c6-8735-af18f9cbef52,"We now have 420,000 more people in employment than there were before the pandemic began.",fullfact,English,FALSE,1,,,0.0,15,en,18,18_pandemic_workforce_workers_unemployment
3866,6230,23429,1884,http://data.gesis.org/claimskg/creative_work/c2af2175-d909-5a37-9984-0dfb48a00396,There are now more people in work than there were before the pandemic began.,fullfact,English,MIXTURE,2,,,0.0,14,en,18,18_pandemic_workforce_workers_unemployment
4693,8844,57092,9222,http://data.gesis.org/claimskg/creative_work/dc1ca053-7fb4-5bbc-a622-5ef1b216f689,You've had over 2 million women drop out of the workforce during this pandemic.,politifact,English,MIXTURE,2,,,0.0,14,en,18,18_pandemic_workforce_workers_unemployment
