Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2755,4848,22532,987,http://data.gesis.org/claimskg/creative_work/40c4f6c6-d977-5cd2-90d9-e3f3921e48af,"Only 3,774 people under 65 have died of Covid in the UK.",fullfact,English,FALSE,1,,,0.0,12,en,19,19_deaths_covid19_covid_death
2804,5147,21840,295,http://data.gesis.org/claimskg/creative_work/2c2d045f-d8ce-5d88-9b17-291327e44d98,Mersey Care NHS Foundation Trust have had five deaths related to Covid-19 and all patients that passed away had pre-existing conditions.,fullfact,English,MIXTURE,2,,,0.0,21,en,19,19_deaths_covid19_covid_death
2846,5190,21925,380,http://data.gesis.org/claimskg/creative_work/e47a90f6-cb74-52e7-96b1-3f8998dab3af,At least 133 children have died of Covid-19 in the UK.,fullfact,English,OTHER,-1,,,0.0,11,en,19,19_deaths_covid19_covid_death
2921,5271,21666,121,http://data.gesis.org/claimskg/creative_work/49eee639-d67c-5dab-b6be-6ab39967efe2,Daily Covid deaths in the UK soared on 9 November 2021.,fullfact,English,OTHER,-1,,,0.0,11,en,19,19_deaths_covid19_covid_death
2993,5345,25091,3546,http://data.gesis.org/claimskg/creative_work/bf10988c-3200-5165-b2dd-09b74f7b418c,"No more than 100,000 people have died of Covid in the UK.",fullfact,English,FALSE,1,,,0.0,12,en,19,19_deaths_covid19_covid_death
3092,5446,25309,3764,http://data.gesis.org/claimskg/creative_work/2ccfe3ed-65e4-5780-91a8-088a4bc89a6c,A Lisbon court found only 152 deaths have been caused by Covid in Portugal.,fullfact,English,FALSE,1,,,0.0,14,en,19,19_deaths_covid19_covid_death
3481,5838,23187,1642,http://data.gesis.org/claimskg/creative_work/434e66e6-d529-5db3-bee3-25177ce6cfaa,People who die of Covid would probably have died within a year.,fullfact,English,FALSE,1,,,0.0,12,en,19,19_deaths_covid19_covid_death
3722,6082,23629,2084,http://data.gesis.org/claimskg/creative_work/d232a307-76ff-57cf-8ae1-ce2f436fa030,18 people died of Covid-19 in one day in England.,fullfact,English,TRUE,3,,,0.0,10,en,19,19_deaths_covid19_covid_death
9675,14015,24843,3298,http://data.gesis.org/claimskg/creative_work/52622079-5270-5092-ab56-ee98e97f020e,"Only 17,500 people have died of Covid in England and Wales.",fullfact,English,FALSE,1,England and Wales,['England and Wales'],1.0,11,en,19,19_deaths_covid19_covid_death
9992,14334,25467,3922,http://data.gesis.org/claimskg/creative_work/f5e14408-5946-56a5-acec-fc78c7b50445,"The total number of deaths from Covid-19 in the UK is now at 233, the same number of deaths reported in Italy about two weeks ago.",fullfact,English,TRUE,3,Italy,['Italy'],1.0,26,en,19,19_deaths_covid19_covid_death
