Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2391,4477,39701,874,http://data.gesis.org/claimskg/creative_work/0d4d0421-fa48-5b8c-8709-352fbd614454,"Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu ... we are learning to live with Covid, in most populations far less lethal.",politifact,English,False,1,,,0.0,29,en,1,1_covid19_flu_outbreak_hoax
2790,5024,27490,5945,http://data.gesis.org/claimskg/creative_work/9b481b01-f157-5ed5-9fc8-b565cb0acac5,Covid-19 is a rebrand of flu,fullfact,English,OTHER,-1,,,0.0,6,en,1,1_covid19_flu_outbreak_hoax
2829,5172,21779,234,http://data.gesis.org/claimskg/creative_work/a0561b1b-8d47-52fc-a024-7fbc8c7e9131,Covid-19 kills roughly the same number of people as flu.,fullfact,English,OTHER,-1,,,0.0,10,en,1,1_covid19_flu_outbreak_hoax
2867,5211,21883,338,http://data.gesis.org/claimskg/creative_work/877c05e9-d482-51da-9d07-2c457e53410b,Covid-19 has never been isolated in a laboratory. It has never been proven to exist.,fullfact,English,FALSE,1,,,0.0,15,en,1,1_covid19_flu_outbreak_hoax
2934,5284,21759,214,http://data.gesis.org/claimskg/creative_work/e54fba6a-d4eb-59dc-abdf-c6bcf76d4ee0,Covid-19 is being used to usher in Agenda 2030 which will enslave humanity.,fullfact,English,OTHER,-1,,,0.0,13,en,1,1_covid19_flu_outbreak_hoax
2997,5349,23960,2415,http://data.gesis.org/claimskg/creative_work/b025dffb-ab96-56d1-acc4-ae59d0532757,Walking your pet dog may raise your risk of catching coronavirus by 78 per cent.,fullfact,English,OTHER,-1,,,0.0,15,en,1,1_covid19_flu_outbreak_hoax
3005,5357,24079,2534,http://data.gesis.org/claimskg/creative_work/5f3d2b3a-1b3f-5a71-bf80-31f4fd489e88,Covid-19 doesn’t really exist.,fullfact,English,TRUE,3,,,0.0,4,en,1,1_covid19_flu_outbreak_hoax
3429,5785,25914,4369,http://data.gesis.org/claimskg/creative_work/cf182a5c-0951-55cf-9765-6ef8da938789,Covid-19 is a lie.,fullfact,English,FALSE,1,,,0.0,4,en,1,1_covid19_flu_outbreak_hoax
3594,5952,25928,4383,http://data.gesis.org/claimskg/creative_work/21185c83-15ed-57df-8a0e-e74d78b697be,Covid-19 is a flu and nothing more.,fullfact,English,TRUE,3,,,0.0,7,en,1,1_covid19_flu_outbreak_hoax
3741,6101,25357,3812,http://data.gesis.org/claimskg/creative_work/c0722605-82ee-5204-9115-af2fb53c86f6,You cannot catch Covid-19 from touching surfaces.,fullfact,English,FALSE,1,,,0.0,7,en,1,1_covid19_flu_outbreak_hoax
3772,6132,25641,4096,http://data.gesis.org/claimskg/creative_work/610390de-f759-5842-b92f-593e96105197,You cannot catch Covid-19 person to person.,fullfact,English,OTHER,-1,,,0.0,7,en,1,1_covid19_flu_outbreak_hoax
3867,6231,25585,4040,http://data.gesis.org/claimskg/creative_work/2d7b1ca7-50bb-5a8e-8a78-1002b0df3cb5,You cannot catch Covid-19 person to person or touching surfaces.,fullfact,English,MIXTURE,2,,,0.0,10,en,1,1_covid19_flu_outbreak_hoax
4332,8145,27773,6228,http://data.gesis.org/claimskg/creative_work/6f5e3aff-edf0-51dc-b894-90720af3d9be,Flu caused more deaths in the UK than Covid-19 did between 19 June and 31 July.,fullfact,English,OTHER,-1,,,0.0,16,en,1,1_covid19_flu_outbreak_hoax
9184,13519,25700,4155,http://data.gesis.org/claimskg/creative_work/54ad9cf1-bc64-57aa-8ac5-7db91d8096d9,Covid-19 and influenza reports are being combined.,fullfact,English,MIXTURE,2,Covid-19,['Covid-19'],1.0,7,en,1,1_covid19_flu_outbreak_hoax
9568,13906,26413,4868,http://data.gesis.org/claimskg/creative_work/cb877111-4651-557b-bc9f-ea1104ad4900,A video shows Matt Hancock saying the WHO told him there is no evidence for asymptomatic transmission of Covid-19.,fullfact,English,OTHER,-1,WHO,['WHO'],1.0,19,en,1,1_covid19_flu_outbreak_hoax
10215,14558,25307,3762,http://data.gesis.org/claimskg/creative_work/8cd8428d-eec4-5b68-a05e-2bc6126c4aaa,People knew about Covid-19 in 2018.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,6,en,1,1_covid19_flu_outbreak_hoax
