Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
17570,22081,40946,2119,http://data.gesis.org/claimskg/creative_work/d3ef3178-4197-5fba-8456-2e36766351cc,A photo shows two Italian nurses in a hospital a few days before they got COVID-19 and died.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,18,en,20,20_coronavirus_covid19_bodies_italy
18733,23318,13673,2325,http://data.gesis.org/claimskg/creative_work/0a890783-a62b-5069-8e9f-6b97bdc8e7cb,This video shows Italian doctors who contracted COVID-19 whilst treating patients?,factcheck_afp,English,FALSE,1,COVID-19,['COVID-19'],1.0,11,en,20,20_coronavirus_covid19_bodies_italy
20501,25438,15957,4609,http://data.gesis.org/claimskg/creative_work/a950cbb4-5cde-5ae6-b539-c816a23a8df7,These photos show patients outside Italian hospitals during the COVID-19 pandemic,factcheck_afp,English,FALSE,1,COVID-19 pandemic,['COVID-19 pandemic'],1.0,11,en,20,20_coronavirus_covid19_bodies_italy
21026,26003,4813,4813,http://data.gesis.org/claimskg/creative_work/7bac48c3-6bc0-5a8b-9ca1-ec4d16a6041d,"‘We have lost control’? Photo not of Italy’s prime minister during coronavirus crisis, and quote made up",africacheck,English,FALSE,1,Italy,['Italy'],1.0,17,en,20,20_coronavirus_covid19_bodies_italy
21349,26339,7795,1557,http://data.gesis.org/claimskg/creative_work/c3cd434b-f956-5e4a-a0da-6e5a2b6e8e3d,An image shared on Facebook purportedly shows dozens of coffins containing Italians who have died from COVID-19.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,17,en,20,20_coronavirus_covid19_bodies_italy
23359,28559,12796,1448,http://data.gesis.org/claimskg/creative_work/9d2ac9ab-88b3-5d90-9cb6-841913d18a60,Video of Italian Covid-19 victims,factcheck_afp,English,FALSE,1,Covid-19 victims,['Covid-19 victims'],1.0,5,en,20,20_coronavirus_covid19_bodies_italy
26519,31785,8647,2409,http://data.gesis.org/claimskg/creative_work/8abd84ea-c3b4-5ce8-9269-95c512a1d37e,An image shared on Facebook claims that Italian priest Giuseppe Berardelli died from COVID-19 after giving his ventilator to a younger patient.,checkyourfact,English,FALSE,1,"Facebook, Italian priest","['Facebook', ' Italian priest']",2.0,22,en,20,20_coronavirus_covid19_bodies_italy
26964,32232,9533,3295,http://data.gesis.org/claimskg/creative_work/63dd228b-c173-59b4-9c11-df5b0a57c5dc,"An image shared on Facebook more than 1,200 times purportedly shows Italian doctors who died from coronavirus in an operating room.",checkyourfact,English,FALSE,1,"Facebook, operating room","['Facebook', ' operating room']",2.0,21,en,20,20_coronavirus_covid19_bodies_italy
28164,33446,8092,1854,http://data.gesis.org/claimskg/creative_work/6e4e3a85-6ed3-5466-afd8-36cc72f098ba,An image shared on Facebook purportedly shows the bodies of people who have died from the new coronavirus in the streets of Italy.,checkyourfact,English,FALSE,1,"Facebook, Italy","['Facebook', ' Italy']",2.0,23,en,20,20_coronavirus_covid19_bodies_italy
31001,36305,713,713,http://data.gesis.org/claimskg/creative_work/0d369eea-2cd5-53bf-9286-0195e5ceb708,"Photo of migrants drowned in 2013, not Italy’s coronavirus victims",africacheck,English,FALSE,1,"Italy, coronavirus victims","['Italy', ' coronavirus victims']",2.0,10,en,20,20_coronavirus_covid19_bodies_italy
31625,36934,1518,1518,http://data.gesis.org/claimskg/creative_work/6c127e72-5dda-5cd9-97b9-c4ef70ef268f,"No, video not of Italian billionaire’s suicide after ‘family wiped out’ by coronavirus",africacheck,English,FALSE,1,"billionaire, coronavirus","['billionaire', ' coronavirus']",2.0,13,en,20,20_coronavirus_covid19_bodies_italy
