Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2668,4760,22811,1266,http://data.gesis.org/claimskg/creative_work/f20efd19-5df7-5cff-a7db-6a9a5a52ab3a,"Government data shows 460 deaths and 243,612 injuries from Covid-19 vaccines in the UK.",fullfact,English,FALSE,1,,,0.0,14,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
2783,4961,27419,5874,http://data.gesis.org/claimskg/creative_work/8085dfde-bda5-5869-ab2f-166dce627d99,The official UK death toll from the coronavirus pandemic now equals the death toll from the Blitz.,fullfact,English,OTHER,-1,,,0.0,17,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
3027,5379,25001,3456,http://data.gesis.org/claimskg/creative_work/f5aaee3a-0631-54f4-bb33-bc70f78452a5,"Throughout Europe, the USA, the UK and Australia, medicine regulators have received reports of 77,068 deaths due to Covid-19 vaccination.",fullfact,English,FALSE,1,,,0.0,20,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
3420,5776,25907,4362,http://data.gesis.org/claimskg/creative_work/5ebf30b9-b5f8-58ca-b596-d6c6a31807d7,Deaths in care homes are up 81% since the start of the Covid-19 vaccination rollout.,fullfact,English,OTHER,-1,,,0.0,15,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
3462,5818,23218,1673,http://data.gesis.org/claimskg/creative_work/ea689c5a-6627-5f8f-a6f2-dcd2347108b4,The UK has recorded five times more deaths due to the Covid-19 vaccines than all other vaccines over the past five years,fullfact,English,OTHER,-1,,,0.0,22,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
3727,6087,23624,2079,http://data.gesis.org/claimskg/creative_work/6254ba3f-67f8-5c28-bdc6-6934a1a8112f,"In Scotland, the fully vaccinated account for nine in every 10 Covid-19 deaths over the past four months.",fullfact,English,FALSE,1,,,0.0,18,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
3778,6138,23361,1816,http://data.gesis.org/claimskg/creative_work/f3bea2de-dbbd-58ec-9287-b8e7e208bae7,"There have been 1,400 deaths and one million injured from Covid-19 vaccinations in the UK.",fullfact,English,MIXTURE,2,,,0.0,15,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
3816,6177,25564,4019,http://data.gesis.org/claimskg/creative_work/49939d6f-e35b-5a46-89f8-c19489445035,A document on the UK government website says the third wave of deaths will come from the vaccine.,fullfact,English,OTHER,-1,,,0.0,18,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
9698,14038,24878,3333,http://data.gesis.org/claimskg/creative_work/131b3cf5-899e-5bab-ac87-97261fa720d6,PHE released a report revealing 62% of Covid-19 deaths are people who have been vaccinated.,fullfact,English,OTHER,-1,released a report,['released a report'],1.0,15,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
11025,15374,27733,6188,http://data.gesis.org/claimskg/creative_work/ed404711-8a2a-5077-80a9-fefc7a374e5a,Over 70% of Covid-19 deaths are now in vaccinated people in the UK.,fullfact,English,TRUE,3,vaccinated people,['vaccinated people'],1.0,13,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
12101,16457,44397,5570,http://data.gesis.org/claimskg/creative_work/f82ac5b3-c513-5c24-99c1-7880f99f8940,60% of patients admitted to the hospital in the UK have been fully vaccinated,politifact,English,False,1,fully vaccinated,['fully vaccinated'],1.0,14,en,21,21_vaccination_vaccinated_vaccinecaused_unvaccinated
