Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
3491,5848,23208,1663,http://data.gesis.org/claimskg/creative_work/af82990e-2cd4-5ea4-8aab-5ff666f42ca6,"The same nurse was pictured vaccinating the first two recipients of the Covid-19 vaccine in the UK, despite them being 20 miles apart.",fullfact,English,OTHER,-1,,,0.0,23,en,23,23_vaccine_vaccinated_covid19_margaret
9072,13406,26144,4599,http://data.gesis.org/claimskg/creative_work/bd551b49-39bb-568e-9729-c47c12c67f77,Pictures show Boris Johnson has received a Covid-19 vaccine three times.,fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,11,en,23,23_vaccine_vaccinated_covid19_margaret
9450,13787,26667,5122,http://data.gesis.org/claimskg/creative_work/c225e560-8ec0-51ab-9b26-bc467404b5d5,The same image of an elderly woman being vaccinated has been used by the media to show a woman called Joan being vaccinated in Manchester and a woman called Susan getting vaccinated in South Africa.,fullfact,English,OTHER,-1,South Africa,['South Africa'],1.0,35,en,23,23_vaccine_vaccinated_covid19_margaret
12964,17334,42156,3329,http://data.gesis.org/claimskg/creative_work/08062b4b-bed2-5ff2-bf89-870b9db422dc,Photo of vaccine package with 2018 date stamp shows COVID-19 outbreak was planned.,politifact,English,False,1,COVID-19 outbreak,['COVID-19 outbreak'],1.0,13,en,23,23_vaccine_vaccinated_covid19_margaret
18895,23636,8288,2050,http://data.gesis.org/claimskg/creative_work/998fa59b-81a9-5d8e-9332-7bba1ec22617,An image shared on Facebook purportedly shows Vice President Mike Pence receiving his first dose of the COVID-19 vaccine with the cap covering the needle.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,25,en,23,23_vaccine_vaccinated_covid19_margaret
19005,23798,14186,2838,http://data.gesis.org/claimskg/creative_work/c897793e-4104-5a14-b211-4c5b6956e82d,Images show babies born with defects caused by a Covid-19 vaccine,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,11,en,23,23_vaccine_vaccinated_covid19_margaret
19312,24156,10467,4229,http://data.gesis.org/claimskg/creative_work/ec7976c0-b670-5df4-a3e0-3fbba0a5e2d3,An image shared on Facebook purportedly shows a tweet from Republican Kentucky Sen. Rand Paul in which he claims to have evidence that COVID-19 vaccines are harming and killing people.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,30,en,23,23_vaccine_vaccinated_covid19_margaret
22567,27703,24393,2848,http://data.gesis.org/claimskg/creative_work/c233134a-6d70-57bc-af55-6f646c6cc560,CNN used a photo of one of the vaccine recipients back in October.,fullfact,English,OTHER,-1,CNN,['CNN'],1.0,13,en,23,23_vaccine_vaccinated_covid19_margaret
23928,29184,7550,1312,http://data.gesis.org/claimskg/creative_work/218dd388-9d78-5cad-bd8d-ea8f6f47f6e9,A video shared on Instagram purportedly shows the COVID-19 vaccine under a microscope.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Instagram","['COVID-19 vaccine', ' Instagram']",2.0,13,en,23,23_vaccine_vaccinated_covid19_margaret
24161,29417,10092,3854,http://data.gesis.org/claimskg/creative_work/ecb992d1-6843-58eb-a05f-cc54afbfcc7e,A video shared on Instagram purportedly shows a doctor removing a COVID-19 vaccine from someone’s body via cupping.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Instagram","['COVID-19 vaccine', ' Instagram']",2.0,18,en,23,23_vaccine_vaccinated_covid19_margaret
