Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
7868,12165,29803,656,http://data.gesis.org/claimskg/creative_work/75689a6e-36b8-5ef2-b8ad-caf753f45004,Cities and states have banned reusable shopping bags to help slow the spread of the COVID-19 pandemic.,truthorfiction,English,MIXTURE,2,spread of the COVID-19 pandemic,['spread of the COVID-19 pandemic'],1.0,17,en,25,25_walmart_shopping_covid19_retail
20242,25174,15530,4182,http://data.gesis.org/claimskg/creative_work/9ec330f0-2e59-56a9-83c8-364bcaf76177,Photo shows Singapore PM queue up for Covid Jab with citizens,factcheck_afp,English,FALSE,1,Singapore,['Singapore'],1.0,11,en,25,25_walmart_shopping_covid19_retail
21239,26227,16703,5355,http://data.gesis.org/claimskg/creative_work/e164c7a5-fb4c-5edb-8c3e-8c50c871f714,Philippine capital placed under heightened Covid restriction after elections,factcheck_afp,English,FALSE,1,Philippine capital,['Philippine capital'],1.0,9,en,25,25_walmart_shopping_covid19_retail
22066,27133,12655,1307,http://data.gesis.org/claimskg/creative_work/6fcbf658-6ae4-5652-bca2-121fb680bf13,Philippines issues advisory on avoiding shopping malls and hotels over novel coronavirus,factcheck_afp,English,FALSE,1,Philippines,['Philippines'],1.0,12,en,25,25_walmart_shopping_covid19_retail
26102,31365,11861,513,http://data.gesis.org/claimskg/creative_work/33482c4e-d460-5c48-bde8-4f440f28d15f,Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country,factcheck_afp,English,FALSE,1,"Philippines, entire country","['Philippines', ' entire country']",2.0,13,en,25,25_walmart_shopping_covid19_retail
27518,32790,11105,4867,http://data.gesis.org/claimskg/creative_work/bd588663-b538-5446-b4f8-7dd29fb2ed0e,An image shared on Facebook more than 700 times claims Walmart has adopted a staggered shopping schedule by age groups due to the ongoing coronavirus pandemic.,checkyourfact,English,FALSE,1,"Facebook, Walmart","['Facebook', ' Walmart']",2.0,26,en,25,25_walmart_shopping_covid19_retail
27608,32880,10935,4697,http://data.gesis.org/claimskg/creative_work/f2922085-c7aa-5e0d-9b5c-289864ece0cc,An image shared on Facebook claims customers will be required to provide ID and proof of COVID-19 vaccination to enter all Walmart stores in Canada starting Nov. 1.,checkyourfact,English,FALSE,1,"COVID-19 vaccination, Facebook","['COVID-19 vaccination', ' Facebook']",2.0,28,en,25,25_walmart_shopping_covid19_retail
28719,34004,10960,4722,http://data.gesis.org/claimskg/creative_work/5caf5bdf-5fa7-56b2-adbc-aa28976b9ede,"An image shared on Facebook purportedly shows a tweet from the Centers for Disease Control and Prevention (CDC) that states, It is more ethical to shoplift and leave the store to prevent the spread of COVID-19 than it is to wait in line and pay.",checkyourfact,English,FALSE,1,"Facebook, prevent the spread of COVID-19","['Facebook', ' prevent the spread of COVID-19']",2.0,45,en,25,25_walmart_shopping_covid19_retail
29135,34424,70292,8263,http://data.gesis.org/claimskg/creative_work/21f21cb4-e701-5ef1-9cc1-bead8e4e57eb,A meme details a staggered shopping schedule implemented by Walmart during the COVID-19 pandemic.,snopes,English,False,1,"COVID-19 pandemic, Walmart","['COVID-19 pandemic', ' Walmart']",2.0,14,en,25,25_walmart_shopping_covid19_retail
32707,38027,5629,5629,http://data.gesis.org/claimskg/creative_work/47aa2cea-f246-5229-acf9-e2ca84abdb68,Quickmart supermarket is not hiring ‘urgently’ due to Covid-19,africacheck,English,FALSE,1,"Covid-19, supermarket","['Covid-19', ' supermarket']",2.0,9,en,25,25_walmart_shopping_covid19_retail
36997,42391,17146,5798,http://data.gesis.org/claimskg/creative_work/977d97a9-4f5a-573b-bafd-d3850c248add,Singapore government forbids consumption of US import products due to COVID-19 fears,factcheck_afp,English,FALSE,1,"COVID-19, Singapore government","['COVID-19', ' Singapore government']",2.0,12,en,25,25_walmart_shopping_covid19_retail
37350,42763,16484,5136,http://data.gesis.org/claimskg/creative_work/20a8ce84-9c18-5af1-96d9-a40d5c8df410,"Mothers in the Philippines will receive P10,000 Covid-19 cash aid",factcheck_afp,English,FALSE,1,"Philippines, cash aid","['Philippines', ' cash aid']",2.0,10,en,25,25_walmart_shopping_covid19_retail
38039,43465,13636,2288,http://data.gesis.org/claimskg/creative_work/43b34995-5ee2-56c0-ad79-1681c9d7c511,Photos show forced Covid-19 vaccinations in Peru,factcheck_afp,English,FALSE,1,"Covid-19, Peru","['Covid-19', ' Peru']",2.0,7,en,25,25_walmart_shopping_covid19_retail
38494,43931,14314,2966,http://data.gesis.org/claimskg/creative_work/37273d96-4dd6-5b47-80e7-ab7699478112,This viral photo of a Covid-19 positive child taken in the Philippines,factcheck_afp,English,FALSE,1,"Covid-19, Philippines","['Covid-19', ' Philippines']",2.0,12,en,25,25_walmart_shopping_covid19_retail
41015,46894,13048,1700,http://data.gesis.org/claimskg/creative_work/7cde17e5-d4d2-5892-a226-664e31510bba,Video shows announcement from Philippine President Rodrigo Duterte about a successful COVID-19 vaccine,factcheck_afp,English,FALSE,1,"COVID-19 vaccine, President Rodrigo Duterte","['COVID-19 vaccine', ' President Rodrigo Duterte']",2.0,13,en,25,25_walmart_shopping_covid19_retail
41266,47146,41253,2426,http://data.gesis.org/claimskg/creative_work/687af6ba-c78b-51f2-8e13-94e4b8821642,Walmart is adopting a staggered shopping schedule by age group during the COVID-19 pandemic.,politifact,English,False,1,"COVID-19 pandemic, Walmart","['COVID-19 pandemic', ' Walmart']",2.0,14,en,25,25_walmart_shopping_covid19_retail
41941,47836,12676,1328,http://data.gesis.org/claimskg/creative_work/0871ccdb-8487-545a-92ed-8ff3fb49fe81,Genuine Covid-19 'vaccination exemption' cards in the Philippines,factcheck_afp,English,FALSE,1,"Covid-19, Philippines","['Covid-19', ' Philippines']",2.0,8,en,25,25_walmart_shopping_covid19_retail
41994,47891,12034,686,http://data.gesis.org/claimskg/creative_work/8ef7f2ae-80a2-5f0e-a0c3-49105c00866b,Information from a Philippine hospital shows correlation between COVID-19 and grocery shopping,factcheck_afp,English,FALSE,1,"COVID-19, grocery shopping","['COVID-19', ' grocery shopping']",2.0,12,en,25,25_walmart_shopping_covid19_retail
43506,49502,31191,2044,http://data.gesis.org/claimskg/creative_work/ba4f7d2f-749c-54d5-bfeb-b44b337c2679,Walmart promoted a COVID-19 testing site with a banner that included Pepsi's logo and slogan.,truthorfiction,English,TRUE,3,"COVID-19 testing site, Pepsi, Walmart","['COVID-19 testing site', ' Pepsi', ' Walmart']",3.0,15,en,25,25_walmart_shopping_covid19_retail
44427,50476,16764,5416,http://data.gesis.org/claimskg/creative_work/69d3dfab-6b09-577a-a129-9bd11d1bfc5b,Singapore issuing spot fines people for flouting social distancing orders durin covid-19 pandemic,factcheck_afp,English,FALSE,1,"Singapore, covid-19 pandemic, social distancing","['Singapore', ' covid-19 pandemic', ' social distancing']",3.0,13,en,25,25_walmart_shopping_covid19_retail
45449,51597,17765,6417,http://data.gesis.org/claimskg/creative_work/6897cedc-8872-5645-bfbe-61a84c3031cd,Japanese government is set to subsidise trips for foreign tourists visiting the country by up to half of the cost after it lifts its coronavirus lockdown,factcheck_afp,English,FALSE,1,"Japanese government, coronavirus lockdown, foreign tourists","['Japanese government', ' coronavirus lockdown', ' foreign tourists']",3.0,26,en,25,25_walmart_shopping_covid19_retail
46835,53013,12304,956,http://data.gesis.org/claimskg/creative_work/0b7ddd88-6d17-5626-bed3-b8d8ec332a54,"Philippines had no SARS case in 2003 because of prompt travel ban, but highest Covid-19 cases in Asia in 2020 because of late ban",factcheck_afp,English,FALSE,1,"Asia, Covid-19, Philippines","['Asia', ' Covid-19', ' Philippines']",3.0,24,en,25,25_walmart_shopping_covid19_retail
