Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
115,789,15641,4293,http://data.gesis.org/claimskg/creative_work/60308586-dd92-5b58-9b02-60edf9456497,Video shows Chinese health workers forcing woman to get vaccinated,factcheck_afp,English,FALSE,1,,,0.0,10,en,26,26_covid_sinovac_beijing_aidscovid
214,1861,16795,5447,http://data.gesis.org/claimskg/creative_work/1b5dba79-d446-5aae-ab87-72f5c80554d6,Video shows Chinese health workers protesting after zero-Covid policy eased,factcheck_afp,English,FALSE,1,,,0.0,10,en,26,26_covid_sinovac_beijing_aidscovid
19074,23894,13184,1836,http://data.gesis.org/claimskg/creative_work/a73caa37-f3e1-5777-bb9f-1241e7fe1fff,This video shows coronavirus patients in China,factcheck_afp,English,OTHER,-1,China,['China'],1.0,7,en,26,26_covid_sinovac_beijing_aidscovid
20150,25080,16503,5155,http://data.gesis.org/claimskg/creative_work/8de535e3-a32f-58cb-a5d4-b4d627eb7da4,Chinese police use excessive force while arresting COVID-19 patients,factcheck_afp,English,FALSE,1,COVID-19,['COVID-19'],1.0,9,en,26,26_covid_sinovac_beijing_aidscovid
20484,25421,15862,4514,http://data.gesis.org/claimskg/creative_work/2dc3157d-a2ae-5697-8e24-bde3627cb668,Video shows announcement of return of Covid restrictions in Chinese city,factcheck_afp,English,FALSE,1,Covid restrictions,['Covid restrictions'],1.0,11,en,26,26_covid_sinovac_beijing_aidscovid
20777,25723,17673,6325,http://data.gesis.org/claimskg/creative_work/02f7037c-a462-5606-be43-3f203bf1c3b2,Video of US residents violently panic buying during coronavirus epidemic,factcheck_afp,English,FALSE,1,panic buying,['panic buying'],1.0,10,en,26,26_covid_sinovac_beijing_aidscovid
20836,25782,17437,6089,http://data.gesis.org/claimskg/creative_work/94f10ff1-cfd7-57fe-a7de-84384d18de5e,Video shows huge queue for vaccines in Chinese city of Yulin,factcheck_afp,English,FALSE,1,Yulin,['Yulin'],1.0,11,en,26,26_covid_sinovac_beijing_aidscovid
20973,25948,17991,6643,http://data.gesis.org/claimskg/creative_work/2f9c16a3-5d3f-52bb-ba2f-729275344c16,Photo of people from Chinese mainland heading to Hong Kong for pandemic aid,factcheck_afp,English,FALSE,1,Hong Kong,['Hong Kong'],1.0,13,en,26,26_covid_sinovac_beijing_aidscovid
21093,26073,14380,3032,http://data.gesis.org/claimskg/creative_work/7cc71eb8-c24e-5dab-91bd-7a3d2b6159da,Video shows people handcuffed to do mandatory mass Covid testing in China,factcheck_afp,English,FALSE,1,China,['China'],1.0,12,en,26,26_covid_sinovac_beijing_aidscovid
21441,26433,17096,5748,http://data.gesis.org/claimskg/creative_work/854535bb-8848-5cf5-9b7e-0c4c4880f144,Video shows people panic fleeing in a carnival in China for Covid red code.,factcheck_afp,English,FALSE,1,China,['China'],1.0,14,en,26,26_covid_sinovac_beijing_aidscovid
21649,26643,12407,1059,http://data.gesis.org/claimskg/creative_work/b352f451-44f7-5268-bd8b-38d7cd142f0b,Video shows violent crackdown on Beijing students protesting Covid curbs,factcheck_afp,English,FALSE,1,Beijing,['Beijing'],1.0,10,en,26,26_covid_sinovac_beijing_aidscovid
23355,28553,10971,4733,http://data.gesis.org/claimskg/creative_work/64713f6b-27d4-5dfa-8b27-66d7d28ff10b,"An image shared on Facebook claims that two of China’s most populous cities, Beijing and Shanghai, have not documented any cases of COVID-19.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,23,en,26,26_covid_sinovac_beijing_aidscovid
28623,33907,11376,28,http://data.gesis.org/claimskg/creative_work/ec456237-3538-5014-9bb9-2045e2511362,Video shows police clash during Shanghai’s Covid-19 lockdown in 2022,factcheck_afp,English,FALSE,1,"Covid-19, Shanghai","['Covid-19', ' Shanghai']",2.0,10,en,26,26_covid_sinovac_beijing_aidscovid
36251,41608,15868,4520,http://data.gesis.org/claimskg/creative_work/cd85dd5f-ce77-51e4-a744-ca4f21170a9f,This video shows Wuhan before COVID-19,factcheck_afp,English,FALSE,1,"COVID-19, Wuhan","['COVID-19', ' Wuhan']",2.0,6,en,26,26_covid_sinovac_beijing_aidscovid
36298,41662,15571,4223,http://data.gesis.org/claimskg/creative_work/51dbd2cc-32b8-5a77-870b-0efee04755ff,Chinese official declaring 'China hasn't issued Covid lockdowns',factcheck_afp,English,FALSE,1,"China, Chinese official","['China', ' Chinese official']",2.0,8,en,26,26_covid_sinovac_beijing_aidscovid
36892,42278,17360,6012,http://data.gesis.org/claimskg/creative_work/3705e966-6fda-5f99-90e4-1f03cafd3573,Video shows coronavirus hotel collapse in China in March 2020,factcheck_afp,English,FALSE,1,"China, March 2020","['China', ' March 2020']",2.0,10,en,26,26_covid_sinovac_beijing_aidscovid
36976,42368,17173,5825,http://data.gesis.org/claimskg/creative_work/5cfc76bf-4cf0-5f83-867a-abc447e0559c,Video shows Xi saying China’s Covid governance is flexible in December 2022,factcheck_afp,English,FALSE,1,"China, December 2022","['China', ' December 2022']",2.0,12,en,26,26_covid_sinovac_beijing_aidscovid
37180,42585,16068,4720,http://data.gesis.org/claimskg/creative_work/1c7b350d-885b-5ce6-9bc5-852c7b3fdd71,This video shows genuine Covid-19 advice from Chinese official,factcheck_afp,English,FALSE,1,"Chinese official, Covid-19","['Chinese official', ' Covid-19']",2.0,9,en,26,26_covid_sinovac_beijing_aidscovid
37442,42860,13940,2592,http://data.gesis.org/claimskg/creative_work/50dc9fe7-e416-5154-a278-94b8d8bb30b0,Video shows children going to school during Shanghai's Covid lockdown,factcheck_afp,English,FALSE,1,"Covid lockdown, Shanghai","['Covid lockdown', ' Shanghai']",2.0,10,en,26,26_covid_sinovac_beijing_aidscovid
38348,43781,14867,3519,http://data.gesis.org/claimskg/creative_work/b9087880-3a58-5019-a621-975d9bc894ae,Video of Chinese citizens converting to Islam due to COVID-19,factcheck_afp,English,FALSE,1,"COVID-19, Islam","['COVID-19', ' Islam']",2.0,10,en,26,26_covid_sinovac_beijing_aidscovid
41501,47386,12606,1258,http://data.gesis.org/claimskg/creative_work/fdba0436-581e-58d3-ba81-6642c3cf20b7,China and Japan back on COVID-19 lockdown,factcheck_afp,English,FALSE,1,"COVID-19 lockdown, China and Japan","['COVID-19 lockdown', ' China and Japan']",2.0,7,en,26,26_covid_sinovac_beijing_aidscovid
41629,47517,12694,1346,http://data.gesis.org/claimskg/creative_work/dd5be43b-c08a-58a9-bf36-43e600462e4a,Guidelines for Sinovac vaccination from Beijing Vaccination Prevention Center,factcheck_afp,English,FALSE,1,"Beijing, Sinovac","['Beijing', ' Sinovac']",2.0,9,en,26,26_covid_sinovac_beijing_aidscovid
41888,47782,43176,4349,http://data.gesis.org/claimskg/creative_work/df1831c5-0496-5a3c-83cd-e9efef059e71,China recovered from COVID-19 without a vaccine.,politifact,English,False,1,"COVID-19, China","['COVID-19', ' China']",2.0,7,en,26,26_covid_sinovac_beijing_aidscovid
43062,49024,66606,4577,http://data.gesis.org/claimskg/creative_work/84a7a2f9-7afb-5b77-b2a0-c8870a971c11,A video shows a group of young children in China wearing hazmat suits to protect them against COVID-19.,snopes,English,False,1,"COVID-19, China, hazmat suits","['COVID-19', ' China', ' hazmat suits']",3.0,18,en,26,26_covid_sinovac_beijing_aidscovid
43070,49033,12551,1203,http://data.gesis.org/claimskg/creative_work/7eae1d57-26a7-503a-adb0-2736d61c2a01,"Video shows protest against getting Covid test in Chongqing, China.",factcheck_afp,English,FALSE,1,"China, Chongqing, Covid","['China', ' Chongqing', ' Covid']",3.0,10,en,26,26_covid_sinovac_beijing_aidscovid
44135,50181,46959,8132,http://data.gesis.org/claimskg/creative_work/db08b242-769d-58d0-b650-0ccb0dbce811,"Says imposters in hazmat suits are going door to door in Stockton, Calif., saying they are checking residents for fever or COVID-19, but they will enter your home and physically attempt robbery.",politifact,English,False,1,"COVID-19, door to door, hazmat suits","['COVID-19', ' door to door', ' hazmat suits']",3.0,32,en,26,26_covid_sinovac_beijing_aidscovid
45437,51585,17749,6401,http://data.gesis.org/claimskg/creative_work/9741e08e-6639-5bf9-85aa-9cc9e01bb60c,Video shows residents breaking out of Covid lockdown in China’s Lanzhou,factcheck_afp,English,FALSE,1,"China’s, Covid lockdown, Lanzhou","['China’s', ' Covid lockdown', ' Lanzhou']",3.0,11,en,26,26_covid_sinovac_beijing_aidscovid
48242,54460,11411,63,http://data.gesis.org/claimskg/creative_work/947a618b-fbfa-5559-9c69-ebf29f021b6c,"Video shows disorderly Covid-19 vaccination queues in Nanning, China",factcheck_afp,English,FALSE,1,"China, Covid-19, Nanning","['China', ' Covid-19', ' Nanning']",3.0,9,en,26,26_covid_sinovac_beijing_aidscovid
49286,55611,11468,120,http://data.gesis.org/claimskg/creative_work/9dbdd69c-d49a-59fc-9e13-a8ac01367d69,This video shows Wuhan residents queuing for death certificates after the novel coronavirus outbreak,factcheck_afp,English,FALSE,1,"Wuhan, coronavirus outbreak, death certificates","['Wuhan', ' coronavirus outbreak', ' death certificates']",3.0,14,en,26,26_covid_sinovac_beijing_aidscovid
51502,57883,13727,2379,http://data.gesis.org/claimskg/creative_work/548bf020-57c9-5ff3-b5f2-ebbc3f4a1104,Video shows Jack Ma praising China’s response to COVID-19 in speech,factcheck_afp,English,FALSE,1,"China’s, Jack Ma, response to COVID-19","['China’s', ' Jack Ma', ' response to COVID-19']",3.0,11,en,26,26_covid_sinovac_beijing_aidscovid
57920,64438,29016,1058,http://data.gesis.org/claimskg/creative_work/43b225b0-8b6d-5c4c-a443-7347496fc644,China Daily’s Phony AIDS/COVID Connection,polygraph,English,FALSE,1,"AIDS, COVID, China Daily, Connection","['AIDS', ' COVID', ' China Daily', ' Connection']",4.0,5,en,26,26_covid_sinovac_beijing_aidscovid
58880,65420,15721,4373,http://data.gesis.org/claimskg/creative_work/c6bab844-9257-594a-94db-ac18b723c81d,Hong Kong actor Jackie Chan is providing handouts to those staying at home and commenting on the Facebook post during the COVID-19 pandemic.,factcheck_afp,English,FALSE,1,"COVID-19 pandemic, Facebook, Hong Kong actor, Jackie Chan","['COVID-19 pandemic', ' Facebook', ' Hong Kong actor', ' Jackie Chan']",4.0,23,en,26,26_covid_sinovac_beijing_aidscovid
63145,69942,64558,2529,http://data.gesis.org/claimskg/creative_work/19444833-5a50-58e2-b4be-07936c99a012,A video recorded in November 2022 shows Chinese officials in white protective hazmat suits carrying people down a hallway to be quarantined for COVID-19.,snopes,English,False,1,"COVID-19, Chinese officials, November 2022, hazmat suits, video recorded","['COVID-19', ' Chinese officials', ' November 2022', ' hazmat suits', ' video recorded']",5.0,24,en,26,26_covid_sinovac_beijing_aidscovid
64810,71743,70254,8225,http://data.gesis.org/claimskg/creative_work/9d1a6804-0e6a-5254-83ab-da09576a837e,"A video shows a chaotic scene in Wuhan, China, involving doctors armed with weapons, gunshots to deter people from leaving a new coronavirus quarantine, and a woman who was shot dead after she attempted to break through a roadblock.",snopes,English,False,1,"China, Wuhan, armed with weapons, attempted to break, coronavirus quarantine, roadblock","['China', ' Wuhan', ' armed with weapons', ' attempted to break', ' coronavirus quarantine', ' roadblock']",6.0,39,en,26,26_covid_sinovac_beijing_aidscovid
