Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2492,4582,22384,839,http://data.gesis.org/claimskg/creative_work/5b380b71-405b-5d03-8d2a-412c0589ddf8,ONS data shows huge falls in non-Covid causes of death in December 2020.,fullfact,English,FALSE,1,,,0.0,13,en,27,27_deaths_covid_covid19_suicides
2590,4680,26894,5349,http://data.gesis.org/claimskg/creative_work/13bdd6ef-99b6-564c-bce3-f413dc4e883a,There were more suicide deaths than coronavirus deaths in the last two months.,fullfact,English,FALSE,1,,,0.0,13,en,27,27_deaths_covid_covid19_suicides
3392,5748,23122,1577,http://data.gesis.org/claimskg/creative_work/b70d1cb4-6f0e-5c6c-9d6c-6e21b222b50b,More than twice as many people died of Covid-19 in July and August 2022 than in the same months in 2021 and 2020.,fullfact,English,OTHER,-1,,,0.0,23,en,27,27_deaths_covid_covid19_suicides
3527,5885,26067,4522,http://data.gesis.org/claimskg/creative_work/b96138a4-f5f7-54d7-b2ec-097aa266deef,There was a large rise in the number of Covid deaths on 2 February 2022.,fullfact,English,OTHER,-1,,,0.0,15,en,27,27_deaths_covid_covid19_suicides
3687,6046,23603,2058,http://data.gesis.org/claimskg/creative_work/ac2f55c0-20c3-5047-bdc8-ee466d786fe8,Suicide is killing more people than Covid-19 in September 2021.,fullfact,English,FALSE,1,,,0.0,10,en,27,27_deaths_covid_covid19_suicides
8560,12885,30774,1627,http://data.gesis.org/claimskg/creative_work/c1005e6b-9c78-5b5a-b3d2-370693ef352d,More people died of suicide in 2020 than died of COVID-19.,truthorfiction,English,FALSE,1,COVID-19,['COVID-19'],1.0,11,en,27,27_deaths_covid_covid19_suicides
9276,13613,25815,4270,http://data.gesis.org/claimskg/creative_work/5bf5070b-d9f9-5a60-b1db-50f65ef20912,More people died from suicide than from Covid-19 in August.,fullfact,English,OTHER,-1,died from suicide,['died from suicide'],1.0,10,en,27,27_deaths_covid_covid19_suicides
11898,16254,45053,6226,http://data.gesis.org/claimskg/creative_work/3f86a3da-e71d-59c4-9479-9cc61d9b9d50,More suicide deaths than coronavirus death past two months.,politifact,English,False,1,suicide deaths,['suicide deaths'],1.0,9,en,27,27_deaths_covid_covid19_suicides
18132,22651,38715,2403,http://data.gesis.org/claimskg/creative_work/ba5286fd-2f93-5e27-a27b-4d304f9d13f8,The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.,politifact,English,True,3,COVID-19,['COVID-19'],1.0,16,en,27,27_deaths_covid_covid19_suicides
18282,22801,38369,2057,http://data.gesis.org/claimskg/creative_work/55ffc5b5-1ee9-55e4-8c4e-8ad1f04bd282,Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,politifact,English,True,3,Covid-19,['Covid-19'],1.0,21,en,27,27_deaths_covid_covid19_suicides
