Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
167,1405,17668,6320,http://data.gesis.org/claimskg/creative_work/a23fc868-3f3d-5e0f-8d9a-10725f420c8e,Overseas airlines considering barring vaccinated travellers,factcheck_afp,English,FALSE,1,,,0.0,6,en,28,28_pilots_vaccine_vaccination_vaccinated
275,2274,45280,6453,http://data.gesis.org/claimskg/creative_work/eb4cbddb-6905-5d4a-b14c-977302005644,There is an epidemic of plane crashes linked to vaccine-related strokes in pilots.,politifact,English,False,1,,,0.0,13,en,28,28_pilots_vaccine_vaccination_vaccinated
726,2739,44461,5634,http://data.gesis.org/claimskg/creative_work/79064cfe-fc5a-5bfc-ba4c-837fbcfdb1ba,Vaccines are why flights have been shut down worldwide.,politifact,English,False,1,,,0.0,9,en,28,28_pilots_vaccine_vaccination_vaccinated
3836,6197,23477,1932,http://data.gesis.org/claimskg/creative_work/c75223e4-f552-5196-b757-8457ff028342,Some airlines are not allowing vaccinated passengers to fly.,fullfact,English,OTHER,-1,,,0.0,9,en,28,28_pilots_vaccine_vaccination_vaccinated
11905,16261,45033,6206,http://data.gesis.org/claimskg/creative_work/86a9368a-1a86-5646-ab50-32f6bf37849c,Airline CEO gets pied for forcing vaccinations,politifact,English,False,1,CEO,['CEO'],1.0,7,en,28,28_pilots_vaccine_vaccination_vaccinated
13262,17633,42951,4124,http://data.gesis.org/claimskg/creative_work/75ade8df-fd1d-53be-b49b-50aad4256299,The percentage of vaccinated employees at United Airlines increased after the mandate because unvaccinated employees left the company.,politifact,English,False,1,United Airlines,['United Airlines'],1.0,18,en,28,28_pilots_vaccine_vaccination_vaccinated
19748,24665,13410,2062,http://data.gesis.org/claimskg/creative_work/426b27a7-79eb-5718-aeec-8843454304f5,"US pilot deaths rose 1,750 percent after Covid-19 vaccine rollout",factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,10,en,28,28_pilots_vaccine_vaccination_vaccinated
21008,25984,4780,4780,http://data.gesis.org/claimskg/creative_work/19a03b38-7267-53f2-afcd-0d8fbc593259,No ‘vaxxident’: Delta Air Lines dismisses claim that vaccinated pilot died mid-flight,africacheck,English,FALSE,1,Delta Air Lines,['Delta Air Lines'],1.0,12,en,28,28_pilots_vaccine_vaccination_vaccinated
21961,26968,21548,3,http://data.gesis.org/claimskg/creative_work/15dacdaa-59ec-52c4-ba21-02dabb45c0fd,The World Economic Forum required that pilots flying visitors to its annual meeting in Davos had to be unvaccinated.,fullfact,English,FALSE,1,Davos,['Davos'],1.0,19,en,28,28_pilots_vaccine_vaccination_vaccinated
22158,27280,22141,596,http://data.gesis.org/claimskg/creative_work/30d16cd2-7d77-5949-8200-056bcf7a6ac0,The recent deaths of four British Airways pilots could be linked to the Covid-19 vaccines.,fullfact,English,FALSE,1,British Airways,['British Airways'],1.0,15,en,28,28_pilots_vaccine_vaccination_vaccinated
