Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
174,1468,17856,6508,http://data.gesis.org/claimskg/creative_work/3d6439d6-a692-5b3e-8033-278d0af10cec,'Radioactive' vaccine stolen from German medical institute,factcheck_afp,English,FALSE,1,,,0.0,7,en,29,29_vaccines_vaccine_vaccination_vaccinations
193,1673,17781,6433,http://data.gesis.org/claimskg/creative_work/9dd61eb5-ae98-504f-b182-35dc6acb43f1,UK government banned Covid vaccine for children age 5-11,factcheck_afp,English,FALSE,1,,,0.0,9,en,29,29_vaccines_vaccine_vaccination_vaccinations
2093,4169,42339,3512,http://data.gesis.org/claimskg/creative_work/73ffc812-47ef-5e65-ba6b-63e64df26531,Europe COMPLETELY BANS the Moderna vaccine for young people.,politifact,English,False,1,,,0.0,9,en,29,29_vaccines_vaccine_vaccination_vaccinations
3272,5628,24616,3071,http://data.gesis.org/claimskg/creative_work/12a3b8b9-2105-53cc-840e-56781efd1d44,German police can enter homes and forcibly vaccinate people.,fullfact,English,FALSE,1,,,0.0,9,en,29,29_vaccines_vaccine_vaccination_vaccinations
3620,5979,22980,1435,http://data.gesis.org/claimskg/creative_work/973badcc-8b79-5edc-b7f2-f8b8f5be6882,Research in England involving giving children the Covid-19 vaccine has been stopped due to cases of Sudden Infant Death Syndrome in those children.,fullfact,English,OTHER,-1,,,0.0,23,en,29,29_vaccines_vaccine_vaccination_vaccinations
4487,8635,1688,1688,http://data.gesis.org/claimskg/creative_work/faac31b9-53d9-5965-aa85-f4a04a8c662c,Jabbed Germans banned from buying cars? No. Tired old Covid disinformation gets weirder,africacheck,English,FALSE,1,,,0.0,13,en,29,29_vaccines_vaccine_vaccination_vaccinations
8893,13226,30931,1784,http://data.gesis.org/claimskg/creative_work/de1daf59-2f23-5ce5-8aac-3ea979abdd6e,Belgium's health minister banned non-essential sexual activities in groups of three or more due to coronavirus.,truthorfiction,English,FALSE,1,Belgium,['Belgium'],1.0,16,en,29,29_vaccines_vaccine_vaccination_vaccinations
9205,13540,25694,4149,http://data.gesis.org/claimskg/creative_work/ef64bbfa-9e35-546c-8947-16fce94d1adf,The German government does not recommend the use of Covid-19 vaccines and has frozen licensing of vaccines.,fullfact,English,FALSE,1,German government,['German government'],1.0,17,en,29,29_vaccines_vaccine_vaccination_vaccinations
10544,14888,27533,5988,http://data.gesis.org/claimskg/creative_work/b7650fd6-d8c6-5b37-b260-f2c3b658c7b7,The UK has banned the Covid-19 vaccine for children under 12.,fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,11,en,29,29_vaccines_vaccine_vaccination_vaccinations
12833,17201,41806,2979,http://data.gesis.org/claimskg/creative_work/07732030-da1e-55ce-a585-10986dc63988,Covid vaccinations now prohibited in people under 50 in Denmark.,politifact,English,False,1,Denmark,['Denmark'],1.0,10,en,29,29_vaccines_vaccine_vaccination_vaccinations
19522,24396,9350,3112,http://data.gesis.org/claimskg/creative_work/8c2e4561-526d-5749-8463-9cd28c8f7cfb,A post shared on Facebook claims the U.K. has banned COVID-19 boosters for people under 50.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,16,en,29,29_vaccines_vaccine_vaccination_vaccinations
