Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
22544,27680,12030,682,http://data.gesis.org/claimskg/creative_work/8bd8afb5-6522-54cb-90b6-d8ab719d0da6,Chloroquine is solution to COVID19,factcheck_afp,English,FALSE,1,Chloroquine,['Chloroquine'],1.0,5,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
27252,32522,51270,3400,http://data.gesis.org/claimskg/creative_work/9d21aaa5-5ab2-5267-bde2-26998d7f5382,Study: hydroxychloroquine can boost COVID-19 survival chances by nearly 200%.,politifact,English,MIXTURE,2,"COVID-19, hydroxychloroquine","['COVID-19', ' hydroxychloroquine']",2.0,10,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
37291,42700,16627,5279,http://data.gesis.org/claimskg/creative_work/4cada439-4d4b-511c-828d-f0c83d0402e3,Fauci is alone in saying hydroxychloroquine unproven against COVID-19,factcheck_afp,English,FALSE,1,"COVID-19, hydroxychloroquine","['COVID-19', ' hydroxychloroquine']",2.0,9,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
39170,44699,27567,6022,http://data.gesis.org/claimskg/creative_work/a51545da-49ab-525e-8b0f-45bcfa6cab76,A new study shows hydroxychloroquine can increase Covid-19 survival rates by 200%.,fullfact,English,OTHER,-1,"Covid-19, hydroxychloroquine","['Covid-19', ' hydroxychloroquine']",2.0,12,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
39311,44845,24645,3100,http://data.gesis.org/claimskg/creative_work/e2766151-5fba-50d3-9501-71258567751e,"A majority of 6,200 doctors said hydroxychloroquine is the most effective coronavirus treatment.",fullfact,English,OTHER,-1,"coronavirus treatment, hydroxychloroquine","['coronavirus treatment', ' hydroxychloroquine']",2.0,13,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
39510,45045,25986,4441,http://data.gesis.org/claimskg/creative_work/ab176713-3489-5ece-af47-cfb1e1482be1,Hydroxychloroquine and chloroquine are cures for the new coronavirus.,fullfact,English,OTHER,-1,"Hydroxychloroquine, chloroquine","['Hydroxychloroquine', ' chloroquine']",2.0,9,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
40078,45726,17777,6429,http://data.gesis.org/claimskg/creative_work/0b6df365-2a10-5415-94b8-afdb8195f15b,Hydroxychloroquine is the cure for COVID-19,factcheck_afp,English,FALSE,1,"COVID-19, Hydroxychloroquine","['COVID-19', ' Hydroxychloroquine']",2.0,6,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
40139,45788,17506,6158,http://data.gesis.org/claimskg/creative_work/2844b977-9217-5882-9936-558347b6439a,Molnupiravir cures Covid-19 within 24 hours,factcheck_afp,English,FALSE,1,"Covid-19, Molnupiravir","['Covid-19', ' Molnupiravir']",2.0,6,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
42281,48181,12109,761,http://data.gesis.org/claimskg/creative_work/2d80603c-3296-5c9d-9428-4ea44bfa3661,You can make hydroxychloroquine at home to prevent Covid-19 virus,factcheck_afp,English,FALSE,1,"Covid-19 virus, hydroxychloroquine","['Covid-19 virus', ' hydroxychloroquine']",2.0,10,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
45289,51419,4330,4330,http://data.gesis.org/claimskg/creative_work/117cf4ed-4322-5159-9ef6-6165640dd93a,"Chloroquine and azithromycin combo doesn’t cure Covid-19, may be dangerous",africacheck,English,FALSE,1,"Chloroquine, Covid-19, azithromycin","['Chloroquine', ' Covid-19', ' azithromycin']",3.0,10,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
46076,52243,73750,2464,http://data.gesis.org/claimskg/creative_work/16d265f4-0c50-5fdd-b06e-75eab0f97d7a,U.S. President Donald Trump will benefit financially if hydroxychloroquine becomes an established treatment for COVID-19.,snopes,English,MIXTURE,2,"U.S. President Donald Trump, hydroxychloroquine, treatment for COVID-19","['U.S. President Donald Trump', ' hydroxychloroquine', ' treatment for COVID-19']",3.0,15,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
46674,52851,27062,5517,http://data.gesis.org/claimskg/creative_work/aa562fcb-8038-5e84-a703-a7a9c1c0c930,Hydroxychloroquine and zinc have been used all over the world to cure Covid-19.,fullfact,English,OTHER,-1,"Covid-19, Hydroxychloroquine, zinc","['Covid-19', ' Hydroxychloroquine', ' zinc']",3.0,13,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
47199,53379,44082,5255,http://data.gesis.org/claimskg/creative_work/1457104d-4cfa-5e57-87be-5410599736c2,Says the NIH 15 years ago published a study on chloroquine. It is effective against COVID-(1).,politifact,English,False,1,"COVID, NIH, chloroquine","['COVID', ' NIH', ' chloroquine']",3.0,16,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
48008,54195,42983,4156,http://data.gesis.org/claimskg/creative_work/5e1f81b2-83b8-51b4-8128-a492ca850006,"Says the governors of Michigan, New York and Nevada have issued orders banning the prescription of hydroxychloroquine to patients with COVID-19.",politifact,English,False,1,"COVID-19, Michigan, hydroxychloroquine","['COVID-19', ' Michigan', ' hydroxychloroquine']",3.0,21,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
50502,56877,41526,2699,http://data.gesis.org/claimskg/creative_work/e061269c-7d15-521a-a100-e034eba19f92,The American Medical Association rescinded a previous statement and now says hydroxychloroquine is okay for COVID-19.,politifact,English,False,1,"American Medical Association, COVID-19, hydroxychloroquine","['American Medical Association', ' COVID-19', ' hydroxychloroquine']",3.0,16,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
51950,58335,8256,2018,http://data.gesis.org/claimskg/creative_work/623f63a9-4223-5f10-9cea-5fb34299a741,"An image shared on Facebook claims the governors of New York, Nevada and Michigan have issued orders banning the prescription of hydroxychloroquine to patients with COVID-19.",checkyourfact,English,FALSE,1,"COVID-19, Facebook, hydroxychloroquine","['COVID-19', ' Facebook', ' hydroxychloroquine']",3.0,26,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
54042,60437,41911,3084,http://data.gesis.org/claimskg/creative_work/758dcfc3-c1e6-5c99-8b91-e17747d12e77,Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The Coronavirus.,politifact,English,False,1,"Chloroquine, Coronavirus, Cure Rate","['Chloroquine', ' Coronavirus', ' Cure Rate']",3.0,16,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
54054,60449,15925,4577,http://data.gesis.org/claimskg/creative_work/31c07ade-19a3-500f-b636-d0194803ad6b,"Ivermectin, hydroxychloroquine cure Covid-19",factcheck_afp,English,FALSE,1,"Covid-19, Ivermectin, hydroxychloroquine","['Covid-19', ' Ivermectin', ' hydroxychloroquine']",3.0,4,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
54617,61025,13541,2193,http://data.gesis.org/claimskg/creative_work/37058ecf-a1c4-5975-955e-df1412f35b0b,American Medical Association admitted it lied about hydroxychloroquine and rescinded a recommendation against using it to treat Covid-19,factcheck_afp,English,FALSE,1,"American Medical Association, Covid-19, hydroxychloroquine","['American Medical Association', ' Covid-19', ' hydroxychloroquine']",3.0,18,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
55096,61512,5635,5635,http://data.gesis.org/claimskg/creative_work/639d8ece-3466-54db-8d55-af44c2e3c254,Immanuel vindicated? France hasn’t approved hydroxychloroquine as Covid-19 treatment – and drug found to be harmful,africacheck,English,FALSE,1,"Covid-19, France, hydroxychloroquine","['Covid-19', ' France', ' hydroxychloroquine']",3.0,16,en,30,30_hydroxychloroquine_chloroquine_covid1_covid19
