Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
886,2902,49388,1518,http://data.gesis.org/claimskg/creative_work/f684a922-9133-5662-91d7-1f2c7726d178,You’re not going to get COVID if you have these vaccinations.,politifact,English,MIXTURE,2,,,0.0,11,en,34,34_vaccinated_vaccine_vaccination_vaccines
2975,5327,25047,3502,http://data.gesis.org/claimskg/creative_work/e7f27c83-d8c3-574c-a234-e2ab261a2140,The vaccines won’t stop me spreading Covid-19.,fullfact,English,TRUE,3,,,0.0,7,en,34,34_vaccinated_vaccine_vaccination_vaccines
3358,5714,24275,2730,http://data.gesis.org/claimskg/creative_work/84dc638b-c850-57ad-8bb0-bc452285d630,The Covid-19 vaccine doesn’t stop you transmitting it.,fullfact,English,TRUE,3,,,0.0,8,en,34,34_vaccinated_vaccine_vaccination_vaccines
3662,6021,25500,3955,http://data.gesis.org/claimskg/creative_work/bdfd4978-8525-5b31-971f-d366fec65c15,The Covid-19 vaccine doesn’t stop you catching the disease.,fullfact,English,TRUE,3,,,0.0,9,en,34,34_vaccinated_vaccine_vaccination_vaccines
6551,10783,351,351,http://data.gesis.org/claimskg/creative_work/35f627bf-1903-5769-a43b-74767a9b5c39,"No, you don’t have to ‘isolate’ for two weeks after Covid jab to protect others from ‘vaccine shedding’",africacheck,English,FALSE,1,,,0.0,18,en,34,34_vaccinated_vaccine_vaccination_vaccines
10784,15129,27864,6319,http://data.gesis.org/claimskg/creative_work/0c5f08f5-46b9-5283-b26e-8608ea633055,Vaccines don’t stop you getting Covid-19 or spreading it.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,9,en,34,34_vaccinated_vaccine_vaccination_vaccines
11893,16249,44912,6085,http://data.gesis.org/claimskg/creative_work/7148b638-e3b8-58c2-a549-e81ca96fd9ed,People not vaccinated against COVID-19 came out the best.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,9,en,34,34_vaccinated_vaccine_vaccination_vaccines
12622,16987,42399,3572,http://data.gesis.org/claimskg/creative_work/9e705d32-2a57-5a45-93b6-322a0a45a648,"Maybe (the COVID-19 vaccine) doesn't work, and they're simply not telling you that.",politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,13,en,34,34_vaccinated_vaccine_vaccination_vaccines
12996,17366,41936,3109,http://data.gesis.org/claimskg/creative_work/d665ba30-ad6c-5d92-a7db-840a21e80e31,I don’t need the COVID-19 vaccine. I have natural immunity that lasts forever.,politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,13,en,34,34_vaccinated_vaccine_vaccination_vaccines
14526,18909,47441,8614,http://data.gesis.org/claimskg/creative_work/dc18ca56-d91c-5dbb-ba44-a8f2cb6c9fec,If all goes 'well' it'll become federal law to get the (COVID-19) vaccine.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,13,en,34,34_vaccinated_vaccine_vaccination_vaccines
16833,21334,39925,1098,http://data.gesis.org/claimskg/creative_work/21608681-09c0-5584-aeb0-0aef97c023df,"COVID-19 vaccines do not stop transmission of COVID, but instead increase it.",politifact,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,12,en,34,34_vaccinated_vaccine_vaccination_vaccines
19837,24761,16270,4922,http://data.gesis.org/claimskg/creative_work/2482760d-5291-5645-887b-73095de2775f,Eight reasons not to get vaccinated against Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,8,en,34,34_vaccinated_vaccine_vaccination_vaccines
21824,26823,22879,1334,http://data.gesis.org/claimskg/creative_work/9e0f36c8-9454-5367-829e-ac8756727425,The Covid-19 vaccines are not safe because people are dying and getting seriously ill as a result of receiving them.,fullfact,English,OTHER,-1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,20,en,34,34_vaccinated_vaccine_vaccination_vaccines
21837,26836,22863,1318,http://data.gesis.org/claimskg/creative_work/af8a0fea-c06b-59f4-bd6e-e5e776baa0ff,The vaccines won’t stop me getting Covid-19.,fullfact,English,TRUE,3,Covid-19,['Covid-19'],1.0,7,en,34,34_vaccinated_vaccine_vaccination_vaccines
22431,27564,11819,471,http://data.gesis.org/claimskg/creative_work/dac8d30b-cdae-5ae0-a80f-fb0f20f28347,Anaesthesia must not be used to those who have just received Covid-19 vaccine,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,13,en,34,34_vaccinated_vaccine_vaccination_vaccines
22938,28086,23081,1536,http://data.gesis.org/claimskg/creative_work/84052c8f-324a-537b-93d1-4161cfa3cc92,GPs should be the first to be vaccinated when a Covid-19 vaccine becomes available.,fullfact,English,OTHER,-1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,14,en,34,34_vaccinated_vaccine_vaccination_vaccines
24713,29970,47045,8218,http://data.gesis.org/claimskg/creative_work/4419bb61-3d4f-5f76-b69e-9228c99aac26,Says the COVID-19 vaccine doesn’t prevent catching or spreading the virus and only lasts months.,politifact,English,False,1,"COVID-19 vaccine, spreading the virus","['COVID-19 vaccine', ' spreading the virus']",2.0,15,en,34,34_vaccinated_vaccine_vaccination_vaccines
26017,31280,44443,5616,http://data.gesis.org/claimskg/creative_work/ce7578d5-4ab1-51e8-b9de-25bb4d24757c,The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,politifact,English,False,1,"Australian Technical Advisory Group on Immunisation, COVID-19 vaccine","['Australian Technical Advisory Group on Immunisation', ' COVID-19 vaccine']",2.0,30,en,34,34_vaccinated_vaccine_vaccination_vaccines
31561,36870,72573,1287,http://data.gesis.org/claimskg/creative_work/70396197-4493-5e8d-838c-29d1d521d0e8,Florida will provide COVID-19 vaccinations to Canadian visitors specifically to increase tourism in the state.,snopes,English,MIXTURE,2,"COVID-19 vaccinations, Florida","['COVID-19 vaccinations', ' Florida']",2.0,15,en,34,34_vaccinated_vaccine_vaccination_vaccines
34605,39941,64912,2883,http://data.gesis.org/claimskg/creative_work/d8b9d31e-ab1c-5068-87a4-27c06284aee5,"People who are fully vaccinated against COVID-19 are prohibited from receiving any type of anesthesia, supposedly because it's a great hazard and could cause a vaccinated patient to die immediately.",snopes,English,False,1,"anesthesia, fully vaccinated against COVID-19","['anesthesia', ' fully vaccinated against COVID-19']",2.0,30,en,34,34_vaccinated_vaccine_vaccination_vaccines
35455,40801,62757,728,http://data.gesis.org/claimskg/creative_work/24ff2497-7a89-5a4c-af2b-7ad9fb77f498,"Young, healthy people don't need to worry about getting the COVID-19 vaccine.",snopes,English,False,1,"COVID-19 vaccine, healthy people","['COVID-19 vaccine', ' healthy people']",2.0,12,en,34,34_vaccinated_vaccine_vaccination_vaccines
36486,41858,14927,3579,http://data.gesis.org/claimskg/creative_work/6fdc0568-de5c-5814-bca5-4e6af5f5e380,Vaccinated people won't get Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Vaccinated people","['Covid-19', ' Vaccinated people']",2.0,5,en,34,34_vaccinated_vaccine_vaccination_vaccines
38606,44047,14193,2845,http://data.gesis.org/claimskg/creative_work/c7292a2d-4706-5a49-aac9-811c6273f18f,Kenyan Catholic doctors reject the Covid-19 vaccine calling it unsafe and unnecessary,factcheck_afp,English,FALSE,1,"Catholic, Covid-19 vaccine","['Catholic', ' Covid-19 vaccine']",2.0,12,en,34,34_vaccinated_vaccine_vaccination_vaccines
39709,45245,23098,1553,http://data.gesis.org/claimskg/creative_work/126f1690-c959-5808-8168-1781188757e1,"People who were undergoing chemotherapy have been told that they should not receive vaccines, and should stay away from people who had received vaccines, and now because of Covid-19 this has all changed.",fullfact,English,OTHER,-1,"Covid-19, chemotherapy","['Covid-19', ' chemotherapy']",2.0,33,en,34,34_vaccinated_vaccine_vaccination_vaccines
41558,47445,12934,1586,http://data.gesis.org/claimskg/creative_work/0465908f-1903-557d-a1b9-b3ec9936ba34,People vaccinated against Covid-19 should avoid MRI scans,factcheck_afp,English,FALSE,1,"Covid-19, MRI scans","['Covid-19', ' MRI scans']",2.0,8,en,34,34_vaccinated_vaccine_vaccination_vaccines
47067,53247,11887,539,http://data.gesis.org/claimskg/creative_work/127d7bc5-5af9-545f-a42c-cb171dd82ad7,Healthy people under 50 or recovered from Covid-19 do not need the vaccine,factcheck_afp,English,FALSE,1,"Covid-19, Healthy people, vaccine","['Covid-19', ' Healthy people', ' vaccine']",3.0,13,en,34,34_vaccinated_vaccine_vaccination_vaccines
47420,53601,24855,3310,http://data.gesis.org/claimskg/creative_work/b9d74409-e9c5-5d40-8ef2-adcb7515f67b,Covid vaccines can’t stop people spreading the virus.,fullfact,English,OTHER,-1,"Covid vaccines, can’t stop, spreading the virus","['Covid vaccines', ' can’t stop', ' spreading the virus']",3.0,8,en,34,34_vaccinated_vaccine_vaccination_vaccines
66189,73240,35869,3619,http://data.gesis.org/claimskg/creative_work/b8b05aeb-3300-5bec-9c7d-a66046c8afd2,"Anyone who has been vaccinated against coronavirus is prohibited from taking any type of anesthetic, even local anesthetics or dentist’s anesthetics, because this poses a great danger to the life of the vaccinated person and is highly dangerous. There is a possibility of death.. Therefore, the vaccinated person must wait 4 weeks after the vaccination. If he has a reaction, he can administer anesthetic only 4 weeks after the antibody develops. A Pharmacy’s friend relative was vaccinated two days ago. He went to the dentist yesterday and died immediately after receiving local anesthetics. After reading the warning about the coronavirus vaccination in the vaccine box, we discovered that after the coronavirus vaccine was given, there was a warning not to take anesthetics. Please spread this information to protect your family, relatives, friends and everyone",Vishvanews,English,FALSE,1,"Pharmacy, administer, anesthetic, anesthetics, antibody, coronavirus, coronavirus vaccination, coronavirus vaccine, dentist, develops, great danger, highly dangerous, local anesthetics, poses, prohibited, vaccinated, vaccination, vaccine","['Pharmacy', ' administer', ' anesthetic', ' anesthetics', ' antibody', ' coronavirus', ' coronavirus vaccination', ' coronavirus vaccine', ' dentist', ' develops', ' great danger', ' highly dangerous', ' local anesthetics', ' poses', ' prohibited', ' vaccinated', ' vaccination', ' vaccine']",18.0,134,en,34,34_vaccinated_vaccine_vaccination_vaccines
66190,73242,34341,2091,http://data.gesis.org/claimskg/creative_work/16a45e65-7d1e-5780-821d-25ed9177b1a0,"【Vaccination Warning】 Anyone who has been vaccinated against coronavirus is prohibited from taking any type of anesthetic, even local anesthetics or dentist's anesthetics, because this poses a great danger to the life of the vaccinated person and is highly dangerous. There is a possibility of death.. Therefore, the vaccinated person must wait 4 weeks after the vaccination. If he has a reaction, he can administer anesthetic only 4 weeks after the antibody develops. A Pharmacy's friend relative was vaccinated two days ago. He went to the dentist yesterday and died immediately after receiving local anesthetics. After reading the warning about the coronavirus vaccination in the vaccine box, we discovered that after the coronavirus vaccine was given, there was a warning not to take anesthetics. Please spread this information to protect your family, relatives, friends and everyone.",Vishvanews,English,FALSE,1,"Pharmacy, administer, anesthetic, anesthetics, antibody, coronavirus, coronavirus vaccination, coronavirus vaccine, dentist, develops, great danger, highly dangerous, local anesthetics, poses, prohibited, vaccinated, vaccination, vaccine","['Pharmacy', ' administer', ' anesthetic', ' anesthetics', ' antibody', ' coronavirus', ' coronavirus vaccination', ' coronavirus vaccine', ' dentist', ' develops', ' great danger', ' highly dangerous', ' local anesthetics', ' poses', ' prohibited', ' vaccinated', ' vaccination', ' vaccine']",18.0,136,en,34,34_vaccinated_vaccine_vaccination_vaccines
