Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1709,3734,36684,372,http://data.gesis.org/claimskg/creative_work/701753e2-051c-5200-b7f4-3c38202115e3,"You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.",politifact,English,True,3,,,0.0,21,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
3478,5835,25808,4263,http://data.gesis.org/claimskg/creative_work/742795e8-3e8c-5e4d-8c00-010372f02023,Figures show a consistently higher number of Covid-19 cases among vaccinated adults.,fullfact,English,OTHER,-1,,,0.0,12,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
8067,12373,32073,2926,http://data.gesis.org/claimskg/creative_work/ea6d05bb-0833-515f-b932-917296b6f50f,An August 2021 study found that the most educated Americans are the most vaccine hesitant.,truthorfiction,English,FALSE,1,vaccine hesitant,['vaccine hesitant'],1.0,15,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
8388,12709,32177,3030,http://data.gesis.org/claimskg/creative_work/d78396a2-dea2-536e-8009-8f2c30388863,"An FDA vaccine advisory board said that the unvaccinated are more educated on the vaccine than most people who have gotten it, and that we cannot adequately refute their concerns, which should make us all very uncomfortable.",truthorfiction,English,FALSE,1,FDA,['FDA'],1.0,37,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
9289,13626,74416,69,http://data.gesis.org/claimskg/creative_work/6ac40a5e-2e51-5c05-b453-6d05b3b8ba5d,People with Type-A blood are more susceptible to COVID-19.,snopes,English,OTHER,-1,COVID-19,['COVID-19'],1.0,9,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
21623,26617,22537,992,http://data.gesis.org/claimskg/creative_work/dff5612f-d37a-5ddd-a1d5-d99ff1ec16ee,Grant Shapps said that people who are double vaccinated are more likely to get and carry Covid-19.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,17,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
21951,26955,22678,1133,http://data.gesis.org/claimskg/creative_work/b4fd1f62-7c38-5a26-bbdc-f7dde5027215,New data from Israel shows the vaccinated account for nearly all serious cases and deaths.,fullfact,English,OTHER,-1,Israel,['Israel'],1.0,15,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
22016,27045,21697,152,http://data.gesis.org/claimskg/creative_work/40001bd4-b29e-5114-9525-d1e8051c2774,Vaccinated people over 30 have higher rates of Covid-19 infection than unvaccinated ones.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,13,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
23137,28289,23423,1878,http://data.gesis.org/claimskg/creative_work/490c0e8f-f65e-5f85-8d8c-565af84cdfd2,Older people are more likely to become ill with Covid-19 if they are vaccinated than if they are not.,fullfact,English,FALSE,1,Older people,['Older people'],1.0,19,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
28394,33677,11314,200,http://data.gesis.org/claimskg/creative_work/1b4f6415-ac07-5b3f-953c-f8ab93b77e84,Our seniors will  be better protected from future pandemics if they age at home,eufactcheck,English,OTHER,-1,"future pandemics, seniors","['future pandemics', ' seniors']",2.0,15,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
36678,42054,15143,3795,http://data.gesis.org/claimskg/creative_work/aa959727-e8e6-527e-8b16-b68e0bc4b00d,Study prepared for the Liberal Party of Canada finds 6 times more vaccinated people are in ICU,factcheck_afp,English,FALSE,1,"Liberal Party of Canada, vaccinated people","['Liberal Party of Canada', ' vaccinated people']",2.0,17,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
37519,42940,13836,2488,http://data.gesis.org/claimskg/creative_work/f9274d09-e339-57dd-aebb-ee332c961e4b,Oxford study shows that vaccinated Covid-19 patients carry a 251 times higher viral load than unvaccinated patients,factcheck_afp,English,FALSE,1,"Covid-19, viral load","['Covid-19', ' viral load']",2.0,17,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
38387,43823,14722,3374,http://data.gesis.org/claimskg/creative_work/bfe40276-2fa9-57eb-9b36-eac188079e92,Survival rate for Covid-19 is same for vaccinated and unvaccinated,factcheck_afp,English,FALSE,1,"Covid-19, Survival rate","['Covid-19', ' Survival rate']",2.0,10,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
38555,43994,38921,94,http://data.gesis.org/claimskg/creative_work/4a525d2b-0d45-51c1-8ee9-9241adfa6153,The death rate for fully vaccinated people is significantly higher than non-vaccinated [people].,politifact,English,False,1,"death rate, fully vaccinated","['death rate', ' fully vaccinated']",2.0,13,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
39103,44599,27373,5828,http://data.gesis.org/claimskg/creative_work/91c13314-2e1b-51f6-99e5-22cb54159282,The survival rate of Covid-19 without the vaccine is greater than the effectiveness of the vaccine itself.,fullfact,English,OTHER,-1,"survival rate, vaccine","['survival rate', ' vaccine']",2.0,17,en,36,36_nonvaccinated_vaccine_unvaccinated_vaccinated
