Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
9584,13922,26467,4922,http://data.gesis.org/claimskg/creative_work/9181fcfa-c04b-5576-90b9-4f15ba6c4ff0,Monkeypox is a side effect of the Covid-19 vaccines.,fullfact,English,FALSE,1,Monkeypox,['Monkeypox'],1.0,9,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
21778,26777,22751,1206,http://data.gesis.org/claimskg/creative_work/cb72d6b4-c73b-50c2-a356-c3698f1b584c,The Oxford/AstraZeneca vaccine contains viruses from chimpanzees.,fullfact,English,OTHER,-1,chimpanzees,['chimpanzees'],1.0,7,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
22237,27363,21758,213,http://data.gesis.org/claimskg/creative_work/af9d2487-e07f-5bd9-bb5f-90921fc30dd5,"We’re not witnessing an outbreak of monkeypox across first-world countries, but the consequences of the damage that has been caused to immune systems by the Covid-19 vaccines.",fullfact,English,FALSE,1,first-world countries,['first-world countries'],1.0,27,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
29536,34826,1755,1755,http://data.gesis.org/claimskg/creative_work/6f95799d-728c-5ada-9237-905036f1d881,"No, monkeypox is not ‘vaccine-acquired Aids’ – ‘Vaids’ is not real",africacheck,English,FALSE,1,"monkeypox, vaccine","['monkeypox', ' vaccine']",2.0,11,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
39339,44873,24502,2957,http://data.gesis.org/claimskg/creative_work/b1045fdf-922c-5bc1-9ff8-b75d99b35f65,Monkeypox is only circulating in countries where the Pfizer Covid-19 vaccine has been distributed.,fullfact,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,14,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
39595,45130,23401,1856,http://data.gesis.org/claimskg/creative_work/ee5cbe41-668d-590f-95aa-6923a47e4652,Monkeypox is ‘vaccine acquired shingles’.,fullfact,English,OTHER,-1,"Monkeypox, shingles","['Monkeypox', ' shingles']",2.0,5,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
42839,48783,4024,4024,http://data.gesis.org/claimskg/creative_work/4875cb1a-ebd8-564b-80ad-ebdda17cefbd,"No, shingles not a side effect of Covid vaccines – but Covid infection might create risk of shingles",africacheck,English,FALSE,1,"Covid, Covid vaccines, shingles","['Covid', ' Covid vaccines', ' shingles']",3.0,18,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
43271,49252,12509,1161,http://data.gesis.org/claimskg/creative_work/97f0d9ce-89d2-5a47-9c1b-db986883ba9a,Monkeypox only prevalent in countries administering Pfizer Covid vaccine,factcheck_afp,English,FALSE,1,"Monkeypox, Pfizer, vaccine","['Monkeypox', ' Pfizer', ' vaccine']",3.0,9,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
44804,50856,33472,1222,http://data.gesis.org/claimskg/creative_work/b0903c05-f658-56ca-af46-64111b63f1f6,"Let the monkeypox hoax begin. After all, we haven't had a good pandemic hoax since the last election.",Vishvanews,English,MIXTURE,2,"hoax, monkeypox, pandemic","['hoax', ' monkeypox', ' pandemic']",3.0,18,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
45448,51596,4788,4788,http://data.gesis.org/claimskg/creative_work/5b7507ae-fcd3-5fbc-8f3a-286bc532c2ed,Absolutely bananas: Don’t believe claims that Covid vaccines contain monkeypox,africacheck,English,FALSE,1,"Covid vaccines, bananas, monkeypox","['Covid vaccines', ' bananas', ' monkeypox']",3.0,10,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
48815,55097,2785,2785,http://data.gesis.org/claimskg/creative_work/1a759666-06d8-5c72-bb55-a66f0e57a191,"No link between monkeypox and Pfizer Covid vaccine – the Exposé conspiracy site makes up evidence, again",africacheck,English,FALSE,1,"Pfizer, monkeypox, vaccine","['Pfizer', ' monkeypox', ' vaccine']",3.0,17,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
50259,56633,13064,1716,http://data.gesis.org/claimskg/creative_work/35ceb4d1-b8b5-5112-8300-181dee74ed18,"Monkeypox and shingles are the same disease, caused by vaccine",factcheck_afp,English,FALSE,1,"Monkeypox, shingles, vaccine","['Monkeypox', ' shingles', ' vaccine']",3.0,10,en,39,39_monkeypox_shingles_vaccine_vaccineinduced
