Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2626,4717,22711,1166,http://data.gesis.org/claimskg/creative_work/320d3840-6bf9-5515-9a29-869edad240c5,"As part of the Coronavirus Act, children can be detained for 14 days without their parents’ consent, and their parents don’t have to be informed, only a teacher, according to a letter from the Children’s Commissioner.",fullfact,English,MIXTURE,2,,,0.0,36,en,41,41_vaccination_vaccinated_parental_consent
11153,15502,71188,9159,http://data.gesis.org/claimskg/creative_work/a87cd296-a7e2-5be3-87de-44c22698b0b2,"COVID-19 vaccinations, which have already killed several youngsters, will be required before children will be allowed to return to school.",snopes,English,False,1,COVID-19 vaccinations,['COVID-19 vaccinations'],1.0,20,en,41,41_vaccination_vaccinated_parental_consent
16913,21415,54735,6865,http://data.gesis.org/claimskg/creative_work/25294612-b0b3-535d-b88f-c60a2ad6e645,"Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.",politifact,English,MIXTURE,2,Vaccinate,['Vaccinate'],1.0,10,en,41,41_vaccination_vaccinated_parental_consent
18152,22671,38781,2469,http://data.gesis.org/claimskg/creative_work/f3e3c641-52ee-57ce-8b91-1d129f2024da,We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.,politifact,English,True,3,fully vaccinated,['fully vaccinated'],1.0,29,en,41,41_vaccination_vaccinated_parental_consent
20925,25873,17929,6581,http://data.gesis.org/claimskg/creative_work/8ed7d15c-d0ea-5d44-ade3-28d718a7e967,CDC attempting to cover up pandemic measures harming children,factcheck_afp,English,FALSE,1,CDC,['CDC'],1.0,9,en,41,41_vaccination_vaccinated_parental_consent
21099,26079,16923,5575,http://data.gesis.org/claimskg/creative_work/c8cb240a-b9b3-500b-a949-7cd9640fbd80,WHO says child's presence at school is enough consent for vaccination,factcheck_afp,English,FALSE,1,WHO,['WHO'],1.0,11,en,41,41_vaccination_vaccinated_parental_consent
23688,28942,47236,8409,http://data.gesis.org/claimskg/creative_work/cbc3fec8-1e42-50c1-b27e-ba46ecd7c8b6,WHO now says your child’s presence in school counts as ‘informed consent’ for vaccination - parental presence not required.,politifact,English,False,1,"WHO, informed consent","['WHO', ' informed consent']",2.0,19,en,41,41_vaccination_vaccinated_parental_consent
25481,30741,11812,464,http://data.gesis.org/claimskg/creative_work/36178cbd-fd17-52cb-bd92-048276e4c0b9,CDC action makes the Covid-19 vaccine mandatory for schoolchildren,factcheck_afp,English,FALSE,1,"CDC, Covid-19 vaccine","['CDC', ' Covid-19 vaccine']",2.0,9,en,41,41_vaccination_vaccinated_parental_consent
28065,33346,49085,1215,http://data.gesis.org/claimskg/creative_work/e883c16a-8534-506f-8b0e-f64d1d005f42,It used to be that the only children at school who weren't vaccinated were those who had true medical conditions. Now there are 19 states that allow personal belief exemptions.,politifact,English,MIXTURE,2,"medical conditions, personal belief","['medical conditions', ' personal belief']",2.0,30,en,41,41_vaccination_vaccinated_parental_consent
29543,34833,71555,269,http://data.gesis.org/claimskg/creative_work/6913550d-4e19-5382-86de-8aa18d31289d,A U.S. law allows children as young as 11 to get vaccinated without their parents' consent.,snopes,English,MIXTURE,2,"U.S., parents' consent","['U.S.', "" parents' consent""]",2.0,16,en,41,41_vaccination_vaccinated_parental_consent
31580,36889,72482,1196,http://data.gesis.org/claimskg/creative_work/f7e654b3-efa0-5b4c-b063-172975aeb793,A Missouri school district asked parents to sign a COVID-19 liability waiver in advance of the 2020-2021 school year.,snopes,English,MIXTURE,2,"COVID-19, liability waiver","['COVID-19', ' liability waiver']",2.0,19,en,41,41_vaccination_vaccinated_parental_consent
39700,45236,25901,4356,http://data.gesis.org/claimskg/creative_work/180ccd9d-9ff6-5fa6-9288-0fb776c02a29,The WHO now says a child’s presence in school counts as informed consent for a vaccination and parental presence is not required.,fullfact,English,TRUE,3,"WHO, informed consent","['WHO', ' informed consent']",2.0,22,en,41,41_vaccination_vaccinated_parental_consent
40585,46369,29570,423,http://data.gesis.org/claimskg/creative_work/fa85224c-1521-564a-a0f6-0defd16ab57d,"The State of New York kicked 26,000 children out of school after mandating vaccines, but despite this was unable to prevent an outbreak of chickenpox in schools in October 2019.",truthorfiction,English,FALSE,1,"State of New York, chickenpox","['State of New York', ' chickenpox']",2.0,30,en,41,41_vaccination_vaccinated_parental_consent
