Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
525,2527,46102,7275,http://data.gesis.org/claimskg/creative_work/2f566281-acc9-56c9-83da-08fced4f1ab9,"Says if you donate blood, they HAVE to test you for coronavirus.",politifact,English,False,1,,,0.0,12,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
3341,5697,24797,3252,http://data.gesis.org/claimskg/creative_work/b1920041-0956-595a-9461-e553e5d6f3ff,You cannot give blood after you’ve been vaccinated.,fullfact,English,OTHER,-1,,,0.0,8,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
4129,6600,27786,6241,http://data.gesis.org/claimskg/creative_work/f0174162-2f51-5cf6-aa97-08c0ee714654,"A photo shows two bags of donated blood, one lighter red and one almost black, and says the redder one is from a non-vaccinated person and the darker one is from a vaccinated person.",fullfact,English,OTHER,-1,,,0.0,34,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
4881,9045,73392,2106,http://data.gesis.org/claimskg/creative_work/45c7a1ce-dc62-5ed4-9515-8526db316c1c,"As of April 2021, U.S. COVID-19 vaccine recipients were obliged to wait before donating blood.",snopes,English,MIXTURE,2,,,0.0,15,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
7500,11779,30245,1098,http://data.gesis.org/claimskg/creative_work/c4fd92b5-c3ef-51df-8336-7fd5f06c198f,A test for COVID-19 is mandatory for anyone seeking to donate blood.,truthorfiction,English,FALSE,1,COVID-19,['COVID-19'],1.0,12,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
11864,16220,44583,5756,http://data.gesis.org/claimskg/creative_work/8a7fe6bc-7442-5013-a9a2-6462167b041a,"If you get the COVID-19 vaccine, you can't donate blood or plasma because it's completely tainted.",politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,16,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
12765,17133,42720,3893,http://data.gesis.org/claimskg/creative_work/f243da03-dfd7-5677-9015-0a0b43412603,"A banner for COVID-19 vaccines says, Don’t forget to donate your childrens organs.",politifact,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,13,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
14344,18726,47154,8327,http://data.gesis.org/claimskg/creative_work/2fc9b7b0-4484-5a80-a118-242b1c5084bf,You can’t donate plasma after getting a COVID-19 vaccine.,politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,9,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
22155,27277,22137,592,http://data.gesis.org/claimskg/creative_work/01118b32-00b4-5cc5-a027-ce2e75d4b982,A sign at a vaccine clinic urges parents to donate their children’s organs.,fullfact,English,FALSE,1,urges,['urges'],1.0,13,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
27089,32359,9465,3227,http://data.gesis.org/claimskg/creative_work/6f94b377-2543-5d90-80ed-232fe486fe78,An image shared on Facebook purportedly shows former NBA star Magic Johnson donating blood for people sickened by the new coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Magic Johnson","['Facebook', ' Magic Johnson']",2.0,21,en,42,42_nonvaccinated_vaccination_vaccinated_vaccine
