Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1055,3073,50633,2763,http://data.gesis.org/claimskg/creative_work/c29bef22-dd1b-5631-b658-3b6574ca03c4,Says 80% of novel coronavirus cases are mild.,politifact,English,MIXTURE,2,,,0.0,8,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
1713,3738,36645,333,http://data.gesis.org/claimskg/creative_work/af4d54bd-ee01-570e-9de8-a0ca3753a4a7,Says most NC legislators are in the high risk age group for coronavirus,politifact,English,True,3,,,0.0,13,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
2679,4771,22743,1198,http://data.gesis.org/claimskg/creative_work/56f08c5d-cfe3-574f-a52a-5af5821292f0,25% of coronavirus deaths in Wales are in care facilities.,fullfact,English,TRUE,3,,,0.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
2718,4811,26598,5053,http://data.gesis.org/claimskg/creative_work/55b2d549-3b90-5a6f-84d1-9a29cbb5312d,A survey found 11% of workers who report having taken a financial hit from the coronavirus pandemic have been evicted.,fullfact,English,OTHER,-1,,,0.0,20,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
3046,5399,24994,3449,http://data.gesis.org/claimskg/creative_work/30d603ea-96b3-58e5-9c5e-59a0bf92a6c6,58% of coronavirus deaths in Scotland are from care facilities.,fullfact,English,FALSE,1,,,0.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
3482,5839,23175,1630,http://data.gesis.org/claimskg/creative_work/6f949fba-d9d8-5252-b9a7-8316c2a268cf,Coronavirus rates among teachers are 333% above the average.,fullfact,English,OTHER,-1,,,0.0,9,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
10919,15267,27689,6144,http://data.gesis.org/claimskg/creative_work/3021561a-ad7b-5e38-a927-25c9fee85059,61% of coronavirus deaths in Norway are in care facilities.,fullfact,English,FALSE,1,Norway,['Norway'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
12291,16651,45770,6943,http://data.gesis.org/claimskg/creative_work/8d7ed46f-3d7b-54d4-8822-dab68a298a41,"U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.",politifact,English,False,1,U.S.,['U.S.'],1.0,18,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
13727,18106,49038,1168,http://data.gesis.org/claimskg/creative_work/6df785ef-93f6-5606-b65c-3428ed272255,For coronavirus cases in the U.S. 38% of those hospitalized are under 35.,politifact,English,MIXTURE,2,U.S,['U.S'],1.0,13,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
14544,18927,46558,7731,http://data.gesis.org/claimskg/creative_work/03dbd6b9-b470-5526-a791-40e0380f6b46,"Norway decided that (the coronavirus) should be treated like other respiratory diseases, such as the flu or cold, because... it is no more dangerous than those mentioned.",politifact,English,False,1,Norway,['Norway'],1.0,27,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
15324,19724,57034,9164,http://data.gesis.org/claimskg/creative_work/fcd62235-415d-5de9-8ef5-b584713df991,3.8% of Wisconsin’s coronavirus funding has been spent.,politifact,English,MIXTURE,2,Wisconsin,['Wisconsin'],1.0,8,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
21590,26584,22401,856,http://data.gesis.org/claimskg/creative_work/abe8a1bc-871c-5d40-b01b-bb1db50e66cb,"Pubs and restaurants caused less than three per cent of coronavirus infections in the week before the 10pm curfew, official data shows.",fullfact,English,OTHER,-1,Pubs,['Pubs'],1.0,22,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22200,27322,21788,243,http://data.gesis.org/claimskg/creative_work/896182d8-5794-54bb-a59e-9c1626b761d2,66% of coronavirus deaths in France are from care facilities.,fullfact,English,TRUE,3,France,['France'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22208,27331,11179,65,http://data.gesis.org/claimskg/creative_work/d2014ed4-1352-5a34-98e9-93c6426c7dff,More than 98% of people infected with the coronavirus barely experience any symptoms,eufactcheck,English,FALSE,1,coronavirus,['coronavirus'],1.0,13,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22586,27722,24517,2972,http://data.gesis.org/claimskg/creative_work/ff944f63-c650-52a5-9306-33e47696a3ba,53% of coronavirus deaths in Sweden are in care facilities.,fullfact,English,FALSE,1,Sweden,['Sweden'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
22643,27781,24224,2679,http://data.gesis.org/claimskg/creative_work/e7a23887-0590-5eda-9c6c-32c1b49e31e1,66% of coronavirus deaths in Spain are from care facilities.,fullfact,English,FALSE,1,Spain,['Spain'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
23111,28263,23329,1784,http://data.gesis.org/claimskg/creative_work/63c961e0-8ff3-5ed7-b83d-b1e1b839118f,51% of coronavirus deaths in Belgium are in care facilities.,fullfact,English,TRUE,3,Belgium,['Belgium'],1.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
43170,49141,11247,133,http://data.gesis.org/claimskg/creative_work/b983e03f-fdc5-54de-97ba-46b95687714a,Around 20 percent of illegal migrants are bringing the coronavirus to Austria,eufactcheck,English,MIXTURE,2,"Austria, coronavirus, illegal migrants","['Austria', ' coronavirus', ' illegal migrants']",3.0,12,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
46502,52672,21667,122,http://data.gesis.org/claimskg/creative_work/a0367fa7-0f99-55ae-a685-18dc112d9a3d,21% of coronavirus deaths in England are in care facilities.,fullfact,English,FALSE,1,"21%, England, care facilities","['21%', ' England', ' care facilities']",3.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
48512,54763,11284,170,http://data.gesis.org/claimskg/creative_work/f929256c-2aa6-5621-bc1e-0f125dc919c1,Only 11% of German citizens feel free in their everyday life during the Corona crisis,eufactcheck,English,MIXTURE,2,"Corona crisis, German citizens, everyday life","['Corona crisis', ' German citizens', ' everyday life']",3.0,15,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
49304,55634,27925,6380,http://data.gesis.org/claimskg/creative_work/0fbdb844-7642-5d9f-90ac-15ea34e45e42,37% of coronavirus deaths in Germany are in care facilities.,fullfact,English,TRUE,3,"37%, Germany, coronavirus","['37%', ' Germany', ' coronavirus']",3.0,10,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
50815,57192,14934,3586,http://data.gesis.org/claimskg/creative_work/3b388098-8e1c-5e9f-90e2-6817a32b9548,Accurate infection fatality ratio for United States coronavirus cases,factcheck_afp,English,FALSE,1,"United States, coronavirus, infection fatality ratio","['United States', ' coronavirus', ' infection fatality ratio']",3.0,9,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
58647,65176,31426,2279,http://data.gesis.org/claimskg/creative_work/58da29eb-352b-5133-b38b-18414f1892a9,"According to an unnamed critical care physician working in Italy, emergency rooms in the country were running at 200 percent capacity because of a novel coronavirus.",truthorfiction,English,OTHER,-1,"Italy, coronavirus, critical care physician, emergency rooms","['Italy', ' coronavirus', ' critical care physician', ' emergency rooms']",4.0,26,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
63705,70576,71387,101,http://data.gesis.org/claimskg/creative_work/2a7c31a9-e68c-5488-bd16-7ce9ca7d4f3a,"In September 2021, Norway lifted coronavirus-related restrictions after health officials reclassified COVID-19 as a less severe disease comparable to the flu.",snopes,English,MIXTURE,2,"COVID-19, Norway, coronavirus-related restrictions, flu, severe disease","['COVID-19', ' Norway', ' coronavirus-related restrictions', ' flu', ' severe disease']",5.0,21,en,44,44_coronavirus_coronavirusrelated_deaths_hospitalized
