Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
634,2643,12461,1113,http://data.gesis.org/claimskg/creative_work/8183b36c-7b08-5e22-8d50-0aefa9dbe28d,Study proves vaccine maker Moderna created the coronavirus,factcheck_afp,English,FALSE,1,,,0.0,8,en,46,46_coronavirus_vaccine_vaccinating_outbreak
2218,4300,13905,2557,http://data.gesis.org/claimskg/creative_work/920a030a-48af-5efd-bf08-1f328acb04b6,Coronavirus already existed because vaccine for animal coronavirus exists,factcheck_afp,English,FALSE,1,,,0.0,9,en,46,46_coronavirus_vaccine_vaccinating_outbreak
2467,4557,22227,682,http://data.gesis.org/claimskg/creative_work/3743c23e-8fef-53b6-9979-710079116e91,A vaccine for coronavirus was made in 2001.,fullfact,English,OTHER,-1,,,0.0,8,en,46,46_coronavirus_vaccine_vaccinating_outbreak
2609,4699,26612,5067,http://data.gesis.org/claimskg/creative_work/d3536dd3-1196-553d-999a-f779a2dc1f87,A coronavirus vaccine for cows shows that the virus behind the current outbreak is not new.,fullfact,English,OTHER,-1,,,0.0,16,en,46,46_coronavirus_vaccine_vaccinating_outbreak
3040,5392,24999,3454,http://data.gesis.org/claimskg/creative_work/ec9c7c56-af09-51cf-a213-f61c6ac57d8a,A vaccine for the coronavirus was being trialled in January 2020 days before the outbreak.,fullfact,English,FALSE,1,,,0.0,15,en,46,46_coronavirus_vaccine_vaccinating_outbreak
3698,6058,23663,2118,http://data.gesis.org/claimskg/creative_work/5ae4ddc7-351b-5cb6-b6d2-5726283fd41a,A vaccine for the new coronavirus has been created by US scientists and will be ready to use from next Sunday.,fullfact,English,OTHER,-1,,,0.0,21,en,46,46_coronavirus_vaccine_vaccinating_outbreak
14462,18845,47598,8771,http://data.gesis.org/claimskg/creative_work/ae8c61dd-81fd-50a3-b64f-51752b2c71eb,"America has been vaccinating cattle for coronavirus for years, yet the news tells you it’s new and gunna kill you all so go buy mask.",politifact,English,False,1,gunna,['gunna'],1.0,25,en,46,46_coronavirus_vaccine_vaccinating_outbreak
14600,18984,46359,7532,http://data.gesis.org/claimskg/creative_work/1ecd8a5a-9257-537b-99e2-e06fc8b30ce0,"Says a coronavirus patent expired just as there is a sudden outbreak and, despite media fear-mongering, there is already a vaccine available.",politifact,English,False,1,fear-mongering,['fear-mongering'],1.0,22,en,46,46_coronavirus_vaccine_vaccinating_outbreak
19618,24508,9834,3596,http://data.gesis.org/claimskg/creative_work/1787a14b-9d47-593b-8735-f0a76c15aef8,"An image shared on Facebook more than 1,600 times claims a vaccine against the novel coronavirus already exists for dogs.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,20,en,46,46_coronavirus_vaccine_vaccinating_outbreak
20520,25457,7107,869,http://data.gesis.org/claimskg/creative_work/58446e59-35db-56d2-ace6-b960ae83f826,"An image shared on Facebook more than 1,900 times claims a vaccine against the novel coronavirus has been used on American cattle for years.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,24,en,46,46_coronavirus_vaccine_vaccinating_outbreak
21296,26285,5470,5470,http://data.gesis.org/claimskg/creative_work/d556e395-defc-54a0-9674-392147784d34,"No, US scientists haven’t created coronavirus vaccine",africacheck,English,FALSE,1,coronavirus vaccine,['coronavirus vaccine'],1.0,7,en,46,46_coronavirus_vaccine_vaccinating_outbreak
23371,28578,12873,1525,http://data.gesis.org/claimskg/creative_work/68cacc8c-113a-59c4-8884-2ab285e43b86,Wolrd's oldest vaccine certificate was issued in 1721 by Ottoman Empire,factcheck_afp,English,FALSE,1,Ottoman Empire,['Ottoman Empire'],1.0,11,en,46,46_coronavirus_vaccine_vaccinating_outbreak
28203,33485,46856,8029,http://data.gesis.org/claimskg/creative_work/e592c016-c153-55c4-b041-5fad20eb782c,The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.,politifact,English,False,1,"canine coronavirus, vaccine","['canine coronavirus', ' vaccine']",2.0,17,en,46,46_coronavirus_vaccine_vaccinating_outbreak
33745,39072,5824,5824,http://data.gesis.org/claimskg/creative_work/4ce2f380-7eb8-5c07-aa5d-0d9cdd52998b,"No, Ghana university hasn’t developed coronavirus vaccine",africacheck,English,FALSE,1,"Ghana, coronavirus vaccine","['Ghana', ' coronavirus vaccine']",2.0,7,en,46,46_coronavirus_vaccine_vaccinating_outbreak
37111,42512,35207,2957,http://data.gesis.org/claimskg/creative_work/8c0328cd-5a67-5286-b363-71ac809a930e,A new vaccine to cure coronavirus has been developed by US Scientists,Vishvanews,English,FALSE,1,"coronavirus, vaccine","['coronavirus', ' vaccine']",2.0,12,en,46,46_coronavirus_vaccine_vaccinating_outbreak
39609,45144,23384,1839,http://data.gesis.org/claimskg/creative_work/2a6aa58f-1b9d-5c56-a906-9675ee7f6fd7,Scientists in Israel are likely to announce the development of a coronavirus vaccine.,fullfact,English,FALSE,1,"Israel, coronavirus vaccine","['Israel', ' coronavirus vaccine']",2.0,13,en,46,46_coronavirus_vaccine_vaccinating_outbreak
44340,50387,17470,6122,http://data.gesis.org/claimskg/creative_work/c2992ff8-73d7-5301-8154-c511ca21af06,Native Americans in North Dakota will be the first subjects to receive a novel coronavirus vaccine,factcheck_afp,English,FALSE,1,"Native Americans, North Dakota, coronavirus vaccine","['Native Americans', ' North Dakota', ' coronavirus vaccine']",3.0,16,en,46,46_coronavirus_vaccine_vaccinating_outbreak
45429,51577,33320,1070,http://data.gesis.org/claimskg/creative_work/e8afb47c-554c-5734-8535-84f873ac9e16,The vaccine for coronavirus existed since 2001 and 19 years later they say there is no vaccine,Vishvanews,English,MIXTURE,2,"2001, coronavirus, vaccine","['2001', ' coronavirus', ' vaccine']",3.0,17,en,46,46_coronavirus_vaccine_vaccinating_outbreak
45505,51653,62474,445,http://data.gesis.org/claimskg/creative_work/5091e1bf-c3b1-5602-bbe4-4575205e7a2f,A viral photograph showing a canine coronavirus vaccine demonstrates that there should already exist a human vaccine for COVID-19.,snopes,English,False,1,"COVID-19, canine coronavirus, vaccine","['COVID-19', ' canine coronavirus', ' vaccine']",3.0,19,en,46,46_coronavirus_vaccine_vaccinating_outbreak
53975,60370,5765,5765,http://data.gesis.org/claimskg/creative_work/18512880-c67c-5d7d-add8-8b213202ed53,Interferon alpha-2b is a vaccine for the new coronavirus.,africacheck,English,FALSE,1,"Interferon alpha-2b, coronavirus, vaccine","['Interferon alpha-2b', ' coronavirus', ' vaccine']",3.0,9,en,46,46_coronavirus_vaccine_vaccinating_outbreak
54902,61313,5995,5995,http://data.gesis.org/claimskg/creative_work/c6bc7fb1-286e-56c5-9561-a8ec63d1987d,"No, pharmaceutical company VP not arrested and coronavirus vaccine not experimental",africacheck,English,FALSE,1,"VP, coronavirus vaccine, pharmaceutical company","['VP', ' coronavirus vaccine', ' pharmaceutical company']",3.0,11,en,46,46_coronavirus_vaccine_vaccinating_outbreak
62540,69275,29892,745,http://data.gesis.org/claimskg/creative_work/2d7c235f-daad-5055-ad9b-5d5ea37594a6,"An image they keep removing from social media proves a canine coronavirus vaccine existed in 2001, and public health officials are lying about there being no vaccine for COVID-19.",truthorfiction,English,FALSE,1,"COVID-19, canine coronavirus, public health, social media, vaccine","['COVID-19', ' canine coronavirus', ' public health', ' social media', ' vaccine']",5.0,29,en,46,46_coronavirus_vaccine_vaccinating_outbreak
65872,72881,33660,1410,http://data.gesis.org/claimskg/creative_work/3de1501f-d0ac-5f28-bc34-4b914d2b91cf,"If Pakistan develops a corona vaccine, it will never give it to Israel or India - Pak PM Imran Khan",Vishvanews,English,FALSE,1,"India, Israel, PM Imran Khan, Pak, Pakistan, corona, develops, vaccine","['India', ' Israel', ' PM Imran Khan', ' Pak', ' Pakistan', ' corona', ' develops', ' vaccine']",8.0,20,en,46,46_coronavirus_vaccine_vaccinating_outbreak
