Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
98,697,36040,3790,http://data.gesis.org/claimskg/creative_work/74dfe269-5930-5e04-bac5-0285715b8a54,Coronavirus remains in throat for 4 days,Vishvanews,English,FALSE,1,,,0.0,7,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
9579,13917,26471,4926,http://data.gesis.org/claimskg/creative_work/99d859b3-c979-564e-a526-b08d9ad3c909,Bald men are twice as likely to suffer from severe Covid-19.,fullfact,English,MIXTURE,2,Covid-19,['Covid-19'],1.0,11,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
10095,14437,25508,3963,http://data.gesis.org/claimskg/creative_work/9d9e73cc-32be-5e3c-80b5-cd805e88e986,"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested.",fullfact,English,TRUE,3,coronavirus pandemic,['coronavirus pandemic'],1.0,14,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
16505,20981,35164,2914,http://data.gesis.org/claimskg/creative_work/9ffcd1b4-efa0-59f8-bb60-c8dd3756d2a3,A picture of the coronavirus-infected patient's throat,Vishvanews,English,FALSE,1,coronavirus,['coronavirus'],1.0,7,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
22027,27056,12605,1257,http://data.gesis.org/claimskg/creative_work/9a14fea8-f447-5e6e-ac5a-da770c44839c,COVID-19 symptoms progress in three distinct stages,factcheck_afp,English,FALSE,1,COVID-19,['COVID-19'],1.0,7,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
23425,28646,1450,1450,http://data.gesis.org/claimskg/creative_work/9e848f6a-7fa7-51d1-927f-bd2849c2571d,Between 25 and 30% of individuals will have persistent symptoms after Covid-19 infection.,africacheck,English,OTHER,-1,Covid-19,['Covid-19'],1.0,13,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
35894,41245,63513,1484,http://data.gesis.org/claimskg/creative_work/ccee968f-62d7-527d-a504-fcad2b7c9e21,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection.",snopes,English,False,1,"COVID-19 infection, hold your breath","['COVID-19 infection', ' hold your breath']",2.0,26,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
36146,41500,15279,3931,http://data.gesis.org/claimskg/creative_work/549bdb8d-972b-5301-ac44-b75c9518b0ed,Infographic shows timeline of COVID-19 symptoms,factcheck_afp,English,FALSE,1,"COVID-19, Infographic","['COVID-19', ' Infographic']",2.0,6,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
36764,42143,34188,1938,http://data.gesis.org/claimskg/creative_work/55ac8690-3af4-5ed5-a75e-a083450f18a9,The viral photo isthe throat of COVID-19 infected person's throat,Vishvanews,English,MIXTURE,2,"COVID, infected person","['COVID', ' infected person']",2.0,10,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
39542,45077,22666,1121,http://data.gesis.org/claimskg/creative_work/fae86445-6b24-5647-9c06-df6a1281f224,There is no link between the severity of a Covid-19 infection and the chances of suffering long Covid afterwards,fullfact,English,FALSE,1,"Covid-19, long Covid","['Covid-19', ' long Covid']",2.0,19,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
39763,45299,29273,126,http://data.gesis.org/claimskg/creative_work/90380fed-09a2-5426-b702-98333a26cc92,A photo of four x-rays side-by-side compares lung damage inflicted by COVID-19 and two additional diseases.,truthorfiction,English,OTHER,-1,"COVID-19, x-rays","['COVID-19', ' x-rays']",2.0,16,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
46928,53107,76107,1760,http://data.gesis.org/claimskg/creative_work/eb3a130e-2c69-52c0-9383-6a8e6a317863,People who have survived the COVID-19 coronavirus disease can become reinfected by the virus.,snopes,English,OTHER,-1,"COVID, coronavirus disease, reinfected","['COVID', ' coronavirus disease', ' reinfected']",3.0,14,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
47231,53411,24371,2826,http://data.gesis.org/claimskg/creative_work/5cc9f2e8-75e5-5922-a4d2-72c43ca9d978,Young people are about twice as likely to suffer from long Covid after a coronavirus infection,fullfact,English,FALSE,1,"Young people, coronavirus infection, long Covid","['Young people', ' coronavirus infection', ' long Covid']",3.0,16,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
53951,60345,12897,1549,http://data.gesis.org/claimskg/creative_work/4cb74e35-c681-547e-a5ae-5fb9be9a0069,Pneumonia brought on by Covid-19 is actually an allergic reaction,factcheck_afp,English,FALSE,1,"Covid-19, Pneumonia, allergic reaction","['Covid-19', ' Pneumonia', ' allergic reaction']",3.0,10,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
56093,62540,72592,1306,http://data.gesis.org/claimskg/creative_work/59718e87-1541-5fb5-ac60-485e3380cb20,"Pinkeye, or conjunctivitis, is a symptom of COVID-19.",snopes,English,MIXTURE,2,"COVID-19, Pinkeye, conjunctivitis, symptom","['COVID-19', ' Pinkeye', ' conjunctivitis', ' symptom']",4.0,8,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
58518,65042,378,378,http://data.gesis.org/claimskg/creative_work/a6d27109-ac2f-51e6-8597-231b57c31030,Coronavirus is not pneumonia – and symptoms of Covid-19 can be like common cold,africacheck,English,FALSE,1,"Coronavirus, Covid-19, common cold, pneumonia","['Coronavirus', ' Covid-19', ' common cold', ' pneumonia']",4.0,14,en,47,47_coronavirusinfected_pneumonia_covid19induced_throat
