Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
165,1389,17467,6119,http://data.gesis.org/claimskg/creative_work/de9b1b54-0b6c-5631-b1a5-ec25238887ed,Cold weather-related heart issues are cover for vaccine problems,factcheck_afp,English,FALSE,1,,,0.0,9,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
9770,14111,24963,3418,http://data.gesis.org/claimskg/creative_work/0a79a0f3-d220-5517-940e-eac3fc3b2c4e,"Many people suddenly have previously rare conditions and children are having heart attacks, with the implication being this is as a result of the Covid-19 vaccines.",fullfact,English,FALSE,1,heart attacks,['heart attacks'],1.0,26,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
25452,30711,6857,619,http://data.gesis.org/claimskg/creative_work/c6704de6-743d-530d-bd32-bed26cc1a7de,An image shared on Facebook purportedly shows Queensland Chief Health Officer John Gerrard admitting vaccinated citizens are dying from myocarditis.,checkyourfact,English,FALSE,1,"Chief Health Officer, myocarditis","['Chief Health Officer', ' myocarditis']",2.0,20,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
30805,36108,514,514,http://data.gesis.org/claimskg/creative_work/e4418431-19d4-597f-beee-acf5a3050d28,"No, heart disease in children has not ‘exploded’ because of the Covid-19 vaccine",africacheck,English,FALSE,1,"Covid-19 vaccine, heart disease","['Covid-19 vaccine', ' heart disease']",2.0,13,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
38406,43842,14787,3439,http://data.gesis.org/claimskg/creative_work/39155d64-5b4c-5f1b-920d-9df54b5cdddd,Study shows high levels of myocarditis in vaccinated US athletes,factcheck_afp,English,FALSE,1,"high levels, myocarditis","['high levels', ' myocarditis']",2.0,10,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
38823,44268,22145,600,http://data.gesis.org/claimskg/creative_work/04d4d7af-848e-554b-b1ef-e9f8130e8409,Fifty percent of children who acquire myocarditis caused by Covid-19 vaccines will die within five years of diagnosis.,fullfact,English,FALSE,1,"Covid-19 vaccines, myocarditis","['Covid-19 vaccines', ' myocarditis']",2.0,18,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
38885,44330,27103,5558,http://data.gesis.org/claimskg/creative_work/65acb294-b976-591c-a0b3-f7b29bb516b4,The FDA said heart attacks following the Covid-19 vaccines are 71 times higher than following other vaccines.,fullfact,English,OTHER,-1,"FDA, heart attacks","['FDA', ' heart attacks']",2.0,17,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
38900,44345,22458,913,http://data.gesis.org/claimskg/creative_work/5f2c9d0c-5128-5f6c-82a3-18048169c8f8,Research has found that a massive amount of the population has a deadly heart condition after a year of Covid-19 vaccines.,fullfact,English,FALSE,1,"Covid-19 vaccines, heart condition","['Covid-19 vaccines', ' heart condition']",2.0,21,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
39228,44761,24021,2476,http://data.gesis.org/claimskg/creative_work/1e4b3342-c47a-5304-a0e4-046f04319b7a,"There are an estimated 1,500 cases of myocarditis per million patients with Covid—far greater than the risk of myocarditis following vaccination.",fullfact,English,OTHER,-1,"Covid, myocarditis","['Covid', ' myocarditis']",2.0,21,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
40994,46873,42256,3429,http://data.gesis.org/claimskg/creative_work/f6dfb3f2-c7a3-5a53-98c3-880cb2e2cdf1,Holiday heart syndrome is a cover for deaths caused by the COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Holiday heart syndrome","['COVID-19 vaccine', ' Holiday heart syndrome']",2.0,13,en,48,48_myocarditis_vaccinated_pericarditis_vaccines
