Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
7559,11843,30144,997,http://data.gesis.org/claimskg/creative_work/abbef6bf-50d5-5523-962a-18974687c535,"When Covid hit New Zealand the government said 'Everybody, no going to work for two weeks, there $7k in your bank account we added.' That’s how they started, day one. Now they don’t have Covid. We can’t imagine doing that, so.... here we are",truthorfiction,English,MIXTURE,2,New Zealand,['New Zealand'],1.0,44,en,49,49_zealands_nz_zealand_zealanders
14678,19062,46973,8146,http://data.gesis.org/claimskg/creative_work/9d2d0636-c723-556a-81af-7609dfe0319d,The coronavirus has seen a big surge in New Zealand. It's terrible. We don't want that.,politifact,English,False,1,New Zealand,['New Zealand'],1.0,16,en,49,49_zealands_nz_zealand_zealanders
20154,25084,16512,5164,http://data.gesis.org/claimskg/creative_work/631e766a-47af-584c-b1d4-edf9ddc471c2,Euthanasia approved for Covid patients in New Zealand,factcheck_afp,English,FALSE,1,New Zealand,['New Zealand'],1.0,8,en,49,49_zealands_nz_zealand_zealanders
21425,26417,17339,5991,http://data.gesis.org/claimskg/creative_work/48fe813e-6e40-55dc-baa5-268ac82a8d94,New Zealand border workers could be fined $4000 or imprisoned if they are not vaccinated,factcheck_afp,English,FALSE,1,New Zealand,['New Zealand'],1.0,15,en,49,49_zealands_nz_zealand_zealanders
21436,26428,17088,5740,http://data.gesis.org/claimskg/creative_work/9c08038c-394b-53f4-afb1-38a781c3717e,Major New Zealand insurer won’t pay out if someone is inoculated against Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,13,en,49,49_zealands_nz_zealand_zealanders
21536,26529,17149,5801,http://data.gesis.org/claimskg/creative_work/c70f7532-c8b7-5233-bc93-994db6708b2f,New Zealand Government can force citizens to be vaccinated,factcheck_afp,English,FALSE,1,New Zealand Government,['New Zealand Government'],1.0,9,en,49,49_zealands_nz_zealand_zealanders
22655,27793,24254,2709,http://data.gesis.org/claimskg/creative_work/b41a808e-72ce-507b-9c60-89d97fb59593,New Zealand’s MPs took a 20% pay cut during this pandemic,fullfact,English,OTHER,-1,20%,['20%'],1.0,11,en,49,49_zealands_nz_zealand_zealanders
32915,38235,61617,3457,http://data.gesis.org/claimskg/creative_work/5753b534-29d1-57b1-bd5e-0101f38b7c71,A video shows a group of people celebrating the end of COVID-19 restrictions in New Zealand.,snopes,English,True,3,"COVID-19, New Zealand","['COVID-19', ' New Zealand']",2.0,16,en,49,49_zealands_nz_zealand_zealanders
37598,43019,14058,2710,http://data.gesis.org/claimskg/creative_work/e74cb998-b9bd-5f8c-ad20-cbee5b3f2652,New Zealanders not using COVID-19 contact tracing app are banned from entering and purchasing from businesses,factcheck_afp,English,FALSE,1,"COVID-19 contact tracing app, New Zealanders","['COVID-19 contact tracing app', ' New Zealanders']",2.0,16,en,49,49_zealands_nz_zealand_zealanders
38167,43596,14676,3328,http://data.gesis.org/claimskg/creative_work/38f2a619-2b2c-5b22-9b4b-086e61ccc3c8,NZ Herald reveals government plans to put Covid-19 vaccine in water supply,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, NZ Herald","['Covid-19 vaccine', ' NZ Herald']",2.0,12,en,49,49_zealands_nz_zealand_zealanders
39262,44796,25391,3846,http://data.gesis.org/claimskg/creative_work/f7ef7062-8f6b-52e7-a7c0-b0140ff79410,New Zealand Prime Minister Jacinda Ardern has ordered all MPs to take a 20% pay cut during Covid-19 crisis.,fullfact,English,OTHER,-1,"20%, Covid-19 crisis","['20%', ' Covid-19 crisis']",2.0,19,en,49,49_zealands_nz_zealand_zealanders
39768,45305,32022,2875,http://data.gesis.org/claimskg/creative_work/0e62f4ce-09ed-547a-b965-569b1615781e,"Rugby fans in New Zealand attended a live match on June 26 2020, because the country has successfully suppressed COVID-19.",truthorfiction,English,TRUE,3,"COVID-19, New Zealand","['COVID-19', ' New Zealand']",2.0,20,en,49,49_zealands_nz_zealand_zealanders
40720,46555,30834,1687,http://data.gesis.org/claimskg/creative_work/bbe1f636-f4dd-5439-a2d5-c3bbd3c8a58d,There’s more cases of Covid in the White House than in all of New Zealand.,truthorfiction,English,FALSE,1,"New Zealand, White House","['New Zealand', ' White House']",2.0,15,en,49,49_zealands_nz_zealand_zealanders
41097,46977,13279,1931,http://data.gesis.org/claimskg/creative_work/f7619456-1e85-5160-a153-6a39da3ecd03,Video shows New Zealand Prime Minister organizing outdoor event after completing vaccinations for majority of population?,factcheck_afp,English,FALSE,1,"Prime Minister, majority of population","['Prime Minister', ' majority of population']",2.0,16,en,49,49_zealands_nz_zealand_zealanders
47127,53307,12092,744,http://data.gesis.org/claimskg/creative_work/5cc729d9-8b4d-5f7c-bc5b-8164e43dbe23,"As of July 2020, the New Zealand Defence Force are allowed to enter homes and remove people in response to COVID-19",factcheck_afp,English,FALSE,1,"New Zealand Defence Force, allowed to enter, response to COVID-19","['New Zealand Defence Force', ' allowed to enter', ' response to COVID-19']",3.0,21,en,49,49_zealands_nz_zealand_zealanders
47315,53495,173,173,http://data.gesis.org/claimskg/creative_work/1899b6f8-3038-5e4b-b4ba-16ccad3715a4,"No, New Zealand Herald didn’t report Ardern government’s ‘underhanded’ plan to release Covid vaccine into water supply",africacheck,English,FALSE,1,"Covid vaccine, New Zealand Herald, government’s","['Covid vaccine', ' New Zealand Herald', ' government’s']",3.0,17,en,49,49_zealands_nz_zealand_zealanders
48106,54305,29557,410,http://data.gesis.org/claimskg/creative_work/830d596f-04c1-546f-92f1-3039a847b750,A South Carolina property management company urged tenants to go ahead and get your rental payments in NOW during the COVID-19 pandemic.,truthorfiction,English,OTHER,-1,"COVID-19 pandemic, South Carolina, property management","['COVID-19 pandemic', ' South Carolina', ' property management']",3.0,22,en,49,49_zealands_nz_zealand_zealanders
53649,60039,13334,1986,http://data.gesis.org/claimskg/creative_work/697c056e-1215-5691-9691-716b3af367fa,"Photo shows Chinese tourists exempted from COVID-19 lockdown in Auckland, New Zealand, in August 2020",factcheck_afp,English,FALSE,1,"Auckland, COVID-19 lockdown, New Zealand","['Auckland', ' COVID-19 lockdown', ' New Zealand']",3.0,15,en,49,49_zealands_nz_zealand_zealanders
56330,62802,29768,621,http://data.gesis.org/claimskg/creative_work/893f22a8-6136-59ce-8e7c-e3568faba94e,"A landlord in Bellingham, Washington gave their tenants a free envelope in which to send their rent checks to relieve stress related to COVID-19.",truthorfiction,English,FALSE,1,"Bellingham, Washington, COVID, relieve stress","['Bellingham', ' Washington', ' COVID', ' relieve stress']",4.0,24,en,49,49_zealands_nz_zealand_zealanders
61114,67806,51466,3596,http://data.gesis.org/claimskg/creative_work/b7a15477-9019-5e0a-a27f-24c97f969cb2,"New Zealand let health experts rather than politicians make decisions about how to deal with COVID-19, and as of today they have zero COVID cases.",politifact,English,MIXTURE,2,"COVID cases, COVID-19, New Zealand, make decisions","['COVID cases', ' COVID-19', ' New Zealand', ' make decisions']",4.0,25,en,49,49_zealands_nz_zealand_zealanders
61599,68314,7155,917,http://data.gesis.org/claimskg/creative_work/a19332e8-4b01-517d-b64f-bea9a3e27479,An image shared on Facebook claims to show a New Zealand Herald article about the New Zealand government’s alleged plan to lace city water supplies with COVID-19 vaccines.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, Facebook, New Zealand Herald, New Zealand government","['COVID-19 vaccines', ' Facebook', ' New Zealand Herald', ' New Zealand government']",4.0,28,en,49,49_zealands_nz_zealand_zealanders
62671,69426,7534,1296,http://data.gesis.org/claimskg/creative_work/c2e6f7c7-38a6-5f6f-b6b7-464951bd1342,"A viral Facebook post claims people who refuse to use EVA Check-In, purportedly a contact tracing app, cannot enter stores in New Zealand during alert level two of the country’s COVID-19 containment plan.",checkyourfact,English,FALSE,1,"COVID-19, Check-In, Facebook, alert level, contact tracing app","['COVID-19', ' Check-In', ' Facebook', ' alert level', ' contact tracing app']",5.0,33,en,49,49_zealands_nz_zealand_zealanders
65535,72528,28106,148,http://data.gesis.org/claimskg/creative_work/70abb253-db61-573b-97f5-74212c75d6f5,RT Falsely Claims New Zealand Legalizes ‘Orgies’ Amid COVID Measures,polygraph,English,FALSE,1,"Amid, COVID, Claims, Measures, Orgies, RT, Zealand","['Amid', ' COVID', ' Claims', ' Measures', ' Orgies', ' RT', ' Zealand']",7.0,10,en,49,49_zealands_nz_zealand_zealanders
