Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
533,2535,43327,4500,http://data.gesis.org/claimskg/creative_work/53bdf6a5-fb42-51e8-ae97-c5d48e9115b2,"COVID death rates 4 to 1, vaccinated to unvaxxed",politifact,English,False,1,,,0.0,9,en,4,4_vaccines_vaccine_covid19_covid
1681,3705,15343,3995,http://data.gesis.org/claimskg/creative_work/29266012-1772-5208-8357-f47c404fb148,"There have been 3,005 Covid vaccine deaths since December 2020",factcheck_afp,English,MIXTURE,2,,,0.0,10,en,4,4_vaccines_vaccine_covid19_covid
2758,4851,22517,972,http://data.gesis.org/claimskg/creative_work/4c226298-a8e5-5d7c-86e3-cb435289c33d,"Over 55,000 deaths have been caused by the Covid-19 vaccines.",fullfact,English,FALSE,1,,,0.0,10,en,4,4_vaccines_vaccine_covid19_covid
2982,5334,23946,2401,http://data.gesis.org/claimskg/creative_work/8f1ebf64-8264-5097-93e2-0f98dc43c8ce,A government document showing that 60-70% of Covid deaths over the summer will be among the vaccinated is proof that vaccines are intended for genocide.,fullfact,English,FALSE,1,,,0.0,25,en,4,4_vaccines_vaccine_covid19_covid
3141,5495,23837,2292,http://data.gesis.org/claimskg/creative_work/c7e43022-2773-588e-a7be-6dc8940d8306,"Covid-19 vaccines have caused 1,213 deaths.",fullfact,English,OTHER,-1,,,0.0,6,en,4,4_vaccines_vaccine_covid19_covid
3142,5496,25198,3653,http://data.gesis.org/claimskg/creative_work/043be1fd-65a5-56ea-9b9b-08ecbd2dce50,The claim that the daily rate of vaccine deaths is now higher than Covid deaths has been discussed in the House of Commons.,fullfact,English,TRUE,3,,,0.0,23,en,4,4_vaccines_vaccine_covid19_covid
3273,5629,24617,3072,http://data.gesis.org/claimskg/creative_work/a456e597-a6f9-55f3-bfea-5dfcc1d2d2f1,Official data shows twice as many people have died due to the Covid-19 vaccines in six months than people who have died of Covid-19 in 15 months.,fullfact,English,FALSE,1,,,0.0,27,en,4,4_vaccines_vaccine_covid19_covid
3331,5687,24779,3234,http://data.gesis.org/claimskg/creative_work/b0fc316d-b80c-558c-8091-3dfeb636d47a,"Covid-19 vaccines have caused 859,481 adverse reactions.",fullfact,English,OTHER,-1,,,0.0,7,en,4,4_vaccines_vaccine_covid19_covid
3379,5735,24828,3283,http://data.gesis.org/claimskg/creative_work/b1fc5005-2733-550b-bb1f-9e4f40ed1b8b,"The Covid-19 vaccines have killed 3,362 people in less than four months.",fullfact,English,OTHER,-1,,,0.0,12,en,4,4_vaccines_vaccine_covid19_covid
3547,5905,26168,4623,http://data.gesis.org/claimskg/creative_work/31e242ca-b417-5448-9739-479bcd680c07,"There have been 1,517 deaths and 1,102,228 adverse reactions caused by the Covid-19 vaccines.",fullfact,English,OTHER,-1,,,0.0,14,en,4,4_vaccines_vaccine_covid19_covid
3570,5928,23014,1469,http://data.gesis.org/claimskg/creative_work/5db93dc7-ba0f-5dc4-bc84-696a7edd9b3a,"In the USA there have been 387,087 reports of adverse events after the Covid-19 vaccination.",fullfact,English,OTHER,-1,,,0.0,15,en,4,4_vaccines_vaccine_covid19_covid
7535,11817,65698,3669,http://data.gesis.org/claimskg/creative_work/34469438-c330-557a-8609-5f00edeb537c,There have been more deaths from COVID-19 vaccines than deaths from the actual virus.,snopes,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,14,en,4,4_vaccines_vaccine_covid19_covid
7618,11905,65936,3907,http://data.gesis.org/claimskg/creative_work/5b62634b-d42a-52c0-81c7-dd5e4f89131e,"Some 45,000 Americans died within three days of receiving their COVID-19 vaccine.",snopes,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,12,en,4,4_vaccines_vaccine_covid19_covid
9177,13512,25750,4205,http://data.gesis.org/claimskg/creative_work/d9f68ba9-1982-507c-9b69-fbf750ac03d3,More than twice as many Americans have lost a household member to a Covid vaccine injury as have lost one to Covid.,fullfact,English,OTHER,-1,Covid,['Covid'],1.0,22,en,4,4_vaccines_vaccine_covid19_covid
9625,13964,26397,4852,http://data.gesis.org/claimskg/creative_work/f4004114-964c-52e5-ba9a-e573edbbc50a,"More than 10,991 people have died from Covid-19 vaccines in the US so far.",fullfact,English,FALSE,1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,14,en,4,4_vaccines_vaccine_covid19_covid
10049,14391,25589,4044,http://data.gesis.org/claimskg/creative_work/851d6e9a-ded5-578c-aace-fbb2c71c7e0a,"A new Covid-19 vaccine was tested on fit young military men. Of the 15 tested, 8 went to intensive care, 3 on ventilators and 5 people, four of them servicemen, are dead.",fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,32,en,4,4_vaccines_vaccine_covid19_covid
10154,14497,25200,3655,http://data.gesis.org/claimskg/creative_work/e5016e0c-9683-555c-b1aa-194bdb641adf,Covid-19 vaccination has resulted in catastrophic death and injury figures.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,10,en,4,4_vaccines_vaccine_covid19_covid
10814,15161,27805,6260,http://data.gesis.org/claimskg/creative_work/f64d7d81-9ba8-59e6-bed0-32a8ac6ff80d,Covid-19 vaccines are killing many people according to data on the VAERS system.,fullfact,English,FALSE,1,VAERS,['VAERS'],1.0,13,en,4,4_vaccines_vaccine_covid19_covid
11176,15525,27191,5646,http://data.gesis.org/claimskg/creative_work/40e766b0-177f-5446-932b-176407134330,A Covid-19 vaccine will kill more people than the virus.,fullfact,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,10,en,4,4_vaccines_vaccine_covid19_covid
