Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
979,2997,50905,3035,http://data.gesis.org/claimskg/creative_work/0bf0b550-7420-5a92-b0c4-8380a3655c83,"The best way to avoid COVID altogether is to exercise, eat healthy and let your immune system beat it naturally.",politifact,English,MIXTURE,2,,,0.0,20,en,50,50_covid19_treatments_remedies_treatment
19323,24167,13071,1723,http://data.gesis.org/claimskg/creative_work/8c70656c-8308-5f98-aea1-f8a8e5a16ca4,Guidelines to protect from COVID-19 infection,factcheck_afp,English,FALSE,1,COVID,['COVID'],1.0,6,en,50,50_covid19_treatments_remedies_treatment
19608,24498,13338,1990,http://data.gesis.org/claimskg/creative_work/0002a479-d521-54c5-a962-098ad13a3782,Virus removal card that can prevent infection from Covid-19.,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,50,50_covid19_treatments_remedies_treatment
19656,24551,13292,1944,http://data.gesis.org/claimskg/creative_work/79cba6b9-e8f1-5076-acf1-78da00d8e4a0,A list of Covid-19 remedies from an ‘isolation hospital’,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,50,50_covid19_treatments_remedies_treatment
20083,25013,16394,5046,http://data.gesis.org/claimskg/creative_work/1d57bea4-c414-555a-b73c-fb750074e9ad,List of remedies proven to prevent or minimise side effects of Covid-19 vaccination,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,13,en,50,50_covid19_treatments_remedies_treatment
20414,25347,15310,3962,http://data.gesis.org/claimskg/creative_work/6bc94fe1-0e0f-5b59-8f51-049d9b905c32,List of COVID-19 treatments,factcheck_afp,English,FALSE,1,COVID-19 treatments,['COVID-19 treatments'],1.0,4,en,50,50_covid19_treatments_remedies_treatment
20422,25356,15441,4093,http://data.gesis.org/claimskg/creative_work/692bdfc9-42d4-5044-918c-720f06e98391,Tips can help cure Covid-19 at home,factcheck_afp,English,MIXTURE,2,Covid-19,['Covid-19'],1.0,7,en,50,50_covid19_treatments_remedies_treatment
21042,26020,14370,3022,http://data.gesis.org/claimskg/creative_work/0aa477ea-f3b9-50f6-8801-e7b401aea492,Accurate list of COVID-19 treatments,factcheck_afp,English,FALSE,1,COVID-19 treatments,['COVID-19 treatments'],1.0,5,en,50,50_covid19_treatments_remedies_treatment
22342,27471,12117,769,http://data.gesis.org/claimskg/creative_work/325f8584-4621-52d0-acee-1d09d3905e43,Samsung Alternative Medicine Institute shared Covid-19 prevention tips,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,8,en,50,50_covid19_treatments_remedies_treatment
22800,27945,606,606,http://data.gesis.org/claimskg/creative_work/22d28124-16dc-5212-9999-a8cc0f706ed6,We know for a fact that there are drugs that have been repurposed and used effectively to treat Covid-19.,africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,19,en,50,50_covid19_treatments_remedies_treatment
23304,28488,12774,1426,http://data.gesis.org/claimskg/creative_work/d8005c93-6dd4-520b-8ed7-4d2302fd9eb8,Virus-removing card can prevent COVID-19 infection,factcheck_afp,English,FALSE,1,COVID,['COVID'],1.0,6,en,50,50_covid19_treatments_remedies_treatment
29773,35067,70899,8870,http://data.gesis.org/claimskg/creative_work/3090deee-1956-57b5-bae8-52fc4c3b7ecf,Johns Hopkins University published this excellent summary on avoiding COVID-19.,snopes,English,False,1,"COVID-19, Johns Hopkins University","['COVID-19', ' Johns Hopkins University']",2.0,10,en,50,50_covid19_treatments_remedies_treatment
36763,42142,17077,5729,http://data.gesis.org/claimskg/creative_work/887aefa4-273f-52c3-803a-16bf8ab65932,Accurate health advice about COVID-19 home remedies,factcheck_afp,English,FALSE,1,"COVID-19, home remedies","['COVID-19', ' home remedies']",2.0,7,en,50,50_covid19_treatments_remedies_treatment
36925,42313,33903,1653,http://data.gesis.org/claimskg/creative_work/d529d286-a22f-54d3-b437-44d892c82db9,COVID-19 is not new and old textbook lists its treatment,Vishvanews,English,MIXTURE,2,"COVID-19, textbook","['COVID-19', ' textbook']",2.0,10,en,50,50_covid19_treatments_remedies_treatment
36989,42383,17125,5777,http://data.gesis.org/claimskg/creative_work/455bb0d7-6812-5ff0-afba-9de0a2a1e817,WHO approved substances to prevent long Covid symptoms,factcheck_afp,English,FALSE,1,"WHO, long Covid","['WHO', ' long Covid']",2.0,8,en,50,50_covid19_treatments_remedies_treatment
39234,44767,25019,3474,http://data.gesis.org/claimskg/creative_work/f529871a-b0b0-594f-a3eb-1b52a24111e0,Covid-19 is easily treatable at home. About 85% of hospitalisation and death is completely avoidable with early treatment.,fullfact,English,FALSE,1,"85%, Covid-19","['85%', ' Covid-19']",2.0,18,en,50,50_covid19_treatments_remedies_treatment
39744,45280,25800,4255,http://data.gesis.org/claimskg/creative_work/4af7bddd-e38c-5311-93c9-b8e1295679eb,Prime Minister Boris Johnson advocated for the UK to take Covid-19 on the chin and allow the disease to spread through the population.,fullfact,English,OTHER,-1,"Covid-19, Prime Minister Boris Johnson","['Covid-19', ' Prime Minister Boris Johnson']",2.0,23,en,50,50_covid19_treatments_remedies_treatment
44762,50814,17054,5706,http://data.gesis.org/claimskg/creative_work/e67f4df5-df4d-580a-be23-fdd184f049e7,Homeopathy medicine Aspidosperma can be used instead of oxygen when treating Covid-19 patients,factcheck_afp,English,FALSE,1,"Aspidosperma, Covid-19, Homeopathy","['Aspidosperma', ' Covid-19', ' Homeopathy']",3.0,13,en,50,50_covid19_treatments_remedies_treatment
54428,60832,16086,4738,http://data.gesis.org/claimskg/creative_work/73fb7a61-1701-507d-b350-613ae204d613,Covid-19 treatments recommended by the dean of Thailand’s Siriraj Hospital?,factcheck_afp,English,FALSE,1,"Covid-19, Siriraj Hospital, Thailand","['Covid-19', ' Siriraj Hospital', ' Thailand']",3.0,10,en,50,50_covid19_treatments_remedies_treatment
56820,63318,28573,615,http://data.gesis.org/claimskg/creative_work/2b4b6eb5-e278-595c-b775-bb30ed82c924,Prominent Filipinos Tout Unproven Parasite Drug for COVID-19,polygraph,English,FALSE,1,"COVID-19, Filipinos, Parasite, Tout","['COVID-19', ' Filipinos', ' Parasite', ' Tout']",4.0,8,en,50,50_covid19_treatments_remedies_treatment
58933,65473,58175,15,http://data.gesis.org/claimskg/creative_work/2774ab2e-cbc4-5c92-b320-22670cf760c5,A leader of the National Health Service (NHS) warned against the advice of Gwyneth Paltrow for treating lingering effects of COVID-19.,snopes,English,True,3,"Gwyneth Paltrow, NHS, National Health Service, lingering effects of COVID-19","['Gwyneth Paltrow', ' NHS', ' National Health Service', ' lingering effects of COVID-19']",4.0,21,en,50,50_covid19_treatments_remedies_treatment
59843,66461,23586,2041,http://data.gesis.org/claimskg/creative_work/251e2214-68ba-59a0-b747-438f25faf08c,"Covid-19 can be cured by antibiotic tablets, anti-inflammatory and taking anticoagulants such as aspirin.",fullfact,English,OTHER,-1,"anti-inflammatory, antibiotic, anticoagulants, aspirin","['anti-inflammatory', ' antibiotic', ' anticoagulants', ' aspirin']",4.0,14,en,50,50_covid19_treatments_remedies_treatment
64364,71268,33830,1580,http://data.gesis.org/claimskg/creative_work/64800867-628c-5b88-8ea1-201dad2d7a4d,A student from Pondicherry University has found a home remedy for COVID-19 that has been accepted by World Health Organization (WHO),Vishvanews,English,FALSE,1,"COVID, Pondicherry University, WHO, World Health Organization, home remedy","['COVID', ' Pondicherry University', ' WHO', ' World Health Organization', ' home remedy']",5.0,21,en,50,50_covid19_treatments_remedies_treatment
