Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2435,4523,39951,1124,http://data.gesis.org/claimskg/creative_work/40dc513d-513e-541d-948d-317039130e74,Schumer and Pelosi sneak funding into COVID bill.,politifact,English,False,1,,,0.0,8,en,51,51_pelosis_pelosi_nancy_coronavirus
3927,6320,30402,1255,http://data.gesis.org/claimskg/creative_work/489aa2a1-af6f-5ad4-8442-0b3645686196,Who the hell tries to slip taxpayer funded abortion funding into a #Coronavirus bill? That is just sick Nancy and the Dems,truthorfiction,English,FALSE,1,,,0.0,22,en,51,51_pelosis_pelosi_nancy_coronavirus
20419,25352,6813,575,http://data.gesis.org/claimskg/creative_work/223378b5-948b-5c10-b6cf-e80bf440b7fd,An image shared on Facebook purportedly shows House Speaker Nancy Pelosi didn’t actually receive the COVID-19 vaccine because the orange cap remained on the needle.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,25,en,51,51_pelosis_pelosi_nancy_coronavirus
24126,29382,54295,6425,http://data.gesis.org/claimskg/creative_work/69cb4cf6-432a-55b2-b7a7-6d51028ae75d,Says Nancy Pelosi tried once again to include abortion funding in the latest coronavirus bill.,politifact,English,MIXTURE,2,"Nancy Pelosi, coronavirus","['Nancy Pelosi', ' coronavirus']",2.0,15,en,51,51_pelosis_pelosi_nancy_coronavirus
26030,31293,55942,8072,http://data.gesis.org/claimskg/creative_work/fcb38a47-92c0-53f8-9796-78eda5dbe2c0,"Pelosi’s new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.",politifact,English,MIXTURE,2,"future payments, relief funds","['future payments', ' relief funds']",2.0,18,en,51,51_pelosis_pelosi_nancy_coronavirus
26652,31918,52359,4489,http://data.gesis.org/claimskg/creative_work/8fa2fd27-0ce9-5038-8d75-652d9d8712a6,Says Nancy Pelosi delayed coronavirus funding so Dems could campaign on it.,politifact,English,MIXTURE,2,"Nancy Pelosi, coronavirus","['Nancy Pelosi', ' coronavirus']",2.0,12,en,51,51_pelosis_pelosi_nancy_coronavirus
28750,34035,8295,2057,http://data.gesis.org/claimskg/creative_work/6a212a33-1f31-516e-bceb-f6a994789458,"A post shared on Facebook more than 82,000 times claims House Speaker Nancy Pelosi hid $25 million worth of congressional pay raises in the House coronavirus stimulus package.",checkyourfact,English,FALSE,1,"Facebook, congressional pay","['Facebook', ' congressional pay']",2.0,28,en,51,51_pelosis_pelosi_nancy_coronavirus
37412,42829,39593,766,http://data.gesis.org/claimskg/creative_work/c51c9740-71d7-5b6b-85f0-82d5e25303e5,Says Nancy Pelosi was caught trying to include abortion funding in bill to combat coronavirus.,politifact,English,False,1,"Nancy Pelosi, coronavirus","['Nancy Pelosi', ' coronavirus']",2.0,15,en,51,51_pelosis_pelosi_nancy_coronavirus
41483,47368,13318,1970,http://data.gesis.org/claimskg/creative_work/d1e426e5-8c15-5fc7-8b22-5b1177f69155,Cap on when Nancy Pelosi got Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Nancy Pelosi","['Covid-19 vaccine', ' Nancy Pelosi']",2.0,8,en,51,51_pelosis_pelosi_nancy_coronavirus
42757,48693,31851,2704,http://data.gesis.org/claimskg/creative_work/ec29e82e-b385-5515-b778-bfc07ebb3430,Sen. Chuck Schumer and Rep. Nancy Pelosi shot down COVID relief including $600 checks for Americans in December 2020.,truthorfiction,English,MIXTURE,2,"December 2020, Rep. Nancy Pelosi, Sen. Chuck Schumer","['December 2020', ' Rep. Nancy Pelosi', ' Sen. Chuck Schumer']",3.0,19,en,51,51_pelosis_pelosi_nancy_coronavirus
45115,51220,46563,7736,http://data.gesis.org/claimskg/creative_work/ec2fd03f-6a85-547f-b35b-dec51b74f76b,Says Nancy Pelosi made millions in coronavirus insider trading.,politifact,English,False,1,"Nancy Pelosi, coronavirus, insider trading","['Nancy Pelosi', ' coronavirus', ' insider trading']",3.0,9,en,51,51_pelosis_pelosi_nancy_coronavirus
50501,56876,9125,2887,http://data.gesis.org/claimskg/creative_work/26a528b1-cae8-5717-b036-c398dff290da,An image shared on Facebook claims House Democrats snuck into the $3 trillion coronavirus relief bill a provision that keeps the House in recess until July 21.,checkyourfact,English,FALSE,1,"Facebook, House Democrats, July 21","['Facebook', ' House Democrats', ' July 21']",3.0,27,en,51,51_pelosis_pelosi_nancy_coronavirus
57458,63966,73073,1787,http://data.gesis.org/claimskg/creative_work/1b6a321e-0876-52b7-a2c2-f93b683b9aaf,U. S. House Speaker Nancy Pelosi declared during the COVID-19 pandemic that Congress would be out of session unless there is an emergency.,snopes,English,MIXTURE,2,"COVID-19, Congress, Nancy Pelosi, U. S. House Speaker","['COVID-19', ' Congress', ' Nancy Pelosi', ' U. S. House Speaker']",4.0,23,en,51,51_pelosis_pelosi_nancy_coronavirus
