Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
3163,5518,23849,2304,http://data.gesis.org/claimskg/creative_work/bbaf6ad1-da70-5336-aa63-b14fb02fda44,The same child was reported to have died in three different countries from Covid-19.,fullfact,English,OTHER,-1,,,0.0,14,en,54,54_covid19_viral_died_autopsy
9388,13725,72582,1296,http://data.gesis.org/claimskg/creative_work/1fefd0ad-1623-5704-8bdc-4ef3cd2a10af,Carsyn Leigh Davis died of COVID-19 shortly after attending a COVID party at her youth church.,snopes,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,16,en,54,54_covid19_viral_died_autopsy
10549,14893,69534,7505,http://data.gesis.org/claimskg/creative_work/84e5f1d9-ceba-5542-8e0a-f62f37939bc1,Newspaper accounts reported two different deaths from COVID-19 for the same person.,snopes,English,False,1,COVID-19,['COVID-19'],1.0,12,en,54,54_covid19_viral_died_autopsy
12767,17135,42718,3891,http://data.gesis.org/claimskg/creative_work/348d5744-bdc5-5232-88fc-dace520f1a62,Same little boy died of COVID-19 in three different countries. Still don’t believe the media is #fakenews?,politifact,English,False,1,COVID-19,['COVID-19'],1.0,17,en,54,54_covid19_viral_died_autopsy
20523,25460,7111,873,http://data.gesis.org/claimskg/creative_work/0e2fc7c4-7775-5a21-9cb8-06e834ff2d2b,A viral Instagram post claims a specific man died of COVID-19 in two different cities.,checkyourfact,English,FALSE,1,Instagram,['Instagram'],1.0,15,en,54,54_covid19_viral_died_autopsy
26258,31523,9662,3424,http://data.gesis.org/claimskg/creative_work/d3c33734-6fce-5594-bc82-99a62260ffa9,An image shared on Instagram purports three media outlets reported the death of the same boy from COVID-19 in three different countries.,checkyourfact,English,FALSE,1,"COVID-19, Instagram","['COVID-19', ' Instagram']",2.0,22,en,54,54_covid19_viral_died_autopsy
26942,32210,11073,4835,http://data.gesis.org/claimskg/creative_work/87150ccb-af5d-52f7-b80d-68d2f2d1cb15,A screen grabbed tweet shared on Facebook claims that a man died after taking malaria medication touted by Trump as possible cure for coronavirus.,checkyourfact,English,FALSE,1,"Facebook, malaria","['Facebook', ' malaria']",2.0,24,en,54,54_covid19_viral_died_autopsy
37094,42495,16294,4946,http://data.gesis.org/claimskg/creative_work/51078927-7aba-54eb-b063-5c3c2d5795c5,Donald Trump died of Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Donald Trump","['Covid-19', ' Donald Trump']",2.0,5,en,54,54_covid19_viral_died_autopsy
37649,43070,39385,558,http://data.gesis.org/claimskg/creative_work/997e96f5-3f2b-52b1-98bd-2bf12bbf4dab,"Media outlets reported that the same boy died 3 times from the coronavirus, in 3 countries.",politifact,English,False,1,"3 countries, Media outlets","['3 countries', ' Media outlets']",2.0,16,en,54,54_covid19_viral_died_autopsy
39057,44542,29190,43,http://data.gesis.org/claimskg/creative_work/18a1c8b2-e1cf-5172-bbd8-544ceb011c34,Circulating posts by a man named Richard Rose demonstrate his position that COVID-19 was a hoax; Rose died from COVID-19 in July 2020.,truthorfiction,English,TRUE,3,"COVID-19, Richard Rose","['COVID-19', ' Richard Rose']",2.0,23,en,54,54_covid19_viral_died_autopsy
