Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
696,2706,11917,569,http://data.gesis.org/claimskg/creative_work/5cf526f9-9aaf-527d-b87b-9331ceb09889,The novel coronavirus can be spread through fruits and vegetables because it remains viable on them for 12 hours,factcheck_afp,English,FALSE,1,,,0.0,19,en,56,56_coronavirus_pathogens_vitamin_corona
2007,4081,13316,1968,http://data.gesis.org/claimskg/creative_work/3a1703da-f455-5c86-85dd-e5d3f10411b9,Consuming silver particles kills novel coronavirus,factcheck_afp,English,FALSE,1,,,0.0,6,en,56,56_coronavirus_pathogens_vitamin_corona
2273,4356,14054,2706,http://data.gesis.org/claimskg/creative_work/749975c6-bbd7-5639-b4d9-78a16a6845cd,herb cure coronavirus,factcheck_afp,English,OTHER,-1,,,0.0,3,en,56,56_coronavirus_pathogens_vitamin_corona
2322,4406,40112,1285,http://data.gesis.org/claimskg/creative_work/c1f5c073-5e7e-50f3-98ea-87cfa50c3dd6,Scientists are shocked to discover that weed kills corona virus,politifact,English,False,1,,,0.0,10,en,56,56_coronavirus_pathogens_vitamin_corona
15047,19435,47658,8831,http://data.gesis.org/claimskg/creative_work/a2660197-b7e1-5b06-9d3b-b5bb5623d178,Says the coronavirus can be slowed or stopped with the immediate widespread use of high doses of vitamin C.,politifact,English,False,1,vitamin,['vitamin'],1.0,19,en,56,56_coronavirus_pathogens_vitamin_corona
15867,20301,36209,3959,http://data.gesis.org/claimskg/creative_work/ef37f4bd-a7c0-5bb3-bb99-aeacaf6da3c4,Eat chiken beat coronavirus,Vishvanews,English,FALSE,1,coronavirus,['coronavirus'],1.0,4,en,56,56_coronavirus_pathogens_vitamin_corona
16047,20487,33959,1709,http://data.gesis.org/claimskg/creative_work/254d1fb7-0000-51b9-98e2-725a5023da36,Agarbatti Wards off Coronavirus,Vishvanews,English,FALSE,1,Agarbatti,['Agarbatti'],1.0,4,en,56,56_coronavirus_pathogens_vitamin_corona
20964,25939,8238,2000,http://data.gesis.org/claimskg/creative_work/762bd435-8afd-5977-88f8-46ab77af03a8,A tweet claims people should avoid consuming ice cream and other cold food products to help prevent contracting the new coronavirus.,checkyourfact,English,FALSE,1,cold food,['cold food'],1.0,21,en,56,56_coronavirus_pathogens_vitamin_corona
24808,30065,10516,4278,http://data.gesis.org/claimskg/creative_work/4be69fee-a2bf-55f3-a9a8-d7bc86e0e437,An image shared on Facebook claims colloidal silver can kill the new coronavirus and more than 650 other pathogens.,checkyourfact,English,FALSE,1,"Facebook, coronavirus","['Facebook', ' coronavirus']",2.0,19,en,56,56_coronavirus_pathogens_vitamin_corona
30964,36268,74435,88,http://data.gesis.org/claimskg/creative_work/4b79d440-5050-563d-b213-9e60a717cc58,Coronavirus has resulted in a U.S. shortage of some Dr Pepper flavors.,snopes,English,OTHER,-1,"Dr Pepper, U.S.","['Dr Pepper', ' U.S.']",2.0,12,en,56,56_coronavirus_pathogens_vitamin_corona
36317,41684,36190,3940,http://data.gesis.org/claimskg/creative_work/cf79a5a1-b7df-542d-94a5-43adf4b2e862,Weed kills coronavirus,Vishvanews,English,FALSE,1,"Weed, coronavirus","['Weed', ' coronavirus']",2.0,3,en,56,56_coronavirus_pathogens_vitamin_corona
