Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
912,2928,49644,1774,http://data.gesis.org/claimskg/creative_work/1d08c16b-3c0f-5fcd-9b34-44d842587d2d,There's over a trillion dollars of money unspent from previous (coronavirus) relief bills ... still sitting in a bank account.,politifact,English,MIXTURE,2,,,0.0,20,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
7854,12150,29797,650,http://data.gesis.org/claimskg/creative_work/0abd5825-d66b-5888-8bd8-9108222009e7,"As the United States government tried to negotiate a response to a novel coronavirus strain, cost issues temporarily stalled passing a bill approving roughly $8 billion in emergency funding.",truthorfiction,English,TRUE,3,United States government,['United States government'],1.0,29,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
9383,13720,72948,1662,http://data.gesis.org/claimskg/creative_work/5e5c5b39-dca8-5893-afcb-e8b980079d08,"The coronavirus relief package passed by U.S. Congress in December 2020 included aid to foreign countries, while giving Americans $600 relief checks.",snopes,English,MIXTURE,2,U.S. Congress,['U.S. Congress'],1.0,22,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
13872,18253,49215,1345,http://data.gesis.org/claimskg/creative_work/dfee53f0-100b-5bb8-b911-1657781f3041,We are number one in the country as far as our spending (COVID-19 relief) money on businesses as it relates to the percentage of federal funds that we receive.,politifact,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,29,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
14693,19077,46914,8087,http://data.gesis.org/claimskg/creative_work/277bc007-deb8-5765-a178-5f4a51efca95,"The COVID economic relief package included $600 million for San Francisco, part of which goes to cover the tab for free alcohol and marijuana for the homeless.",politifact,English,False,1,San Francisco,['San Francisco'],1.0,27,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
17535,22045,40906,2079,http://data.gesis.org/claimskg/creative_work/f63c2bdd-9033-5792-bff0-6151ed6f3c4d,"Speaking of the federal debt before the coronavirus pandemic, we were starting to get that number down.",politifact,English,False,1,coronavirus pandemic,['coronavirus pandemic'],1.0,17,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
18652,23215,13943,2595,http://data.gesis.org/claimskg/creative_work/c63e8020-7026-5c17-842c-5460a38927e2,$1.9 trillion pandemic relief act includes enough money to pay every American $1 million.,factcheck_afp,English,FALSE,1,pandemic relief,['pandemic relief'],1.0,14,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
20741,25687,8070,1832,http://data.gesis.org/claimskg/creative_work/bb7dd08c-88a5-52d4-b9e3-e6154a6b2cc9,A post shared on Facebook claims the $2.3 trillion pandemic aid and government spending package includes pay raises for members of Congress.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,22,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
21119,26099,16958,5610,http://data.gesis.org/claimskg/creative_work/11e2485a-2f41-5cda-a9e0-a2196342a0fb,Evangelical churches in the US did not receive $7.3b worth of COVID-19 loans,factcheck_afp,English,FALSE,1,COVID-19,['COVID-19'],1.0,13,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
23879,29135,55187,7317,http://data.gesis.org/claimskg/creative_work/0baf4818-25f0-5cb2-8818-ceba848d1b74,"There is a consensus among economists left, right, and center... that we can’t spend too much on COVID-19 relief.",politifact,English,MIXTURE,2,"COVID, consensus among economists","['COVID', ' consensus among economists']",2.0,19,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
26274,31539,51919,4049,http://data.gesis.org/claimskg/creative_work/e6b5228f-6a81-5f8c-aae9-d968a355c15d,"Says COVID-19 relief bill provides more funding to foreign governments and to American arts centers, than to the American people.",politifact,English,MIXTURE,2,"American arts, COVID-19","['American arts', ' COVID-19']",2.0,20,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
48157,54364,45639,6812,http://data.gesis.org/claimskg/creative_work/63b54e3c-5149-513d-84b3-5bd1012d0fb2,"The $1,200 coronavirus relief checks this year are just an advance on your next tax return. ... Next year, you're automatically going to owe $1,200 come tax season.",politifact,English,False,1,"coronavirus, tax return, tax season","['coronavirus', ' tax return', ' tax season']",3.0,28,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
53316,59705,7663,1425,http://data.gesis.org/claimskg/creative_work/d4359199-069a-54da-aeba-01df487186db,An Instagram post claims Congress hid language that nullifies the Insurrection Act in the $2.3 trillion pandemic aid and government spending package.,checkyourfact,English,FALSE,1,"Instagram, Insurrection Act, government spending","['Instagram', ' Insurrection Act', ' government spending']",3.0,22,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
57069,63570,60556,2396,http://data.gesis.org/claimskg/creative_work/840a4e59-844e-5b9e-8764-5d77caaff248,Joel Osteen's Lakewood Church in Texas received $4.4 million in coronavirus-economic-relief loans.,snopes,English,True,3,"Joel Osteen, Lakewood Church, Texas, coronavirus","['Joel Osteen', ' Lakewood Church', ' Texas', ' coronavirus']",4.0,12,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
62947,69728,48669,799,http://data.gesis.org/claimskg/creative_work/1a170648-7759-5074-a610-fded064823d4,Federal aid for state and local governments through a proposed coronavirus relief bill would amount to half of what the Republicans put onto the national debt.,politifact,English,MIXTURE,2,"Federal aid, Republicans, coronavirus, national debt, state and local governments","['Federal aid', ' Republicans', ' coronavirus', ' national debt', ' state and local governments']",5.0,26,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
63540,70409,59219,1059,http://data.gesis.org/claimskg/creative_work/4c583cd2-d108-510f-9753-45094a2aea0b,NFL star Tom Brady's company received a nearly $1 million loan from the Paycheck Protection Program (PPP) during the COVID-19 pandemic.,snopes,English,True,3,"COVID-19, NFL star, PPP, Paycheck Protection Program, Tom Brady","['COVID-19', ' NFL star', ' PPP', ' Paycheck Protection Program', ' Tom Brady']",5.0,21,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
64887,71820,51963,4093,http://data.gesis.org/claimskg/creative_work/2b3737f9-fc7d-5fd4-8f19-ec1ff11119f9,"Gov. Tony Evers has only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.",politifact,English,MIXTURE,2,"ARPA, CARES Act, COVID, Gov., Tony Evers, one-third","['ARPA', ' CARES Act', ' COVID', ' Gov.', ' Tony Evers', ' one-third']",6.0,40,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
65334,72310,41375,2548,http://data.gesis.org/claimskg/creative_work/3fe6068f-d34f-5d65-9f6c-e53e87b84b3c,"States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis.",politifact,English,False,1,"COVID-19 outbreak, California, York, Illinois, bail, pension systems","['COVID-19 outbreak', ' California', ' York', ' Illinois', ' bail', ' pension systems']",6.0,38,en,57,57_funding_aid_coronaviruseconomicrelief_trillion
