Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
271,2270,45340,6513,http://data.gesis.org/claimskg/creative_work/61bfdbcb-16a7-5333-9f64-f1c1c9f8b427,6000% Increase in Reported Vaccine Deaths 1st Quarter 2021 Compared to 1st Quarter 2020,politifact,English,False,1,,,0.0,14,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
3113,5467,25150,3605,http://data.gesis.org/claimskg/creative_work/9350db7e-eb4e-55b4-be97-385fec090d45,20-30% of the population is going to die with each vaccine.,fullfact,English,OTHER,-1,,,0.0,11,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
3132,5486,23912,2367,http://data.gesis.org/claimskg/creative_work/94244a1c-49aa-59c4-ad35-643af3d8d463,The triple vaccinated are the most likely to die.,fullfact,English,OTHER,-1,,,0.0,9,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
3811,6172,23310,1765,http://data.gesis.org/claimskg/creative_work/f8c92fc7-9268-5e44-a5e6-821cdd0edde3,Millions of people have been injured by the vaccines.,fullfact,English,OTHER,-1,,,0.0,9,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
3868,6232,23425,1880,http://data.gesis.org/claimskg/creative_work/d8615fa8-5171-5c56-8859-be0214f6070d,There are eight vaccine deaths per day.,fullfact,English,OTHER,-1,,,0.0,7,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
9509,13847,26342,4797,http://data.gesis.org/claimskg/creative_work/f055e2d1-a8fc-500e-9d17-1f9c62cbd30a,Data from the Office for National Statistics shows the vaccinated population were suffering immense immune system damage in April and May 2022.,fullfact,English,OTHER,-1,Office for National Statistics,['Office for National Statistics'],1.0,22,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
9723,14063,25046,3501,http://data.gesis.org/claimskg/creative_work/d18748ff-d526-5d12-983e-a552918d6e0b,"Japan has the lowest infant death rate, no child under two is vaccinated. The US has the highest infant death rate and gives 28 doses of vaccines by age two.",fullfact,English,OTHER,-1,Japan,['Japan'],1.0,30,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
13298,17669,43001,4174,http://data.gesis.org/claimskg/creative_work/45dbe5aa-93df-50fd-9152-762f6d306853,"Per the CDC, there are nearly twice as many vaccine-related deaths so far in 2021 (1,755) than all the vaccine deaths this past decade (994).",politifact,English,False,1,CDC,['CDC'],1.0,25,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
17349,21859,41523,2696,http://data.gesis.org/claimskg/creative_work/9cc69180-a44e-5716-9ce3-84dfb3faaccd,Some people are going to die from the vaccine directly. But a large number of people are going to start getting horribly sick and get all kinds of autoimmune diseases.,politifact,English,False,1,autoimmune diseases,['autoimmune diseases'],1.0,30,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
19286,24129,12948,1600,http://data.gesis.org/claimskg/creative_work/50f2321d-8419-5ba5-bd86-a558b3bea686,The number of vaccine related deaths in the United States in 2021 surpasses that of the past decade,factcheck_afp,English,MIXTURE,2,United States,['United States'],1.0,18,en,58,58_vaccine_vaccinated_vaccinerelated_deaths
