Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
723,2736,44528,5701,http://data.gesis.org/claimskg/creative_work/ea009651-34fa-5a86-b64d-f42a427df1a0,"This idea that it's the pandemic of the unvaccinated, it's just a total lie.",politifact,English,False,1,,,0.0,14,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
2513,4603,22321,776,http://data.gesis.org/claimskg/creative_work/6f31f223-5c5b-5479-827c-d56b41131f93,The unvaccinated aren’t dying.,fullfact,English,OTHER,-1,,,0.0,4,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
3412,5768,25842,4297,http://data.gesis.org/claimskg/creative_work/bb3a38e5-80e9-53f6-a265-53623398cf3d,The overwhelming majority of people in hospital with Covid have not been vaccinated.,fullfact,English,FALSE,1,,,0.0,13,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
8064,12370,32069,2922,http://data.gesis.org/claimskg/creative_work/91ceee91-3bd5-5081-90bd-bfe28f9d11a8,Around 20 million doses of COVID-19 vaccines remained unaccounted for as recently as January 2021.,truthorfiction,English,TRUE,3,COVID-19 vaccines,['COVID-19 vaccines'],1.0,15,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
9645,13984,24906,3361,http://data.gesis.org/claimskg/creative_work/1f75d005-d348-5f7d-b4a5-d3aa48771705,90% of people in hospital with Covid-19 are unvaccinated.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
11062,15411,27112,5567,http://data.gesis.org/claimskg/creative_work/9d297203-7aab-5a22-8394-401fc4f8c5ca,90% of people in ICU with Covid-19 have not been vaccinated.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,11,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
11593,15946,27374,5829,http://data.gesis.org/claimskg/creative_work/6e879dbe-96df-56bc-9629-e0ed180264cc,Only 32 vaccinated people have been hospitalised with Covid.,fullfact,English,MIXTURE,2,vaccinated people,['vaccinated people'],1.0,9,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
12349,16711,52735,4865,http://data.gesis.org/claimskg/creative_work/6f537997-cf8e-58a3-93f5-2745fc7a7dfd,"As with people vaccinated against COVID-19, many people who were NOT vaccinated also experienced zero or mild symptoms.",politifact,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,18,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
17139,21644,39743,916,http://data.gesis.org/claimskg/creative_work/9123c515-52db-59e2-9dd4-bffd06423972,60% of new COVID-19 patients are people who received the vaccine.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,11,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
17972,22490,37533,1221,http://data.gesis.org/claimskg/creative_work/2efef51a-ed0e-5b1e-9569-4a15837d0016,"If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.",politifact,English,True,3,West Virginia,['West Virginia'],1.0,24,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
21808,26807,11534,186,http://data.gesis.org/claimskg/creative_work/8ffb2a7e-9569-53f1-87dd-ab32e98a9fbc,"US counties identify unvaccinated residents by looking at CDC, Census data",factcheck_afp,English,FALSE,1,CDC,['CDC'],1.0,11,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
22994,28142,23577,2032,http://data.gesis.org/claimskg/creative_work/2159cef4-2b73-5817-85f7-c6ce0cdb794c,Unvaccinated people are not dying from Covid-19.,fullfact,English,FALSE,1,Unvaccinated people,['Unvaccinated people'],1.0,7,en,61,61_unvaccinated_vaccinated_covid_hospitalizations
