Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
9836,14178,24566,3021,http://data.gesis.org/claimskg/creative_work/d96e7031-b454-5ed6-bed2-380bae1a1847,The BBC said there is HIV in the Covid-19 vaccines.,fullfact,English,OTHER,-1,BBC,['BBC'],1.0,10,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
11057,15406,27120,5575,http://data.gesis.org/claimskg/creative_work/d3fce2c0-ed22-523d-9474-111a71bcee6f,"By the end of January 2022, all vaccinated Germans will have AIDS and be 100% more vulnerable to Covid infections.",fullfact,English,OTHER,-1,AIDS,['AIDS'],1.0,20,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
11108,15457,27049,5504,http://data.gesis.org/claimskg/creative_work/e26eab79-4109-50bc-b6d3-f58ee3785f0c,Government data shows the fully vaccinated will develop AIDS by the end of February.,fullfact,English,FALSE,1,AIDS,['AIDS'],1.0,14,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
21806,26805,22897,1352,http://data.gesis.org/claimskg/creative_work/27c5ddca-87dd-5e31-abee-097f3710c96d,There is a link between Covid-19 vaccines and a new strain of HIV identified in the Netherlands.,fullfact,English,FALSE,1,HIV,['HIV'],1.0,17,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
25629,30889,44491,5664,http://data.gesis.org/claimskg/creative_work/aa6fe358-080e-5271-9ab6-5e06b4ba29cc,Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.,politifact,English,False,1,"Acquired Immune Deficiency Syndrome, COVID vaccine","['Acquired Immune Deficiency Syndrome', ' COVID vaccine']",2.0,14,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
25909,31170,44333,5506,http://data.gesis.org/claimskg/creative_work/f3a2ecba-a2cd-5895-846b-ce6e65059bbf,Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.,politifact,English,False,1,"Acquired Immunodeficiency Syndrome, fully vaccinated","['Acquired Immunodeficiency Syndrome', ' fully vaccinated']",2.0,12,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
39095,44590,27721,6176,http://data.gesis.org/claimskg/creative_work/8ba8c85e-d1ce-5ec5-a633-eaf600ca6ca5,People vaccinated against Covid-19 may be experiencing a form of vaccine-induced acquired immunodeficiency syndrome.,fullfact,English,FALSE,1,"acquired immunodeficiency syndrome, vaccine","['acquired immunodeficiency syndrome', ' vaccine']",2.0,14,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
39452,44987,26061,4516,http://data.gesis.org/claimskg/creative_work/a3c3e3c6-d43b-51c0-ad8e-32f702e8f014,Official government reports suggest the fully vaccinated will develop AIDS by the end of the year.,fullfact,English,FALSE,1,"AIDS, Official government reports","['AIDS', ' Official government reports']",2.0,16,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
41400,47280,41768,2941,http://data.gesis.org/claimskg/creative_work/d09d51ce-06b0-58a3-a647-c9ee354c2b71,The COVID-19 vaccines cause AIDS.,politifact,English,False,1,"AIDS, COVID-19 vaccines","['AIDS', ' COVID-19 vaccines']",2.0,5,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
41841,47734,43890,5063,http://data.gesis.org/claimskg/creative_work/eff8fefa-7f6e-5a53-a9fc-ec1b57ea0d2d,The COVID-19 vaccines contain HIV lipid wrappers.,politifact,English,False,1,"COVID-19 vaccines, HIV","['COVID-19 vaccines', ' HIV']",2.0,7,en,62,62_immunodeficiency_hiv_vaccines_vaccinated
