Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
13090,17460,43576,4749,http://data.gesis.org/claimskg/creative_work/95012444-f67e-5133-a49e-34445ebe30e6,Pope Francis says covid vaccine will now be required to enter heaven.,politifact,English,False,1,Pope Francis,['Pope Francis'],1.0,12,en,63,63_coronavirus_pope_vatican_francis
13410,17785,43272,4445,http://data.gesis.org/claimskg/creative_work/4b858557-4196-5fc6-9b4f-ac88c67fcdec,Nurses submitting coronavirus tests say they all are coming back positive.,politifact,English,False,1,coronavirus tests,['coronavirus tests'],1.0,11,en,63,63_coronavirus_pope_vatican_francis
24057,29313,10240,4002,http://data.gesis.org/claimskg/creative_work/e8450115-942c-5e1a-9a2a-bd20b957aeb4,A viral Facebook post claims Harry Potter actor Daniel Radcliffe has tested positive for the novel coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Harry Potter","['Facebook', ' Harry Potter']",2.0,17,en,63,63_coronavirus_pope_vatican_francis
27130,32400,9378,3140,http://data.gesis.org/claimskg/creative_work/000c1cf1-e94a-54aa-a56f-5083191a20a3,A post shared on Facebook claims Buckingham Palace confirmed Queen Elizabeth II has tested positive for coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Queen Elizabeth II","['Facebook', ' Queen Elizabeth II']",2.0,17,en,63,63_coronavirus_pope_vatican_francis
30775,36078,75500,1153,http://data.gesis.org/claimskg/creative_work/2cb3b568-49d7-558c-82c5-4ec6710cd30c,Pope Francis declared that COVID-19 vaccination would be required in order to get into heaven.,snopes,English,OTHER,-1,"COVID-19 vaccination, Pope Francis","['COVID-19 vaccination', ' Pope Francis']",2.0,15,en,63,63_coronavirus_pope_vatican_francis
40350,46073,29775,628,http://data.gesis.org/claimskg/creative_work/ad3f5eba-f5c4-5ed7-8b82-e50290de1a70,I just tested positive for coronavirus. Can any one help pray for me and also share to Facebook groups so I can get more prayers?,truthorfiction,English,FALSE,1,"Facebook, tested positive for coronavirus","['Facebook', ' tested positive for coronavirus']",2.0,25,en,63,63_coronavirus_pope_vatican_francis
41849,47742,12653,1305,http://data.gesis.org/claimskg/creative_work/ed2cc80c-fe06-56a8-bf4f-3a6d9c66b9d8,Buckingham Palace has announced that the Queen tested positive for coronavirus,factcheck_afp,English,FALSE,1,"Buckingham Palace, tested positive for coronavirus","['Buckingham Palace', ' tested positive for coronavirus']",2.0,11,en,63,63_coronavirus_pope_vatican_francis
43338,49324,45939,7112,http://data.gesis.org/claimskg/creative_work/5f90b786-ff1f-505b-b67a-a99bd6aa5939,Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.,politifact,English,False,1,"Pope Francis, Vatican, tested positive for coronavirus","['Pope Francis', ' Vatican', ' tested positive for coronavirus']",3.0,14,en,63,63_coronavirus_pope_vatican_francis
45420,51568,62440,411,http://data.gesis.org/claimskg/creative_work/c2416c92-345f-5458-b227-37fdd3880d2e,Pope Francis urged people to say the following prayer: I am vaccinated by the precious blood of Jesus Christ. No virus can touch me. Amen.,snopes,English,False,1,"Amen, Pope Francis, blood of Jesus Christ","['Amen', ' Pope Francis', ' blood of Jesus Christ']",3.0,25,en,63,63_coronavirus_pope_vatican_francis
50170,56543,15037,3689,http://data.gesis.org/claimskg/creative_work/c91e6bab-7ec4-588d-bd9c-e3c993eaf29a,This report says Pope Francis tested positive for novel coronavirus,factcheck_afp,English,FALSE,1,"Pope Francis, coronavirus, tested positive","['Pope Francis', ' coronavirus', ' tested positive']",3.0,10,en,63,63_coronavirus_pope_vatican_francis
