Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
7526,11807,30205,1058,http://data.gesis.org/claimskg/creative_work/79b1f32a-f79a-5099-8730-b8a4fa2237c3,COVID-19 doctors are reporting inexplicable blood-clotting and hematological complications in otherwise young and healthy patients.,truthorfiction,English,TRUE,3,COVID-19,['COVID-19'],1.0,15,en,66,66_clotting_clots_clot_bloodclotting
13012,17382,41897,3070,http://data.gesis.org/claimskg/creative_work/c18494d1-a035-5b28-807e-909a029b0a5c,Blood starts to clot in a minute or two after a Pfizer COVID-19 vaccine injection.,politifact,English,False,1,Pfizer COVID-19 vaccine,['Pfizer COVID-19 vaccine'],1.0,15,en,66,66_clotting_clots_clot_bloodclotting
21775,26774,22745,1200,http://data.gesis.org/claimskg/creative_work/bc4e90b0-87fd-5c53-8bf4-88223aeaaa05,"Covid-19 clots the blood causing thrombosis, stopping blood flow and oxygenating the heart and lungs.",fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,15,en,66,66_clotting_clots_clot_bloodclotting
23205,28359,23484,1939,http://data.gesis.org/claimskg/creative_work/4796d6a8-ec66-54ff-91c5-4623d1f22948,The Astrazeneca vaccine in the UK causes blood clots.,fullfact,English,OTHER,-1,blood clots,['blood clots'],1.0,9,en,66,66_clotting_clots_clot_bloodclotting
23690,28944,47233,8406,http://data.gesis.org/claimskg/creative_work/d0957c8f-2b7e-52bf-b5fb-9f9a09a5db10,Recent blood clots or strokes in four major athletes are an unwanted effect of COVID-19 vaccines.,politifact,English,False,1,"COVID-19 vaccines, blood clots","['COVID-19 vaccines', ' blood clots']",2.0,16,en,66,66_clotting_clots_clot_bloodclotting
24978,30236,44304,5477,http://data.gesis.org/claimskg/creative_work/26fc547a-d31c-5799-b45c-0e255cace2d9,Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,politifact,English,False,1,"COVID-19 vaccine, blood clots","['COVID-19 vaccine', ' blood clots']",2.0,18,en,66,66_clotting_clots_clot_bloodclotting
39353,44887,24625,3080,http://data.gesis.org/claimskg/creative_work/ce961318-6bb3-595b-b6e0-5cbb9b5c911e,Covid-19 has been found to cause blood clotting.,fullfact,English,MIXTURE,2,"Covid-19, blood clotting","['Covid-19', ' blood clotting']",2.0,8,en,66,66_clotting_clots_clot_bloodclotting
39404,44939,24302,2757,http://data.gesis.org/claimskg/creative_work/3adeaf01-1ffc-5800-9f0e-3b74268c1dd4,Covid-19 patients have been misdiagnosed as having pneumonia when they actually have a blood clotting condition called disseminated intravascular coagulation.,fullfact,English,OTHER,-1,"blood clotting, pneumonia","['blood clotting', ' pneumonia']",2.0,20,en,66,66_clotting_clots_clot_bloodclotting
39603,45138,23415,1870,http://data.gesis.org/claimskg/creative_work/d637848a-5bae-50aa-b8a0-2fae73638636,The chance of getting a blood clot after the AstraZeneca vaccine is almost the same as being killed by a cow.,fullfact,English,OTHER,-1,"AstraZeneca vaccine, blood clot","['AstraZeneca vaccine', ' blood clot']",2.0,21,en,66,66_clotting_clots_clot_bloodclotting
44704,50756,17012,5664,http://data.gesis.org/claimskg/creative_work/a160d565-8042-56c5-bf8d-38c225522a87,Most people vaccinated against Covid-19 with mRNA shots will experience blood clots,factcheck_afp,English,FALSE,1,"Covid-19, blood clots, mRNA","['Covid-19', ' blood clots', ' mRNA']",3.0,12,en,66,66_clotting_clots_clot_bloodclotting
