Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1746,3812,15423,4075,http://data.gesis.org/claimskg/creative_work/fef2a40f-ea07-5c2e-a4da-2b77bf97c7b8,Photo shows scene during the 1918-20 influenza pandemic,factcheck_afp,English,FALSE,1,,,0.0,8,en,67,67_influenza_flu_pandemic_1918
5731,9935,70358,8329,http://data.gesis.org/claimskg/creative_work/563bd724-6e42-5277-9655-42581c797a9d,Kathleen O'Mara is the author of a poem written during the 1919 pandemic.,snopes,English,False,1,,,0.0,13,en,67,67_influenza_flu_pandemic_1918
6037,10252,60237,2077,http://data.gesis.org/claimskg/creative_work/8ae033eb-e2e8-50ac-8a31-9182eba97b1a,News clippings from the 1920s referenced safe kisses in a flu pandemic and mused that Perhaps 1921 will start more happily.,snopes,English,True,3,,,0.0,21,en,67,67_influenza_flu_pandemic_1918
13633,18010,51625,3755,http://data.gesis.org/claimskg/creative_work/7015e1e0-9fc6-5357-8efd-ce3b934b1288,Says series of 11 photos are from the 1918 flu pandemic.,politifact,English,MIXTURE,2,1918 flu pandemic,['1918 flu pandemic'],1.0,11,en,67,67_influenza_flu_pandemic_1918
20304,25236,15611,4263,http://data.gesis.org/claimskg/creative_work/7fff17d1-2182-57c3-ab48-86786a2255f9,Images show life during 1918 flu pandemic,factcheck_afp,English,MIXTURE,2,1918 flu pandemic,['1918 flu pandemic'],1.0,7,en,67,67_influenza_flu_pandemic_1918
22059,27109,11047,4809,http://data.gesis.org/claimskg/creative_work/ef24f8d5-6225-5d82-a6fd-24a279914e00,A post shared on Facebook claims poet Pam Ayres wrote the poem Let’s All Drink To Lockdown about the coronavirus pandemic.,checkyourfact,English,FALSE,1,Pam Ayres,['Pam Ayres'],1.0,21,en,67,67_influenza_flu_pandemic_1918
24001,29257,55313,7443,http://data.gesis.org/claimskg/creative_work/268c6895-9177-5bb0-9667-e92c18373211,"During the flu pandemic of 1918, some cities lifted social distancing measures too fast, too soon, and created a second wave of pandemic.",politifact,English,MIXTURE,2,"flu pandemic of 1918, social distancing measures","['flu pandemic of 1918', ' social distancing measures']",2.0,23,en,67,67_influenza_flu_pandemic_1918
24813,30070,6986,748,http://data.gesis.org/claimskg/creative_work/d3998d9b-779b-55cd-bf73-b81a0def0fc6,A viral Facebook post claims that French-Irish writer Kathleen O’Meara wrote the poem In the Time of Pandemic in 1869.,checkyourfact,English,FALSE,1,"Facebook, French-Irish","['Facebook', ' French-Irish']",2.0,20,en,67,67_influenza_flu_pandemic_1918
26154,31418,7173,935,http://data.gesis.org/claimskg/creative_work/b0f4071c-68e6-5caf-8a34-4306aaab3d04,An image shared on Facebook claims to show a poster from 1918 encouraging people to wear face masks during the Spanish flu pandemic.,checkyourfact,English,FALSE,1,"Facebook, Spanish flu pandemic","['Facebook', ' Spanish flu pandemic']",2.0,23,en,67,67_influenza_flu_pandemic_1918
28353,33636,8419,2181,http://data.gesis.org/claimskg/creative_work/2495c91e-f1e6-5295-b514-99b4167e794a,A Facebook post purportedly shows the text of a letter written by author F. Scott Fitzgerald in 1920 during the Spanish Influenza pandemic.,checkyourfact,English,FALSE,1,"1920, Facebook","['1920', ' Facebook']",2.0,23,en,67,67_influenza_flu_pandemic_1918
31090,36395,76417,2070,http://data.gesis.org/claimskg/creative_work/45f2ba3f-409b-5ec7-b57d-407e345864a6,A photograph shows a family and their cat wearing masks during the 1918 Spanish flu pandemic.,snopes,English,OTHER,-1,"1918 Spanish flu pandemic, wearing masks","['1918 Spanish flu pandemic', ' wearing masks']",2.0,16,en,67,67_influenza_flu_pandemic_1918
33805,39132,58951,791,http://data.gesis.org/claimskg/creative_work/4e4c76f2-4a3c-53ea-9833-ec6b82c6226e,A photograph shows a woman wearing a special mechanical nozzle mask during the so-called Spanish influenza pandemic.,snopes,English,True,3,"Spanish influenza pandemic, so-called","['Spanish influenza pandemic', ' so-called']",2.0,17,en,67,67_influenza_flu_pandemic_1918
33978,39307,58470,310,http://data.gesis.org/claimskg/creative_work/fab7ae89-16a8-5434-b636-7c167ce0e052,The New York State Department of Health advised people to kiss through handkerchiefs during the 1918 flu pandemic.,snopes,English,True,3,"1918 flu pandemic, New York State Department of Health","['1918 flu pandemic', ' New York State Department of Health']",2.0,18,en,67,67_influenza_flu_pandemic_1918
34639,39975,66539,4510,http://data.gesis.org/claimskg/creative_work/1588cd41-9367-5725-9f6f-70a3b16679f0,A photograph shows two women wearing flu masks during the 1918 pandemic.,snopes,English,False,1,"1918 pandemic, flu","['1918 pandemic', ' flu']",2.0,12,en,67,67_influenza_flu_pandemic_1918
40089,45737,17801,6453,http://data.gesis.org/claimskg/creative_work/d49203a5-3d2d-5d69-a669-97ad93a3ea36,"This 19th century poem about isolation, reprinted during the 1918 Spanish flu, resurfaces during novel coronavirus pandemic in 2020",factcheck_afp,English,FALSE,1,"1918 Spanish flu, coronavirus pandemic in 2020","['1918 Spanish flu', ' coronavirus pandemic in 2020']",2.0,19,en,67,67_influenza_flu_pandemic_1918
48183,54396,29697,550,http://data.gesis.org/claimskg/creative_work/5e3d2dbf-6b14-56ff-830c-e0f5eec6a8c5,The 1918 influenza pandemic was called the Spanish Flu because it emanated from Spain.,truthorfiction,English,FALSE,1,"1918 influenza pandemic, Spain, Spanish Flu","['1918 influenza pandemic', ' Spain', ' Spanish Flu']",3.0,14,en,67,67_influenza_flu_pandemic_1918
48875,55169,30025,878,http://data.gesis.org/claimskg/creative_work/e279eba1-77a7-58ff-887d-61c031fa2907,"An image went viral during the COVID-19 pandemic in 2020, showing a family with their masked cat in a portrait taken amidst the 1918 Spanish Flu pandemic.",truthorfiction,English,TRUE,3,"1918 Spanish Flu pandemic, COVID-19, pandemic in 2020","['1918 Spanish Flu pandemic', ' COVID-19', ' pandemic in 2020']",3.0,27,en,67,67_influenza_flu_pandemic_1918
61616,68331,62130,101,http://data.gesis.org/claimskg/creative_work/5f1f4b08-697b-5328-b027-99d942397905,A letter was written by F. Scott Fitzgerald in 1920 while the author was quarantined in France during the Spanish influenza pandemic.,snopes,English,False,1,"1920, F. Scott Fitzgerald, France, Spanish influenza pandemic","['1920', ' F. Scott Fitzgerald', ' France', ' Spanish influenza pandemic']",4.0,22,en,67,67_influenza_flu_pandemic_1918
