Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
32,223,16232,4884,http://data.gesis.org/claimskg/creative_work/b8b828d1-599a-53d2-9403-d2a19be0a4b9,"Indian villagers chase out staff and military trying to intimidate, test and vaccinate people",factcheck_afp,English,FALSE,1,,,0.0,14,en,68,68_vaccination_vaccine_vaccinate_injection
20867,25815,17485,6137,http://data.gesis.org/claimskg/creative_work/1c2a5c21-e506-55ba-9af6-11319850a04b,India sells SA ineffective Covid vaccine,factcheck_afp,English,FALSE,1,India,['India'],1.0,6,en,68,68_vaccination_vaccine_vaccinate_injection
22161,27283,12490,1142,http://data.gesis.org/claimskg/creative_work/d276ad84-976d-54f6-b69a-1ac697e15ded,Villagers attack health workers attempting to vaccinate them in India,factcheck_afp,English,FALSE,1,India,['India'],1.0,10,en,68,68_vaccination_vaccine_vaccinate_injection
36779,42159,17064,5716,http://data.gesis.org/claimskg/creative_work/f5c2f4d6-64a9-58e1-9aba-213b102b5864,Indian Muslim cleric talks about injecting mind controlling chip through COVID-19 vaccine,factcheck_afp,English,FALSE,1,"COVID-19 vaccine, Indian Muslim","['COVID-19 vaccine', ' Indian Muslim']",2.0,12,en,68,68_vaccination_vaccine_vaccinate_injection
37274,42683,34687,2437,http://data.gesis.org/claimskg/creative_work/dfc3fb6e-e3a8-5296-9dff-c5c3e14ed788,The vaccine to be given for free in Telangana is ready in Dubbakka,Vishvanews,English,FALSE,1,"Telangana, vaccine","['Telangana', ' vaccine']",2.0,13,en,68,68_vaccination_vaccine_vaccinate_injection
37416,42833,13848,2500,http://data.gesis.org/claimskg/creative_work/dc2a2c3c-b9f0-5871-964b-f0b675d13562,Afghan nationals entering Pakistan without COVID-19 screening,factcheck_afp,English,FALSE,1,"COVID-19, Pakistan","['COVID-19', ' Pakistan']",2.0,7,en,68,68_vaccination_vaccine_vaccinate_injection
41113,46993,13169,1821,http://data.gesis.org/claimskg/creative_work/d565698a-1d2f-5cf7-8f48-dd902d49680e,Covid-19 vaccine advisory from Pakistan's health ministry,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Pakistan","['Covid-19 vaccine', ' Pakistan']",2.0,7,en,68,68_vaccination_vaccine_vaccinate_injection
44555,50605,34757,2507,http://data.gesis.org/claimskg/creative_work/1415a9c5-9013-5ffd-980a-92d525fa856d,Soon after injected covid-19 vaccine in india,Vishvanews,English,FALSE,1,"covid, injected, vaccine","['covid', ' injected', ' vaccine']",3.0,7,en,68,68_vaccination_vaccine_vaccinate_injection
49870,56236,28538,580,http://data.gesis.org/claimskg/creative_work/f033a25b-4907-5a8e-8059-43f81556cba8,Iran Fabricates Claim that U.S. Blocked Vaccines from India,polygraph,English,FALSE,1,"India, Iran, Vaccines","['India', ' Iran', ' Vaccines']",3.0,9,en,68,68_vaccination_vaccine_vaccinate_injection
54083,60479,16346,4998,http://data.gesis.org/claimskg/creative_work/ee89dd03-b708-58ec-b0a9-ec7adf38d8df,Video shows vaccination arranged on the black market in India,factcheck_afp,English,FALSE,1,"India, black market, vaccination","['India', ' black market', ' vaccination']",3.0,10,en,68,68_vaccination_vaccine_vaccinate_injection
