Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
40,288,16626,5278,http://data.gesis.org/claimskg/creative_work/886953ff-2501-53dd-a8f1-f3e0728b507a,Sri Lankan specialist doctor says vaccines not effective against Omicron,factcheck_afp,English,FALSE,1,,,0.0,10,en,70,70_omicron_vaccines_vaccinations_vaccinated
349,2348,44708,5881,http://data.gesis.org/claimskg/creative_work/6b6897d4-3247-56d6-b36b-d8dfa7490a85,We know in November 2021 that none of your previous vaccines will protect you now from the emerging variant omicron.,politifact,English,False,1,,,0.0,20,en,70,70_omicron_vaccines_vaccinations_vaccinated
3030,5382,24046,2501,http://data.gesis.org/claimskg/creative_work/b2082be4-123e-5534-abb4-ca58a12131e9,Homeopathic nosodes could help with vaccine side effects.,fullfact,English,FALSE,1,,,0.0,8,en,70,70_omicron_vaccines_vaccinations_vaccinated
3117,5471,23883,2338,http://data.gesis.org/claimskg/creative_work/44691f42-9ca3-5c74-a552-bd6f325bfe4c,A company called Omicron Nanotechnology Limited exists and has something to do with the pandemic.,fullfact,English,OTHER,-1,,,0.0,15,en,70,70_omicron_vaccines_vaccinations_vaccinated
8256,12571,64539,2510,http://data.gesis.org/claimskg/creative_work/81bb17a8-febe-5430-841f-f8ed40503c01,More than 95% of omicron cases are in vaccinated people.,snopes,English,False,1,vaccinated people,['vaccinated people'],1.0,10,en,70,70_omicron_vaccines_vaccinations_vaccinated
13299,17670,43000,4173,http://data.gesis.org/claimskg/creative_work/a0f7074f-86c6-540f-9b81-e0534ab5a0d3,Data from around the world suggests that omicron favors the fully vaccinated.,politifact,English,False,1,fully vaccinated,['fully vaccinated'],1.0,12,en,70,70_omicron_vaccines_vaccinations_vaccinated
19224,24065,12989,1641,http://data.gesis.org/claimskg/creative_work/ad1a6688-d5d5-5f5b-a196-279b6c05c190,Study shows vaccines make people more likely to catch Omicron variant,factcheck_afp,English,FALSE,1,Omicron,['Omicron'],1.0,11,en,70,70_omicron_vaccines_vaccinations_vaccinated
19357,24204,10355,4117,http://data.gesis.org/claimskg/creative_work/40f6da71-5d82-5359-94a7-c72701c40209,A post shared on Facebook claims the omicron variant of the coronavirus is named after military codes.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,17,en,70,70_omicron_vaccines_vaccinations_vaccinated
25779,31040,54061,6191,http://data.gesis.org/claimskg/creative_work/8d2d8564-0ccd-57f2-b6f2-214168ca721b,It feels amazing that unvaccinated people are 4.5 times LESS LIKELY to catch omicron than people who are fully vaccinated and boosted.,politifact,English,MIXTURE,2,"fully vaccinated, unvaccinated people","['fully vaccinated', ' unvaccinated people']",2.0,22,en,70,70_omicron_vaccines_vaccinations_vaccinated
26854,32121,11222,108,http://data.gesis.org/claimskg/creative_work/b5f799b1-c48b-5f69-9f3a-6a526909209f,Omicron spreads much faster than other strains of Covid-19,eufactcheck,English,TRUE,3,"Omicron, strains","['Omicron', ' strains']",2.0,9,en,70,70_omicron_vaccines_vaccinations_vaccinated
32140,37455,74028,2742,http://data.gesis.org/claimskg/creative_work/5dd6f5c0-09ba-533c-a974-e203160743a6,"If you’ve recently been infected with the omicron variant of COVID-19, you are immune to the virus and don’t need to receive the booster shot at all.",snopes,English,MIXTURE,2,"booster shot, variant of COVID-19","['booster shot', ' variant of COVID-19']",2.0,27,en,70,70_omicron_vaccines_vaccinations_vaccinated
40911,46788,42976,4149,http://data.gesis.org/claimskg/creative_work/0d8c0d5f-0e8a-5464-b639-2f59d31b453b,The omicron variant’s name is evidence the coronavirus pandemic is a hoax.,politifact,English,False,1,"coronavirus pandemic, omicron variant","['coronavirus pandemic', ' omicron variant']",2.0,12,en,70,70_omicron_vaccines_vaccinations_vaccinated
46416,52585,44778,5951,http://data.gesis.org/claimskg/creative_work/f0b06736-c68d-5149-af11-d883b742aca6,Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated,politifact,English,False,1,"FULLY Vaccinated, Germany, Omicron","['FULLY Vaccinated', ' Germany', ' Omicron']",3.0,13,en,70,70_omicron_vaccines_vaccinations_vaccinated
