Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
24619,29876,7765,1527,http://data.gesis.org/claimskg/creative_work/aafa00be-b348-57e1-b4f1-7a65060b95be,An image shared on Facebook claims President Donald Trump tweeted that he will not send coronavirus stimulus checks to people who tweeted #NotMyPresident in the last four years.,checkyourfact,English,FALSE,1,"Facebook, President Donald Trump","['Facebook', ' President Donald Trump']",2.0,28,en,73,73_stimulus_taxes_taxable_irs
25205,30463,10637,4399,http://data.gesis.org/claimskg/creative_work/09506e0e-4d74-5231-ba47-005abcf3378a,A post shared on Facebook claims Americans must fill out the 2020 Census to receive coronavirus stimulus payments.,checkyourfact,English,FALSE,1,"Facebook, coronavirus stimulus","['Facebook', ' coronavirus stimulus']",2.0,18,en,73,73_stimulus_taxes_taxable_irs
26031,31294,7198,960,http://data.gesis.org/claimskg/creative_work/0147c32c-5d9b-5513-a891-9a5520931968,"A viral Instagram video claims Americans that receive coronavirus stimulus payments will owe the federal government $1,200 next tax season.",checkyourfact,English,FALSE,1,"Instagram, federal government","['Instagram', ' federal government']",2.0,20,en,73,73_stimulus_taxes_taxable_irs
31489,36798,76003,1656,http://data.gesis.org/claimskg/creative_work/9d555326-c20f-5291-89f7-26e04e0cbe79,"Federal agents confiscated 3,000 U.S. COVID-19 stimulus checks at the U.S.-Mexico border.",snopes,English,OTHER,-1,"Federal agents, U.S.-Mexico border","['Federal agents', ' U.S.-Mexico border']",2.0,12,en,73,73_stimulus_taxes_taxable_irs
34496,39832,64689,2660,http://data.gesis.org/claimskg/creative_work/da77cee1-e7b4-544a-84dc-3347cc89507a,"In November 2020, a text message was circulated to Americans that urged recipients to click a nefarious link in order to receive a second $1,200 COVID-19 relief stimulus check.",snopes,English,False,1,"COVID-19, text message","['COVID-19', ' text message']",2.0,29,en,73,73_stimulus_taxes_taxable_irs
42783,48721,31927,2780,http://data.gesis.org/claimskg/creative_work/afb1c2e3-38e3-534d-80eb-a12ca4c8d033,"Those $1200 coronavirus/COVID-19 stimulus payments aren't a grant from the government, they're an advance on your 2020 tax refund or a loan you'll have to repay the IRS.",truthorfiction,English,OTHER,-1,"COVID-19, IRS, tax refund","['COVID-19', ' IRS', ' tax refund']",3.0,28,en,73,73_stimulus_taxes_taxable_irs
43641,49655,66340,4311,http://data.gesis.org/claimskg/creative_work/d4da85f1-4271-5c76-9cd3-94026033f622,An 800 phone number can be used for tracking the status of coronavirus economic stimulus payments.,snopes,English,False,1,"coronavirus, economic stimulus, phone number","['coronavirus', ' economic stimulus', ' phone number']",3.0,16,en,73,73_stimulus_taxes_taxable_irs
44898,50952,60645,2485,http://data.gesis.org/claimskg/creative_work/88d57716-e8f9-5a9c-85a0-b1ce7fe46aeb,U.S. President Donald Trump's name will appear on COVID-19 stimulus checks.,snopes,English,True,3,"COVID-19, U.S. President Donald Trump, stimulus checks","['COVID-19', ' U.S. President Donald Trump', ' stimulus checks']",3.0,11,en,73,73_stimulus_taxes_taxable_irs
46302,52470,74345,3059,http://data.gesis.org/claimskg/creative_work/7a42e31d-b410-5e15-b2ec-afb195f570c3,"On the same day California announced it would provide some undocumented residents COVID-19 stimulus payments, it also announced it would lay off first responders because of a lack of funds.",snopes,English,MIXTURE,2,"COVID-19, California, undocumented residents","['COVID-19', ' California', ' undocumented residents']",3.0,30,en,73,73_stimulus_taxes_taxable_irs
46511,52681,73157,1871,http://data.gesis.org/claimskg/creative_work/a2004484-e4bc-5421-9745-b420622accdb,"U.S. millionaires will each receive an average of $1.7 million in stimulus payments via the March 2020 Coronavirus Aid, Relief, and Economic Security (CARES) Act.",snopes,English,MIXTURE,2,"2020 Coronavirus, Economic Security, U.S.","['2020 Coronavirus', ' Economic Security', ' U.S.']",3.0,25,en,73,73_stimulus_taxes_taxable_irs
