Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
4137,6613,27816,6271,http://data.gesis.org/claimskg/creative_work/239a3f49-fd5a-5567-96ce-931f60095492,"A study on the effects of Covid vaccines during pregnancy shows 82% of respondents miscarried, contrary to what its authors claimed.",fullfact,English,FALSE,1,,,0.0,21,en,75,75_miscarriage_miscarriages_miscarried_vaccine
10782,15127,27865,6320,http://data.gesis.org/claimskg/creative_work/e5b40ac8-dd46-5fe1-b9c3-45c666761146,Over 80% of vaccinated pregnant women in a US study experienced miscarriage.,fullfact,English,FALSE,1,pregnant women,['pregnant women'],1.0,12,en,75,75_miscarriage_miscarriages_miscarried_vaccine
22556,27692,24364,2819,http://data.gesis.org/claimskg/creative_work/4d12de20-8ab7-512f-99ff-87ab03da451a,Covid-19 vaccines have caused 172 miscarriages since January 2021.,fullfact,English,FALSE,1,miscarriages,['miscarriages'],1.0,9,en,75,75_miscarriage_miscarriages_miscarried_vaccine
23638,28892,11679,331,http://data.gesis.org/claimskg/creative_work/6f214c41-9e85-5ed8-aa88-002718ac2ce0,Miscarriage reports show Covid-19 vaccines pose a danger to pregnancies,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Miscarriage","['Covid-19 vaccines', ' Miscarriage']",2.0,10,en,75,75_miscarriage_miscarriages_miscarried_vaccine
39002,44462,27901,6356,http://data.gesis.org/claimskg/creative_work/8e4ab309-0582-5b43-8d9b-f055e44083a0,Pregnant women are 22 times more likely to die from Covid-19 than other women.,fullfact,English,OTHER,-1,"Covid-19, Pregnant women","['Covid-19', ' Pregnant women']",2.0,14,en,75,75_miscarriage_miscarriages_miscarried_vaccine
39559,45094,22819,1274,http://data.gesis.org/claimskg/creative_work/d1b40a29-f3a6-5eca-968b-1a4fa709457d,"Some reports suggest Covid-19 vaccines have caused a 2,000% increase in miscarriages.",fullfact,English,OTHER,-1,"Covid-19 vaccines, miscarriages","['Covid-19 vaccines', ' miscarriages']",2.0,12,en,75,75_miscarriage_miscarriages_miscarried_vaccine
46052,52219,44957,6130,http://data.gesis.org/claimskg/creative_work/d802e48a-d691-57ec-9973-c2313d58bf3c,The number of pregnant women who have miscarried increased by 366% in just six weeks as a result of their receiving a COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, miscarried, pregnant women","['COVID-19 vaccine', ' miscarried', ' pregnant women']",3.0,24,en,75,75_miscarriage_miscarriages_miscarried_vaccine
47605,53788,44638,5811,http://data.gesis.org/claimskg/creative_work/4b6c8313-f0ad-515c-9a2d-e76909ef6033,Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy after correcting major error in CDC study.,politifact,English,False,1,"CDC, COVID-19 vaccination, spontaneous abortion","['CDC', ' COVID-19 vaccination', ' spontaneous abortion']",3.0,19,en,75,75_miscarriage_miscarriages_miscarried_vaccine
53636,60026,8907,2669,http://data.gesis.org/claimskg/creative_work/2fc40007-bd65-5e93-a868-090016e89997,"An image shared on Instagram claims there have been 2,508 miscarriages in the U.S. as a result of COVID-19 vaccines.",checkyourfact,English,FALSE,1,"Instagram, U.S., miscarriages","['Instagram', ' U.S.', ' miscarriages']",3.0,20,en,75,75_miscarriage_miscarriages_miscarried_vaccine
54766,61175,16285,4937,http://data.gesis.org/claimskg/creative_work/86982e97-33b1-5ffb-a436-65024846d819,A CDC study found a link between Covid-19 shots and miscarriages,factcheck_afp,English,FALSE,1,"CDC, Covid-19, miscarriages","['CDC', ' Covid-19', ' miscarriages']",3.0,11,en,75,75_miscarriage_miscarriages_miscarried_vaccine
55091,61507,13635,2287,http://data.gesis.org/claimskg/creative_work/09442224-5272-51cf-ba43-2ac18b309109,TGA database shows link between Covid-19 vaccine and miscarriages,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, TGA, miscarriages","['Covid-19 vaccine', ' TGA', ' miscarriages']",3.0,9,en,75,75_miscarriage_miscarriages_miscarried_vaccine
56571,63054,39060,233,http://data.gesis.org/claimskg/creative_work/0a311c9b-363c-5a77-9f55-d6d9ab816b16,A study found an 82% miscarriage rate among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, mRNA, miscarriage, weeks pregnant","['COVID-19 vaccine', ' mRNA', ' miscarriage', ' weeks pregnant']",4.0,22,en,75,75_miscarriage_miscarriages_miscarried_vaccine
58013,64531,24281,2736,http://data.gesis.org/claimskg/creative_work/92899f03-b99e-5b01-97d8-3a703811ef99,Nearly half (44%) of pregnant women in the Pfizer Covid-19 vaccine trial miscarried.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer, miscarried, pregnant women","['Covid-19 vaccine', ' Pfizer', ' miscarried', ' pregnant women']",4.0,13,en,75,75_miscarriage_miscarriages_miscarried_vaccine
58319,64841,2169,2169,http://data.gesis.org/claimskg/creative_work/c44aa7d6-8b13-5e78-a063-a5c0e79f25e2,"No, 44% of pregnant women didn’t miscarry in Pfizer Covid vaccine trial – inaccurate calculation retracted",africacheck,English,FALSE,1,"Pfizer, miscarry, pregnant women, vaccine trial","['Pfizer', ' miscarry', ' pregnant women', ' vaccine trial']",4.0,16,en,75,75_miscarriage_miscarriages_miscarried_vaccine
59533,66111,9302,3064,http://data.gesis.org/claimskg/creative_work/2e03376b-b690-5f3b-844f-0449370ab4d8,A photo shared on Facebook purportedly shows a CBC News article reporting the Food and Drug Administration (FDA) was aware 44% of pregnant women suffering miscarriages during their COVID-19 vaccine trial.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Facebook, miscarriages, pregnant women","['COVID-19 vaccine', ' Facebook', ' miscarriages', ' pregnant women']",4.0,31,en,75,75_miscarriage_miscarriages_miscarried_vaccine
59658,66252,23481,1936,http://data.gesis.org/claimskg/creative_work/d7d19d85-eab0-5464-8f96-3e71b6acdb23,Over 90% of the women who are pregnant and have Covid-19 vaccines in early pregnancy experience a miscarriage in the first 12 weeks.,fullfact,English,FALSE,1,"12 weeks, Covid-19 vaccines, early pregnancy, miscarriage","['12 weeks', ' Covid-19 vaccines', ' early pregnancy', ' miscarriage']",4.0,23,en,75,75_miscarriage_miscarriages_miscarried_vaccine
