Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19853,24777,5825,5825,http://data.gesis.org/claimskg/creative_work/0830bc8b-eebc-590f-8ace-62facde9480b,"No, Nigerian govt not giving N30,000 Covid-19 relief to each citizen",africacheck,English,FALSE,1,Nigerian,['Nigerian'],1.0,11,en,77,77_nigeria_nigerian_lagos_nigerias
20931,25879,4720,4720,http://data.gesis.org/claimskg/creative_work/60f6b6e0-90e9-5deb-827b-cfba4ee8570c,"No, Trump didn’t say Nigeria must ‘present’ Covid-19 patients before US sends money",africacheck,English,FALSE,1,Nigeria,['Nigeria'],1.0,13,en,77,77_nigeria_nigerian_lagos_nigerias
29058,34346,2269,2269,http://data.gesis.org/claimskg/creative_work/a6247b9d-956f-563f-8706-a34ebd6bf2dd,"No, Nigeria didn't lose N700 billion Covid-19 relief funds in fire",africacheck,English,FALSE,1,"Nigeria, relief funds","['Nigeria', ' relief funds']",2.0,11,en,77,77_nigeria_nigerian_lagos_nigerias
29417,34707,1841,1841,http://data.gesis.org/claimskg/creative_work/227fbca8-67a7-5f69-b95b-8afc4b41c4ba,"No, Nigeria Centre for Disease Control not giving out N45,000 Covid-19 relief funds",africacheck,English,FALSE,1,"Covid-19 relief, Nigeria Centre for Disease Control","['Covid-19 relief', ' Nigeria Centre for Disease Control']",2.0,13,en,77,77_nigeria_nigerian_lagos_nigerias
33418,38741,6112,6112,http://data.gesis.org/claimskg/creative_work/a32415d6-2815-5d5c-9568-bb446d695052,Nigeria’s humanitarian minister said over N500 million spent feeding school children during Covid-19 lockdown,africacheck,English,FALSE,1,"Covid-19, Nigeria","['Covid-19', ' Nigeria']",2.0,14,en,77,77_nigeria_nigerian_lagos_nigerias
34073,39403,5919,5919,http://data.gesis.org/claimskg/creative_work/6d1fb0dc-58e0-5150-9df6-cbea5064e2fb,"No, Nigerian minister didn’t say 17.3 million children were fed as part of Covid-19 relief",africacheck,English,FALSE,1,"Covid, Nigerian","['Covid', ' Nigerian']",2.0,15,en,77,77_nigeria_nigerian_lagos_nigerias
36354,41724,15633,4285,http://data.gesis.org/claimskg/creative_work/a5fdd763-b217-57ee-8b16-d6c7609b94a4,This is a portal for Nigeria’s Covid-19 survival fund,factcheck_afp,English,FALSE,1,"Covid-19, Nigeria","['Covid-19', ' Nigeria']",2.0,9,en,77,77_nigeria_nigerian_lagos_nigerias
42436,48347,3827,3827,http://data.gesis.org/claimskg/creative_work/74c12742-bc3d-544a-b32b-e034ab48d9f9,"No, Nigeria’s disease control authority didn’t spend N1 billion on Covid-19 SMS campaign",africacheck,English,FALSE,1,"Covid-19, Nigeria, disease control","['Covid-19', ' Nigeria', ' disease control']",3.0,13,en,77,77_nigeria_nigerian_lagos_nigerias
43591,49600,3695,3695,http://data.gesis.org/claimskg/creative_work/6eba5502-e882-5c12-b045-0cd4646628b0,"Yes, Lagos state spent N800 million on Covid-19 tests",africacheck,English,TRUE,3,"Covid-19, Lagos state, N800","['Covid-19', ' Lagos state', ' N800']",3.0,9,en,77,77_nigeria_nigerian_lagos_nigerias
44889,50942,5375,5375,http://data.gesis.org/claimskg/creative_work/16b3fc84-65c8-57fc-ac35-0e1c03603e40,Another scam Facebook post using South Africa's Covid-19 social relief grant,africacheck,English,FALSE,1,"Covid-19, Facebook, South Africa","['Covid-19', ' Facebook', ' South Africa']",3.0,11,en,77,77_nigeria_nigerian_lagos_nigerias
45714,51868,4636,4636,http://data.gesis.org/claimskg/creative_work/4350ce60-3ec3-5709-8c95-28f2c7f5e881,"No, Nigerian politician Ajimobi didn’t recover from Covid-19",africacheck,English,FALSE,1,"Ajimobi, Covid-19, Nigerian politician","['Ajimobi', ' Covid-19', ' Nigerian politician']",3.0,8,en,77,77_nigeria_nigerian_lagos_nigerias
47753,53937,483,483,http://data.gesis.org/claimskg/creative_work/a73c8238-5ced-576b-8378-5377097300ab,"No, Nigeria’s govt didn’t pay for US$2m Covid-19 supplies, experts sent from China",africacheck,English,FALSE,1,"China, Covid-19, Nigeria","['China', ' Covid-19', ' Nigeria']",3.0,13,en,77,77_nigeria_nigerian_lagos_nigerias
48417,54658,2562,2562,http://data.gesis.org/claimskg/creative_work/3ea80df0-9b54-5309-a3b1-4f4fee1eeaf6,"Despite uncertainties over the evolution of the Covid-19 pandemic, Nigeria earned $2.6 billion of the global volume of foreign direct investment in 2020.",africacheck,English,FALSE,1,"Covid-19 pandemic, Nigeria, foreign direct investment","['Covid-19 pandemic', ' Nigeria', ' foreign direct investment']",3.0,23,en,77,77_nigeria_nigerian_lagos_nigerias
48786,55066,2812,2812,http://data.gesis.org/claimskg/creative_work/08347e9c-2140-5df9-8608-3bfc3d3c5f56,"Before the novel coronavirus pandemic hit the globe, Nigeria spent 42% of its earnings on debt servicing.",africacheck,English,FALSE,1,"42%, Nigeria, coronavirus pandemic","['42%', ' Nigeria', ' coronavirus pandemic']",3.0,17,en,77,77_nigeria_nigerian_lagos_nigerias
60035,66669,10994,4756,http://data.gesis.org/claimskg/creative_work/794aee2b-3212-50e6-9bfd-e6df3cb3c501,An image shared on Facebook claims the Nigerian government lost 700 billion naira from a COVID-19 relief fund to a fire.,checkyourfact,English,FALSE,1,"COVID-19, Facebook, naira, relief fund","['COVID-19', ' Facebook', ' naira', ' relief fund']",4.0,21,en,77,77_nigeria_nigerian_lagos_nigerias
66045,73068,36057,3807,http://data.gesis.org/claimskg/creative_work/41b632c2-3e67-5cfb-aa6f-e7b9ca38e07e,"Due to COVID-19 Outbreak, Central Govt. Has Started Online Processing of GST Refund. Click on the given website",Vishvanews,English,FALSE,1,"COVID-19, Central, GST, Govt, Online, Outbreak, Processing, Refund, Started","['COVID-19', ' Central', ' GST', ' Govt', ' Online', ' Outbreak', ' Processing', ' Refund', ' Started']",9.0,18,en,77,77_nigeria_nigerian_lagos_nigerias
