Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
138,1138,33549,1299,http://data.gesis.org/claimskg/creative_work/bf711254-fc54-5265-a87f-c2824e5ae299,"This is an important announcement that schools are not going to open from September. It is postponed to November as Covid cases in the state are not yet controlled, further details will be announced",Vishvanews,English,FALSE,1,,,0.0,34,en,79,79_schools_2020_students_education
2872,5216,27095,5550,http://data.gesis.org/claimskg/creative_work/e9edc76a-6630-5d91-b68d-f196f3e8bf40,50 schools in France have closed since mass reopenings last week due to new coronavirus outbreaks.,fullfact,English,MIXTURE,2,,,0.0,16,en,79,79_schools_2020_students_education
3873,6237,23418,1873,http://data.gesis.org/claimskg/creative_work/bc2d0888-76cf-5baa-9052-6bee53837736,"100,000 children have not returned to school since the start of the pandemic.",fullfact,English,OTHER,-1,,,0.0,13,en,79,79_schools_2020_students_education
4419,8565,6668,430,http://data.gesis.org/claimskg/creative_work/2ff1542f-c68c-54e5-b8c1-36e5fb23fb6a,An image shared on Facebook claims Secretary of Education Betsy DeVos said that only 0.02 percent of children returning to school would likely die from COVID-19.,checkyourfact,English,FALSE,1,,,0.0,26,en,79,79_schools_2020_students_education
15309,19708,56987,9117,http://data.gesis.org/claimskg/creative_work/b89243ad-f679-54b7-b4a3-5316c5775d83,Schools that are consistently implementing COVID-19 mitigation strategies remain among the safest places for our students.,politifact,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,16,en,79,79_schools_2020_students_education
19554,24432,13577,2229,http://data.gesis.org/claimskg/creative_work/f0a6f4d0-ae0b-572c-b5ff-6192e6aecb64,Girls return to school in Uganda after pandemic shutdown,factcheck_afp,English,FALSE,1,Uganda,['Uganda'],1.0,9,en,79,79_schools_2020_students_education
23947,29203,10763,4525,http://data.gesis.org/claimskg/creative_work/6cd0061b-2b84-57dd-895b-bb0cd4ec47df,An image shared on Facebook claims Pennsylvania Gov. Tom Wolf has mandated all schools and workplaces with 20 or more employees close for two weeks to curb the spread of the novel coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Pennsylvania","['Facebook', ' Pennsylvania']",2.0,33,en,79,79_schools_2020_students_education
30910,36213,74631,284,http://data.gesis.org/claimskg/creative_work/76ad7c25-3af8-5b62-a2aa-7fb77843901e,A school district in Utah included a template letter to send home if a student or staff member died after reopening amid the COVID-19 pandemic.,snopes,English,OTHER,-1,"COVID-19 pandemic, Utah","['COVID-19 pandemic', ' Utah']",2.0,25,en,79,79_schools_2020_students_education
46799,52977,73299,2013,http://data.gesis.org/claimskg/creative_work/d7a97e90-ed4b-5482-bfa1-4fcb43f5a570,The CDC issued a stringent set of rules that U.S. schools must follow before reopening amid the COVID-19 coronavirus pandemic.,snopes,English,MIXTURE,2,"CDC, COVID-19 coronavirus pandemic, U.S.","['CDC', ' COVID-19 coronavirus pandemic', ' U.S.']",3.0,20,en,79,79_schools_2020_students_education
53685,60076,7861,1623,http://data.gesis.org/claimskg/creative_work/fd67a6fd-4012-52fa-86cc-eb093cd576cb,An image shared on Facebook claims Illinois Gov. J.B. Pritzker has ordered all schools in the state to close for the remainder of the year in an effort to curb the spread of the new coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Gov., Illinois","['Facebook', ' Gov.', ' Illinois']",3.0,36,en,79,79_schools_2020_students_education
