Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2688,4781,22755,1210,http://data.gesis.org/claimskg/creative_work/9ccb6d08-8728-51f4-8fa2-6af6e407af4e,Bill Gates is the largest investor in vaccines.,fullfact,English,MIXTURE,2,,,0.0,8,en,7,7_vaccine_vaccines_vaccinated_vaccinations
3821,6182,25572,4027,http://data.gesis.org/claimskg/creative_work/74350c75-3584-5bda-b574-14ac031f020e,The BBC published a travel piece saying that there will be microchips in the upcoming vaccines funded by the Bill & Melinda Gates Foundation so they can track who has been vaccinated for coronavirus.,fullfact,English,FALSE,1,,,0.0,34,en,7,7_vaccine_vaccines_vaccinated_vaccinations
5281,9463,68157,6128,http://data.gesis.org/claimskg/creative_work/991cb63f-33e7-50fb-84ea-9f6fa63f9a8b,"A leaked Pentagon video reveals a government plot to vaccinate people against thoughts, ideas, and religion.",snopes,English,False,1,,,0.0,16,en,7,7_vaccine_vaccines_vaccinated_vaccinations
5680,9882,2320,2320,http://data.gesis.org/claimskg/creative_work/a0a9e8fd-c195-583e-90f6-538c036bb913,Hoax claim that ‘Bill Gates refused to vaccinate his own children’,africacheck,English,OTHER,-1,,,0.0,11,en,7,7_vaccine_vaccines_vaccinated_vaccinations
8409,12731,64650,2621,http://data.gesis.org/claimskg/creative_work/66b7b8af-e222-541b-b403-08c8d1f18971,"Donald Trump owns stock in the vaccine developer Moderna, Inc.",snopes,English,False,1,Donald Trump,['Donald Trump'],1.0,10,en,7,7_vaccine_vaccines_vaccinated_vaccinations
10595,14939,68922,6893,http://data.gesis.org/claimskg/creative_work/3b86158e-8052-5239-9730-69440c1dd0d9,Bill Gates has openly admitted that vaccinations are designed so that governments can depopulate the world.,snopes,English,False,1,Bill Gates,['Bill Gates'],1.0,16,en,7,7_vaccine_vaccines_vaccinated_vaccinations
12289,16649,45776,6949,http://data.gesis.org/claimskg/creative_work/7f8c01bc-75bc-5834-ba2a-ad2a8085ecc4,Bill Gates says you don't have a choice to be vaccinated or not.,politifact,English,False,1,Bill Gates,['Bill Gates'],1.0,13,en,7,7_vaccine_vaccines_vaccinated_vaccinations
17108,21613,39679,852,http://data.gesis.org/claimskg/creative_work/7ddb05b2-d010-5a78-9e54-005c8e0d6629,Bill Gates’ daughters aren’t vaccinated.,politifact,English,False,1,Bill Gates,['Bill Gates'],1.0,5,en,7,7_vaccine_vaccines_vaccinated_vaccinations
17596,22107,40720,1893,http://data.gesis.org/claimskg/creative_work/a4e2f84a-eb13-5e1e-b957-5234280743af,"Church services can’t resume until we’re all vaccinated, says Bill Gates.",politifact,English,False,1,Bill Gates,['Bill Gates'],1.0,11,en,7,7_vaccine_vaccines_vaccinated_vaccinations
19288,24131,2024,2024,http://data.gesis.org/claimskg/creative_work/2392073a-6f8e-596d-9c48-762382f32b5d,"No, 50 children not paralysed by ‘Gates-backed’ meningitis vaccine",africacheck,English,FALSE,1,meningitis vaccine,['meningitis vaccine'],1.0,9,en,7,7_vaccine_vaccines_vaccinated_vaccinations
19632,24524,13361,2013,http://data.gesis.org/claimskg/creative_work/254126cf-e9a5-5309-b87a-fa4e70862b50,Bill Gates tweeted support for vaccines in food,factcheck_afp,English,FALSE,1,Bill Gates,['Bill Gates'],1.0,8,en,7,7_vaccine_vaccines_vaccinated_vaccinations
19779,24700,16177,4829,http://data.gesis.org/claimskg/creative_work/9f886b15-51d1-5850-a3a8-4cd449d5ddf1,Old newspaper shows Bill Gates suggest using vaccines to depopulate,factcheck_afp,English,FALSE,1,Bill Gates,['Bill Gates'],1.0,10,en,7,7_vaccine_vaccines_vaccinated_vaccinations
21683,26679,12477,1129,http://data.gesis.org/claimskg/creative_work/c67b0424-1530-54bc-9e77-011022448e3a,Bill Gates refuses to vaccinate his children,factcheck_afp,English,FALSE,1,Bill Gates,['Bill Gates'],1.0,7,en,7,7_vaccine_vaccines_vaccinated_vaccinations
22667,27805,24173,2628,http://data.gesis.org/claimskg/creative_work/253ce4e4-1e50-5bb3-baae-c1fca90704a5,A video of Bill Gates casts doubt on whether the Covid-19 vaccines work.,fullfact,English,FALSE,1,Bill Gates,['Bill Gates'],1.0,13,en,7,7_vaccine_vaccines_vaccinated_vaccinations
22691,27831,24305,2760,http://data.gesis.org/claimskg/creative_work/a636fadf-356d-5857-9cc2-cae2c0df0e17,Bill Gates has called for the withdrawal of all Covid-19 vaccines.,fullfact,English,OTHER,-1,Bill Gates,['Bill Gates'],1.0,11,en,7,7_vaccine_vaccines_vaccinated_vaccinations
23765,29019,10799,4561,http://data.gesis.org/claimskg/creative_work/2a0b3315-57f6-598a-b7ab-dd0c71596c5d,"An image shared on Facebook claims Microsoft co-founder Bill Gates said, Only the people who have all the vaccines will still be able to move freely.",checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,26,en,7,7_vaccine_vaccines_vaccinated_vaccinations
25342,30601,44149,5322,http://data.gesis.org/claimskg/creative_work/a60226cd-c1f6-591f-baed-9cf7199f89f8,Gates Foundation stands to make nearly £31.5 billion on a coronavirus vaccine in U.K.,politifact,English,False,1,"Gates Foundation, coronavirus vaccine","['Gates Foundation', ' coronavirus vaccine']",2.0,14,en,7,7_vaccine_vaccines_vaccinated_vaccinations
25763,31024,10334,4096,http://data.gesis.org/claimskg/creative_work/2dc7f563-5c25-59e2-bde5-25b833a62b89,A Facebook post claims actor Morgan Freeman called for people to stop taking COVID-19 tests and live your life.,checkyourfact,English,FALSE,1,"COVID-19, Facebook","['COVID-19', ' Facebook']",2.0,19,en,7,7_vaccine_vaccines_vaccinated_vaccinations
25795,31056,7329,1091,http://data.gesis.org/claimskg/creative_work/40a1356c-5327-5ee9-ad3d-ee8aee371e0d,A video shared on Facebook purportedly shows Microsoft co-founder Bill Gates confessing to making $200 billion from vaccinations during an appearance on CNBC TV.,checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,24,en,7,7_vaccine_vaccines_vaccinated_vaccinations
26331,31597,8838,2600,http://data.gesis.org/claimskg/creative_work/76f3e3f4-0a13-5bdb-93fd-95206b9a4d94,A post shared on Facebook more than 700 times claims Microsoft co-founder Bill Gates wrote a long statement about the spiritual purpose of the new coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,26,en,7,7_vaccine_vaccines_vaccinated_vaccinations
26618,31884,8606,2368,http://data.gesis.org/claimskg/creative_work/9cbfc4ae-3aed-5596-8e8d-5c69e576266a,A video shared on Facebook purportedly shows Microsoft co-founder Bill Gates presenting a proposal to vaccinate religious fanatics at the Pentagon in 2005.,checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,23,en,7,7_vaccine_vaccines_vaccinated_vaccinations
27095,32365,46426,7599,http://data.gesis.org/claimskg/creative_work/39934d87-af51-5c41-a208-65036b099a52,"Six months before the COVID ‘plandemic,’ Bill Gates had negotiated a $100 billion contact tracing deal with (the) Democratic congressman sponsor of bill.",politifact,English,False,1,"Democratic, contact tracing","['Democratic', ' contact tracing']",2.0,23,en,7,7_vaccine_vaccines_vaccinated_vaccinations
27614,32886,9915,3677,http://data.gesis.org/claimskg/creative_work/7c92e98d-bb77-575e-8957-970d652a6a1e,A post shared on Facebook claims the Australian $10 banknote contains images of Microsoft co-founder Bill Gates and the coronavirus.,checkyourfact,English,FALSE,1,"Facebook, Microsoft","['Facebook', ' Microsoft']",2.0,20,en,7,7_vaccine_vaccines_vaccinated_vaccinations
27637,32910,45400,6573,http://data.gesis.org/claimskg/creative_work/e63c2b07-6d06-5500-a292-0ffc1e7c1782,Bill Gates calls for the withdrawal of all Covid-19 Vaccines; ‘The vaccines are far more dangerous than anyone imagined.’,politifact,English,False,1,"Bill Gates, Covid-19 Vaccines","['Bill Gates', ' Covid-19 Vaccines']",2.0,19,en,7,7_vaccine_vaccines_vaccinated_vaccinations
