Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
743,2756,43820,4993,http://data.gesis.org/claimskg/creative_work/ba7855c3-311e-58eb-9461-b49d570d3fb0,They've now killed close to twice as many kids from the vaccine as have died from COVID.,politifact,English,False,1,,,0.0,17,en,80,80_vaccinations_vaccination_vaccine_coronavirus
12115,16472,44506,5679,http://data.gesis.org/claimskg/creative_work/3699ff63-d7fa-51e1-9930-f722a6827a96,943 innocent kids ... are now injured or dead because of the COVID-19 vaccine.,politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,14,en,80,80_vaccinations_vaccination_vaccine_coronavirus
13418,17793,43102,4275,http://data.gesis.org/claimskg/creative_work/0a88450d-42ca-598f-b8fb-c958419c342b,Four kids who took the coronavirus vaccine died immediately.,politifact,English,False,1,coronavirus vaccine,['coronavirus vaccine'],1.0,9,en,80,80_vaccinations_vaccination_vaccine_coronavirus
19719,24628,13433,2085,http://data.gesis.org/claimskg/creative_work/93296c5e-ff7c-55f5-84e8-069a8628d59e,Two children die during New South Wales vaccination for high school students,factcheck_afp,English,FALSE,1,New South Wales,['New South Wales'],1.0,12,en,80,80_vaccinations_vaccination_vaccine_coronavirus
20066,24995,14831,3483,http://data.gesis.org/claimskg/creative_work/9a4a17a4-3ec0-540a-b515-f0d6e8a23f48,Seven children in Senegal died after being given a vaccine for coronavirus,factcheck_afp,English,FALSE,1,Senegal,['Senegal'],1.0,12,en,80,80_vaccinations_vaccination_vaccine_coronavirus
22477,27612,23900,2355,http://data.gesis.org/claimskg/creative_work/6fa8ae28-2612-535a-9426-7c8b5c95ba81,"More children have died since Covid-19 vaccines were given to 12 to 15-year-olds, compared with the five year average of mortality stats from 2015 to 2019.",fullfact,English,FALSE,1,from 2015 to 2019,['from 2015 to 2019'],1.0,26,en,80,80_vaccinations_vaccination_vaccine_coronavirus
24601,29858,7768,1530,http://data.gesis.org/claimskg/creative_work/84f11249-70dd-5cc1-958f-545cb27d8bc5,A viral Facebook post claims that vaccinations against the new coronavirus started in Senegal in early April and that seven children who received them died.,checkyourfact,English,FALSE,1,"Facebook, Senegal","['Facebook', ' Senegal']",2.0,25,en,80,80_vaccinations_vaccination_vaccine_coronavirus
29687,34978,2076,2076,http://data.gesis.org/claimskg/creative_work/7815d80b-de80-5991-acba-dcc75714c003,"No, seven children in Senegal weren’t killed by fake coronavirus vaccine",africacheck,English,FALSE,1,"Senegal, coronavirus vaccine","['Senegal', ' coronavirus vaccine']",2.0,11,en,80,80_vaccinations_vaccination_vaccine_coronavirus
35756,41105,64273,2244,http://data.gesis.org/claimskg/creative_work/de55c75c-b64c-52c5-90ae-cf04747e0493,Seven children in Senegal died after being administered a COVID-19 coronavirus disease vaccine in April 2020.,snopes,English,False,1,"COVID-19, Senegal","['COVID-19', ' Senegal']",2.0,16,en,80,80_vaccinations_vaccination_vaccine_coronavirus
36257,41614,15875,4527,http://data.gesis.org/claimskg/creative_work/a8b316e0-b278-5e71-8248-91050a15d19c,Dr Kerry Chant tweets 'only 3 deaths' from child Covid-19 vaccine rollout,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Kerry Chant","['Covid-19 vaccine', ' Kerry Chant']",2.0,12,en,80,80_vaccinations_vaccination_vaccine_coronavirus
36612,41987,15216,3868,http://data.gesis.org/claimskg/creative_work/c24707fd-4936-5e3e-bbe3-9f6761882d2d,Two children die from COVID-19 vaccine in Guinea,factcheck_afp,English,FALSE,1,"COVID-19 vaccine, Guinea","['COVID-19 vaccine', ' Guinea']",2.0,8,en,80,80_vaccinations_vaccination_vaccine_coronavirus
38784,44228,14401,3053,http://data.gesis.org/claimskg/creative_work/c2af616c-6412-5568-bb59-55fe8a33ee09,Children 107 times more likely to die from Covid-19 vaccines than Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Covid-19 vaccines","['Covid-19', ' Covid-19 vaccines']",2.0,12,en,80,80_vaccinations_vaccination_vaccine_coronavirus
47217,53397,44118,5291,http://data.gesis.org/claimskg/creative_work/3ff9b1f8-da80-5ebf-b97b-1e56d7c77461,Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.,politifact,English,False,1,"4/8, Senegal, vaccination for COVID-19","['4/8', ' Senegal', ' vaccination for COVID-19']",3.0,22,en,80,80_vaccinations_vaccination_vaccine_coronavirus
59224,65784,65604,3575,http://data.gesis.org/claimskg/creative_work/92a38918-803b-5d53-88fc-a1ce3d01c70a,New South Wales Chief Health Officer Dr. Kerry Chant celebrated the COVID-19 vaccine rollout in New South Wales saying that it only resulted in the death of three children.,snopes,English,False,1,"COVID-19 vaccine, Kerry Chant, New South Wales, resulted in the death","['COVID-19 vaccine', ' Kerry Chant', ' New South Wales', ' resulted in the death']",4.0,29,en,80,80_vaccinations_vaccination_vaccine_coronavirus
62516,69247,6415,177,http://data.gesis.org/claimskg/creative_work/2ba45987-7f98-5603-8bd2-56e30cdd1f27,An image shared on Facebook purportedly shows a tweet from New South Wales (NSW) Chief Health Officer Kerry Chant celebrating that only three deaths were associated with the COVID-19 vaccine rollout for children.,checkyourfact,English,FALSE,1,"COVID-19 vaccine, Facebook, Kerry Chant, NSW, New South Wales","['COVID-19 vaccine', ' Facebook', ' Kerry Chant', ' NSW', ' New South Wales']",5.0,33,en,80,80_vaccinations_vaccination_vaccine_coronavirus
