Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
22449,27583,336,336,http://data.gesis.org/claimskg/creative_work/fb81bbac-e8a9-51c3-a84b-6ca34ec7a112,"No, Covid vaccines don’t make your body attack its own cells",africacheck,English,FALSE,1,Covid vaccines,['Covid vaccines'],1.0,11,en,81,81_vaccines_vaccine_vaccinations_vaccinated
23199,28353,23520,1975,http://data.gesis.org/claimskg/creative_work/14dc5a39-389f-57a3-b50e-ed827218f05c,Children are more likely to produce more harmful spike proteins after they’ve been vaccinated.,fullfact,English,OTHER,-1,spike proteins,['spike proteins'],1.0,14,en,81,81_vaccines_vaccine_vaccinations_vaccinated
34255,39587,3892,3892,http://data.gesis.org/claimskg/creative_work/283ae263-5547-5a9f-98d3-a7feb6cd9b2c,"No, Covid vaccines don’t cause body to produce toxic spike proteins that cause cancer",africacheck,English,FALSE,1,"Covid vaccines, spike proteins","['Covid vaccines', ' spike proteins']",2.0,14,en,81,81_vaccines_vaccine_vaccinations_vaccinated
36333,41700,15673,4325,http://data.gesis.org/claimskg/creative_work/487a6ffb-84be-5b36-bbc2-aeacf1521c17,Covid-19 vaccines are not safe because they contain spike proteins which could be harmful,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, spike proteins","['Covid-19 vaccines', ' spike proteins']",2.0,14,en,81,81_vaccines_vaccine_vaccinations_vaccinated
37153,42555,15984,4636,http://data.gesis.org/claimskg/creative_work/85f22f37-cf33-55b9-b426-48d900e2d855,Covid-19 vaccine recipients shed harmful viral spike proteins that are harmful for other people,factcheck_afp,English,MIXTURE,2,"Covid-19 vaccine, viral spike","['Covid-19 vaccine', ' viral spike']",2.0,14,en,81,81_vaccines_vaccine_vaccinations_vaccinated
39098,44594,21575,30,http://data.gesis.org/claimskg/creative_work/e79ace48-e613-5661-b02a-e800f60aca7c,"The spike proteins generated by the body in response to the Covid-19 vaccines make people a ticking time bomb for cancer, blood clots and other ailments.",fullfact,English,FALSE,1,"blood clots, ticking time bomb","['blood clots', ' ticking time bomb']",2.0,26,en,81,81_vaccines_vaccine_vaccinations_vaccinated
42329,48231,41704,2877,http://data.gesis.org/claimskg/creative_work/4c16df41-efb7-575b-b9fb-29fe8947b948,Says the Novavax COVID-19 vaccine dumps millions of dangerous spike proteins right into your body.,politifact,English,False,1,"Novavax COVID-19 vaccine, spike proteins","['Novavax COVID-19 vaccine', ' spike proteins']",2.0,15,en,81,81_vaccines_vaccine_vaccinations_vaccinated
46957,53136,25182,3637,http://data.gesis.org/claimskg/creative_work/25c08713-bfab-525c-bde9-df55a7d68d2a,The spike protein in some Covid-19 vaccines is toxic to humans.,fullfact,English,FALSE,1,"Covid-19 vaccines, spike protein, toxic to humans","['Covid-19 vaccines', ' spike protein', ' toxic to humans']",3.0,11,en,81,81_vaccines_vaccine_vaccinations_vaccinated
49348,55696,43182,4355,http://data.gesis.org/claimskg/creative_work/1df40bbb-d943-569d-82a2-145f75892f59,"The COVID-19 vaccines’ spike protein is very dangerous, it's cytotoxic.",politifact,English,False,1,"COVID-19 vaccines, cytotoxic, spike protein","['COVID-19 vaccines', ' cytotoxic', ' spike protein']",3.0,10,en,81,81_vaccines_vaccine_vaccinations_vaccinated
52822,59209,14198,2850,http://data.gesis.org/claimskg/creative_work/21fce0f3-0373-52ed-bbb4-e263eac66c48,People vaccinated against Covid-19 pose a health risk to others by shedding spike proteins,factcheck_afp,English,FALSE,1,"Covid-19, health risk, spike proteins","['Covid-19', ' health risk', ' spike proteins']",3.0,14,en,81,81_vaccines_vaccine_vaccinations_vaccinated
