Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1397,3419,14692,3344,http://data.gesis.org/claimskg/creative_work/19793e0e-26b7-5e79-b5ab-38fb3330d274,Vaccines contain toxic ingredients,factcheck_afp,English,FALSE,1,,,0.0,4,en,82,82_vaccines_vaccine_immune_formaldehyde
3067,5420,25214,3669,http://data.gesis.org/claimskg/creative_work/98814e99-631e-54c7-b4f9-4a914b323a19,Tri(n) butylphosphate is in vaccines and is potentially damaging to the kidneys and the nervous system.,fullfact,English,OTHER,-1,,,0.0,16,en,82,82_vaccines_vaccine_immune_formaldehyde
3447,5803,23166,1621,http://data.gesis.org/claimskg/creative_work/ce21c2f1-3f17-5bb0-a94b-f1d79df2bee5,Glyphosate is in vaccines.,fullfact,English,OTHER,-1,,,0.0,4,en,82,82_vaccines_vaccine_immune_formaldehyde
3668,6027,23499,1954,http://data.gesis.org/claimskg/creative_work/1148c972-bb1d-5890-bf3a-40be0a7479b8,Vaccines contain ingredients known to cause cancer.,fullfact,English,OTHER,-1,,,0.0,7,en,82,82_vaccines_vaccine_immune_formaldehyde
21533,26526,17144,5796,http://data.gesis.org/claimskg/creative_work/db0edee7-ed41-5c0d-9b5e-554188005246,Potassium chloride in vaccines is dangerous,factcheck_afp,English,FALSE,1,Potassium chloride,['Potassium chloride'],1.0,6,en,82,82_vaccines_vaccine_immune_formaldehyde
22451,27585,23756,2211,http://data.gesis.org/claimskg/creative_work/409feaea-508e-5a48-a0bb-742a581b3670,Formaldehyde is in vaccines and causes cancer in humans among other issues and is banned from vaccines in most European countries.,fullfact,English,OTHER,-1,Formaldehyde,['Formaldehyde'],1.0,21,en,82,82_vaccines_vaccine_immune_formaldehyde
23196,28350,23516,1971,http://data.gesis.org/claimskg/creative_work/21a71084-a6f2-5dd8-b9a4-8fb7dc0e808c,Latex rubber is in vaccines and causes life-threatening allergic reactions.,fullfact,English,FALSE,1,allergic reactions,['allergic reactions'],1.0,10,en,82,82_vaccines_vaccine_immune_formaldehyde
36396,41767,14997,3649,http://data.gesis.org/claimskg/creative_work/1a905dd5-e8e2-58d2-bd3f-c493e305a4a5,Formaldehyde in vaccines is connected to childhood leukaemia,factcheck_afp,English,FALSE,1,"Formaldehyde, childhood leukaemia","['Formaldehyde', ' childhood leukaemia']",2.0,8,en,82,82_vaccines_vaccine_immune_formaldehyde
39520,45055,26319,4774,http://data.gesis.org/claimskg/creative_work/a9503c57-6dc0-5266-aae1-60f4e76cd37f,Glutaraldehyde is in vaccines and is poisonous if ingested and causes birth defects in animals.,fullfact,English,FALSE,1,"Glutaraldehyde, birth defects","['Glutaraldehyde', ' birth defects']",2.0,15,en,82,82_vaccines_vaccine_immune_formaldehyde
47296,53476,24481,2936,http://data.gesis.org/claimskg/creative_work/9e8b41e7-42cd-58af-9e10-5f37a2f80cd8,The flu vaccine is contaminated with formaldehyde and polysorbate 80.,fullfact,English,OTHER,-1,"flu vaccine, formaldehyde, polysorbate 80","['flu vaccine', ' formaldehyde', ' polysorbate 80']",3.0,10,en,82,82_vaccines_vaccine_immune_formaldehyde
47436,53617,24816,3271,http://data.gesis.org/claimskg/creative_work/2404df58-35d4-5908-8819-ec516d390010,"Beta-Propiolactone is in vaccines and is known to cause cancer, suspected gastrointestinal, liver, nerve and respiratory, skin and sense organ poison.",fullfact,English,FALSE,1,"Beta-Propiolactone, gastrointestinal, sense organ","['Beta-Propiolactone', ' gastrointestinal', ' sense organ']",3.0,21,en,82,82_vaccines_vaccine_immune_formaldehyde
47664,53848,26017,4472,http://data.gesis.org/claimskg/creative_work/8c9a01bb-03c3-5f8d-8f61-f30b4609e3e8,Phenol / phenoxyethanol is in vaccines and is used as antifreeze. It is toxic to all cells and can destroy the immune system.,fullfact,English,FALSE,1,"Phenol, antifreeze, phenoxyethanol","['Phenol', ' antifreeze', ' phenoxyethanol']",3.0,23,en,82,82_vaccines_vaccine_immune_formaldehyde
63902,70791,16500,5152,http://data.gesis.org/claimskg/creative_work/1c304a3c-30af-5bb8-8ac1-f023be1d9576,"Flu vaccines contain mercury, antifreeze, phenol, animal blood, animal viruses, formaldehyde",factcheck_afp,English,FALSE,1,"Flu vaccines, animal viruses, antifreeze, formaldehyde, phenol","['Flu vaccines', ' animal viruses', ' antifreeze', ' formaldehyde', ' phenol']",5.0,11,en,82,82_vaccines_vaccine_immune_formaldehyde
64463,71369,24089,2544,http://data.gesis.org/claimskg/creative_work/013abab2-e487-555d-9d24-33c7add02995,"Neomycin sulphate, an antibiotic, is in vaccines and can lead to epilepsy, brain damage and allergic reactions.",fullfact,English,OTHER,-1,"Neomycin, allergic reactions, antibiotic, brain damage, epilepsy, sulphate","['Neomycin', ' allergic reactions', ' antibiotic', ' brain damage', ' epilepsy', ' sulphate']",6.0,17,en,82,82_vaccines_vaccine_immune_formaldehyde
65285,72256,22981,1436,http://data.gesis.org/claimskg/creative_work/39f1f71e-3c9a-5f76-9c20-3802edaeca57,The antibiotics gentamicin sulfate and polymyxin b are in vaccines and can cause allergic reactions ranging from mild to life-threatening.,fullfact,English,FALSE,1,"allergic reactions, antibiotics, gentamicin, life-threatening, polymyxin, sulfate","['allergic reactions', ' antibiotics', ' gentamicin', ' life-threatening', ' polymyxin', ' sulfate']",6.0,20,en,82,82_vaccines_vaccine_immune_formaldehyde
