Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
642,2651,43024,4197,http://data.gesis.org/claimskg/creative_work/1d1e815f-6f9e-554f-9762-5de942c7ab39,One of the first nurses to receive the vaccine in AL is now dead.,politifact,English,False,1,,,0.0,14,en,83,83_vaccine_vaccination_nurse_covid
821,2835,49834,1964,http://data.gesis.org/claimskg/creative_work/94b01ef6-d3c9-5f03-ba00-1beb67a0dc53,Nurse passes out on live TV after taking vaccine.,politifact,English,MIXTURE,2,,,0.0,9,en,83,83_vaccine_vaccination_nurse_covid
8959,13293,31089,1942,http://data.gesis.org/claimskg/creative_work/874ad942-d538-5e3e-a53e-df174a04c132,A teenager named Camilla Canepa died after receiving a COVID vaccine in June 2021.,truthorfiction,English,MIXTURE,2,COVID vaccine,['COVID vaccine'],1.0,14,en,83,83_vaccine_vaccination_nurse_covid
12025,16381,44157,5330,http://data.gesis.org/claimskg/creative_work/fe765dd7-f155-5ae6-8608-aaec444b228a,A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.,politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,13,en,83,83_vaccine_vaccination_nurse_covid
29490,34780,71719,433,http://data.gesis.org/claimskg/creative_work/bcda0b2d-141e-5930-a05c-8e790f11e4dc,A Portuguese nurse named Sonia Azevedo died from adverse side effects from the Pfizer-BioNTech COVID-19 vaccine.,snopes,English,MIXTURE,2,"Pfizer-BioNTech COVID-19 vaccine, adverse side effects","['Pfizer-BioNTech COVID-19 vaccine', ' adverse side effects']",2.0,16,en,83,83_vaccine_vaccination_nurse_covid
32383,37699,73518,2232,http://data.gesis.org/claimskg/creative_work/2b70731c-bcd9-5c2f-a515-f85509b45d46,Tennessee nurse Tiffany Dover passed out because of the Pfizer COVID-19 vaccine.,snopes,English,MIXTURE,2,"Pfizer COVID-19 vaccine, Tennessee nurse","['Pfizer COVID-19 vaccine', ' Tennessee nurse']",2.0,12,en,83,83_vaccine_vaccination_nurse_covid
35748,41097,64292,2263,http://data.gesis.org/claimskg/creative_work/b38eb239-9a42-5d90-a870-fc2532e6c1e0,A nurse in Alabama died after receiving a vaccination for the COVID-19 coronavirus disease in December 2020.,snopes,English,False,1,"Alabama, COVID-19","['Alabama', ' COVID-19']",2.0,17,en,83,83_vaccine_vaccination_nurse_covid
39327,44861,24643,3098,http://data.gesis.org/claimskg/creative_work/995ac338-d4f1-5439-be38-0f11c0619258,The wife of the CEO of Pfizer has died of complications from the Pfizer Covid-19 vaccine.,fullfact,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,16,en,83,83_vaccine_vaccination_nurse_covid
43978,50022,61396,3236,http://data.gesis.org/claimskg/creative_work/27695d99-fb31-522d-af4b-bc296cdb67da,A Seattle woman died from a blood clotting condition after receiving the Johnson & Johnson COVID-19 vaccine.,snopes,English,True,3,"Johnson & Johnson COVID-19 vaccine, Seattle, blood clotting","['Johnson & Johnson COVID-19 vaccine', ' Seattle', ' blood clotting']",3.0,17,en,83,83_vaccine_vaccination_nurse_covid
50411,56786,7157,919,http://data.gesis.org/claimskg/creative_work/ebde9b07-43dc-5f96-83da-3ee8d9057bd2,"A post shared on Facebook claims Tiffany Dover, a Tennessee nurse manager who fainted after receiving her first COVID-19 vaccine dose, has died.",checkyourfact,English,FALSE,1,"COVID-19 vaccine, Facebook, Tennessee nurse","['COVID-19 vaccine', ' Facebook', ' Tennessee nurse']",3.0,23,en,83,83_vaccine_vaccination_nurse_covid
51290,57670,6581,343,http://data.gesis.org/claimskg/creative_work/12364133-2569-5efb-a403-6ffb634ee83e,A post shared on Facebook over 200 times claims a nurse in Alabama died shortly after receiving a COVID-19 vaccine.,checkyourfact,English,FALSE,1,"Alabama, COVID-19 vaccine, Facebook","['Alabama', ' COVID-19 vaccine', ' Facebook']",3.0,20,en,83,83_vaccine_vaccination_nurse_covid
51317,57697,15513,4165,http://data.gesis.org/claimskg/creative_work/10cd53b0-e174-585d-b631-693efed22133,A woman died from Pfizer-BioNTech Covid-19 vaccine in Japan,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Japan, Pfizer-BioNTech","['Covid-19 vaccine', ' Japan', ' Pfizer-BioNTech']",3.0,9,en,83,83_vaccine_vaccination_nurse_covid
56287,62753,76273,1926,http://data.gesis.org/claimskg/creative_work/eed6f2e0-c4f2-5d69-a9f8-02d27323c746,Pfizer's COVID-19 vaccine caused the death of Florida doctor Gregory Michael.,snopes,English,OTHER,-1,"COVID-19 vaccine, Florida, Gregory Michael, Pfizer","['COVID-19 vaccine', ' Florida', ' Gregory Michael', ' Pfizer']",4.0,11,en,83,83_vaccine_vaccination_nurse_covid
61893,68614,73780,2494,http://data.gesis.org/claimskg/creative_work/dd1040f6-2293-55bd-9419-586e07e6d8c9,Infectious disease expert Dr. Rajendra Kapila died from COVID-19 after receiving both doses of the Pfizer vaccine.,snopes,English,MIXTURE,2,"COVID-19, Dr., Infectious disease, Pfizer, vaccine","['COVID-19', ' Dr.', ' Infectious disease', ' Pfizer', ' vaccine']",5.0,17,en,83,83_vaccine_vaccination_nurse_covid
