Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
4865,9028,64603,2574,http://data.gesis.org/claimskg/creative_work/3fe80ddc-148d-50e8-a797-f444ea4fa313,Workers at the Corona brewery urinate into the beer.,snopes,English,False,1,,,0.0,9,en,84,84_budweiser_corona_beer_budlightvirus
12126,16483,44478,5651,http://data.gesis.org/claimskg/creative_work/33194d7d-386e-54b5-baf5-bf2c69bcaba0,Poll Finds 38% of Americans Say They Will Not Drink Corona Beer Because of Virus.,politifact,English,False,1,Corona,['Corona'],1.0,15,en,84,84_budweiser_corona_beer_budlightvirus
19650,24544,2708,2708,http://data.gesis.org/claimskg/creative_work/cafae93e-7039-5387-9469-f8a6a7f2ba0c,"Yes, 103-year-old woman beat coronavirus – then had a celebratory beer",africacheck,English,TRUE,3,year-old,['year-old'],1.0,11,en,84,84_budweiser_corona_beer_budlightvirus
22302,27429,24001,2456,http://data.gesis.org/claimskg/creative_work/22a2dc7b-5afa-5bf6-a553-a81549fb8e6e,Wetherspoons is offering a meal for two with drinks voucher to celebrate the lifting of Covid restrictions.,fullfact,English,FALSE,1,Wetherspoons,['Wetherspoons'],1.0,17,en,84,84_budweiser_corona_beer_budlightvirus
29505,34795,71685,399,http://data.gesis.org/claimskg/creative_work/11e3c70b-a952-5fe7-9c55-1cd7907e722b,"The entire state of Connecticut is offering free drinks to anyone who gets the COVID-19 vaccine, starting May 19, 2021.",snopes,English,MIXTURE,2,"COVID-19 vaccine, state of Connecticut","['COVID-19 vaccine', ' state of Connecticut']",2.0,20,en,84,84_budweiser_corona_beer_budlightvirus
30917,36220,74606,259,http://data.gesis.org/claimskg/creative_work/99d58da1-275d-5259-9074-fd3c50b98479,Bartender's wager led to the custom of adding a lime wedge to Corona beer.,snopes,English,OTHER,-1,"Corona, lime","['Corona', ' lime']",2.0,14,en,84,84_budweiser_corona_beer_budlightvirus
35066,40407,66064,4035,http://data.gesis.org/claimskg/creative_work/4ff6cf27-5320-5d32-85f4-99ab63e9b815,Starbucks is giving away $100 coupons for use in its cafes during the coronavirus pandemic.,snopes,English,False,1,"Starbucks, coronavirus pandemic","['Starbucks', ' coronavirus pandemic']",2.0,15,en,84,84_budweiser_corona_beer_budlightvirus
40550,46324,29705,558,http://data.gesis.org/claimskg/creative_work/966a534e-774f-5bf2-afe0-3f8c99ef4e7b,Corona beer offers $10 million to change the name Coronavirus to literally anything else and an extra $15 million to change it to BudLightvirus.,truthorfiction,English,FALSE,1,"Corona, Coronavirus","['Corona', ' Coronavirus']",2.0,24,en,84,84_budweiser_corona_beer_budlightvirus
44431,50481,60224,2064,http://data.gesis.org/claimskg/creative_work/ffaf083b-2ece-57ae-9df6-56a868cce20b,Anheuser-Busch will give away free beer when 70% of the nation's adults have had at least one COVID-19 vaccine shot.,snopes,English,True,3,"Anheuser-Busch, COVID-19 vaccine, free beer","['Anheuser-Busch', ' COVID-19 vaccine', ' free beer']",3.0,20,en,84,84_budweiser_corona_beer_budlightvirus
45179,51298,32091,2944,http://data.gesis.org/claimskg/creative_work/3ab3a573-1068-5027-9f2a-b52ea849694c,A full 38 percent of Americans won't drink Corona beer under any circumstances in February 2020 because they fear coronavirus.,truthorfiction,English,MIXTURE,2,"38 percent, Corona, coronavirus","['38 percent', ' Corona', ' coronavirus']",3.0,20,en,84,84_budweiser_corona_beer_budlightvirus
45477,51625,62569,540,http://data.gesis.org/claimskg/creative_work/7c4f19c7-b687-530c-b430-6126dc9ee61a,Sales of Corona beer dropped sharply in early 2020 because consumers mistakenly associated the brand name with the new coronavirus.,snopes,English,False,1,"2020, Corona, coronavirus","['2020', ' Corona', ' coronavirus']",3.0,20,en,84,84_budweiser_corona_beer_budlightvirus
54076,60472,59292,1132,http://data.gesis.org/claimskg/creative_work/7629853a-21af-5985-81a7-9f003b899677,Budweiser is giving away a free beer to people who can prove they are vaccinated against COVID-19.,snopes,English,True,3,"Budweiser, COVID-19, free beer","['Budweiser', ' COVID-19', ' free beer']",3.0,17,en,84,84_budweiser_corona_beer_budlightvirus
56419,62897,59004,844,http://data.gesis.org/claimskg/creative_work/75cf9bc5-0fa0-5150-a27a-a18ac0e14e1f,"As the pandemic pressed on into the first month of 2021, Budweiser manufacturer Anheuser-Busch announced it would forgo Super Bowl advertising and allocate funding to COVID-19 vaccination awareness and education instead.",snopes,English,True,3,"Anheuser-Busch, Budweiser, COVID-19 vaccination, Super Bowl advertising","['Anheuser-Busch', ' Budweiser', ' COVID-19 vaccination', ' Super Bowl advertising']",4.0,31,en,84,84_budweiser_corona_beer_budlightvirus
59429,65999,9322,3084,http://data.gesis.org/claimskg/creative_work/8493d92a-819a-5328-9001-1c3e6477f2bc,"An image shared on Facebook more than 1,600 times allegedly shows a letter from Saint Luke’s Hospital in Kansas City, Missouri, saying that alcohol consumption may reduce the risk of contracting COVID-19.",checkyourfact,English,FALSE,1,"Facebook, Kansas City, Missouri, contracting COVID-19","['Facebook', ' Kansas City', ' Missouri', ' contracting COVID-19']",4.0,32,en,84,84_budweiser_corona_beer_budlightvirus
61347,68050,7220,982,http://data.gesis.org/claimskg/creative_work/666eb457-03bc-5611-8f99-3120d1f3af8d,The Daily Mail published an article Feb. 28 with the headline claiming a survey found 38 percent of Americans won’t drink Corona beer as coronavirus fear sparks Corona BEER boycott.,checkyourfact,English,FALSE,1,"38 percent, Corona, coronavirus, published an article","['38 percent', ' Corona', ' coronavirus', ' published an article']",4.0,30,en,84,84_budweiser_corona_beer_budlightvirus
