Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
26790,32056,11226,112,http://data.gesis.org/claimskg/creative_work/0a58e9b7-c7d8-5c66-92e3-1cebf34d4253,Sputnik-V vaccine is only available in 5 of the 85 regions in Russia,eufactcheck,English,MIXTURE,2,"Russia, Sputnik-V vaccine","['Russia', ' Sputnik-V vaccine']",2.0,13,en,85,85_vaccine_vaccinations_russia_russian
37158,42560,15906,4558,http://data.gesis.org/claimskg/creative_work/d3349e08-812d-5a03-95f2-39b71a439f1f,Image shows Russian President with his daughter after she received the COVID-19 vaccine,factcheck_afp,English,FALSE,1,"COVID-19 vaccine, Russian President","['COVID-19 vaccine', ' Russian President']",2.0,13,en,85,85_vaccine_vaccinations_russia_russian
48660,54927,45850,7023,http://data.gesis.org/claimskg/creative_work/03c3ebd3-0f99-56c6-abb5-7694b7607742,President Putin bans mandatory vaccinations in Russia.,politifact,English,False,1,"President Putin, Russia, mandatory vaccinations","['President Putin', ' Russia', ' mandatory vaccinations']",3.0,7,en,85,85_vaccine_vaccinations_russia_russian
51984,58369,8705,2467,http://data.gesis.org/claimskg/creative_work/08a3eea8-935b-5c32-ba3d-cbba696a7be4,An image shared on Facebook purportedly shows a press release from the Russian Embassy in Kenya talking about three companies overpricing Sputnik V COVID-19 vaccines in Kenya.,checkyourfact,English,FALSE,1,"COVID-19 vaccines, Facebook, Kenya","['COVID-19 vaccines', ' Facebook', ' Kenya']",3.0,27,en,85,85_vaccine_vaccinations_russia_russian
54940,61354,59111,951,http://data.gesis.org/claimskg/creative_work/9b57796a-7e11-5097-ac61-ffda998920c4,A Russian health official recommended that people being vaccinated with Russia's Sputnik V Covid-19 vaccine abstain from drinking for two weeks before the first shot and 42 days after it.,snopes,English,True,3,"42 days, Russia, Sputnik V Covid-19 vaccine","['42 days', ' Russia', ' Sputnik V Covid-19 vaccine']",3.0,30,en,85,85_vaccine_vaccinations_russia_russian
56827,63325,28578,620,http://data.gesis.org/claimskg/creative_work/21ffcaf7-cbf2-55c4-bf00-e9acacc256b1,Russian Embassy Distorts Story About Anti-Vaccine Disinformation,polygraph,English,FALSE,1,"Anti-Vaccine, Disinformation, Russian Embassy, Story","['Anti-Vaccine', ' Disinformation', ' Russian Embassy', ' Story']",4.0,7,en,85,85_vaccine_vaccinations_russia_russian
57258,63762,28399,441,http://data.gesis.org/claimskg/creative_work/ebd0407c-1952-564c-97fc-07b8e1a39c01,Putin’s Baseless Brag About Russian COVID-19 Vaccine,polygraph,English,FALSE,1,"Brag, COVID-19 Vaccine, Putin, Russian","['Brag', ' COVID-19 Vaccine', ' Putin', ' Russian']",4.0,7,en,85,85_vaccine_vaccinations_russia_russian
60703,67370,76237,1890,http://data.gesis.org/claimskg/creative_work/921ee9a7-43f9-5fb8-bf67-1e563658f89d,Russian president Vladimir Putin slammed Western countries for using GMOs and vaccines that slow evolution.,snopes,English,OTHER,-1,"GMOs, Russian president Vladimir Putin, Western, slow evolution","['GMOs', ' Russian president Vladimir Putin', ' Western', ' slow evolution']",4.0,15,en,85,85_vaccine_vaccinations_russia_russian
61171,67867,11212,98,http://data.gesis.org/claimskg/creative_work/429a85dd-d80f-58d9-b13a-b0d6347f2873,European Commission will finance the development of media literacy of the Russians in a context of pandemic,eufactcheck,English,TRUE,3,"European Commission, Russians, media literacy, pandemic","['European Commission', ' Russians', ' media literacy', ' pandemic']",4.0,17,en,85,85_vaccine_vaccinations_russia_russian
63504,70373,28319,361,http://data.gesis.org/claimskg/creative_work/816b9d4a-9dfc-50b6-a2c0-0d2c08ec3b74,Russia’s Sputnik V Skews Stats to Falsely Trash Pfizer Vaccine,polygraph,English,FALSE,1,"Pfizer Vaccine, Russia’s, Sputnik, Stats, Trash","['Pfizer Vaccine', ' Russia’s', ' Sputnik', ' Stats', ' Trash']",5.0,10,en,85,85_vaccine_vaccinations_russia_russian
63529,70398,28362,404,http://data.gesis.org/claimskg/creative_work/8f353f94-7c24-5cdb-b3ae-04d53ca6fb99,Putin’s Flack Misleads on Russian Vaccine Phobia,polygraph,English,MIXTURE,2,"Flack, Phobia, Putin, Russian, Vaccine","['Flack', ' Phobia', ' Putin', ' Russian', ' Vaccine']",5.0,7,en,85,85_vaccine_vaccinations_russia_russian
64283,71182,29057,1099,http://data.gesis.org/claimskg/creative_work/fd54f674-b09e-5f4e-8b0c-f005b77b6eba,Putin’s Man in Ukraine Pushes Unproven Russian COVID-19 Vaccine,polygraph,English,FALSE,1,"COVID-19 Vaccine, Man, Putin, Russian, Ukraine","['COVID-19 Vaccine', ' Man', ' Putin', ' Russian', ' Ukraine']",5.0,9,en,85,85_vaccine_vaccinations_russia_russian
65504,72493,28475,517,http://data.gesis.org/claimskg/creative_work/62cb919d-743d-501a-8592-56c2322d1f68,More Russian Disinfo: Security Chief Blasts U.S. For ‘Selfish’ Vaccine Policy,polygraph,English,MIXTURE,2,"Disinfo, Policy, Russian, Security Chief, Selfish, U.S, Vaccine","['Disinfo', ' Policy', ' Russian', ' Security Chief', ' Selfish', ' U.S', ' Vaccine']",7.0,11,en,85,85_vaccine_vaccinations_russia_russian
65508,72497,28556,598,http://data.gesis.org/claimskg/creative_work/bd56dc22-5ac6-5e1c-a23f-d94ce1f60ad4,Developer of Russia’s Sputnik V Falsely Claims that ‘the West’ is Foot-Dragging on a Vaccine,polygraph,English,FALSE,1,"Claims, Developer, Foot, Russia’s, Sputnik, Vaccine, West","['Claims', ' Developer', ' Foot', ' Russia’s', ' Sputnik', ' Vaccine', ' West']",7.0,15,en,85,85_vaccine_vaccinations_russia_russian
65646,72643,28186,228,http://data.gesis.org/claimskg/creative_work/2b7f55fd-12df-5707-8285-52ccf3d1ab9c,"Amid Impeachment Furor, Bolsonaro Misleads With Boasts of Vaccine 'Success'",polygraph,English,MIXTURE,2,"Amid, Boasts, Bolsonaro, Furor, Impeachment, Success, Vaccine","['Amid', ' Boasts', ' Bolsonaro', ' Furor', ' Impeachment', ' Success', ' Vaccine']",7.0,10,en,85,85_vaccine_vaccinations_russia_russian
