Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2648,4740,26359,4814,http://data.gesis.org/claimskg/creative_work/81197c4b-4a82-5157-8a73-d7f91dc11bc0,"In 2008, US children got 36 vaccines and the autism rate was 1 in 150.",fullfact,English,OTHER,-1,,,0.0,15,en,87,87_autism_vaccine_vaccines_vaccinate
3081,5434,25290,3745,http://data.gesis.org/claimskg/creative_work/c5782091-1617-58c3-9dce-d468b7a820b9,"In 1983, US children got 10 vaccines and the autism rate was 1 in 10,000.",fullfact,English,OTHER,-1,,,0.0,15,en,87,87_autism_vaccine_vaccines_vaccinate
3689,6048,23683,2138,http://data.gesis.org/claimskg/creative_work/1df04b66-5c54-54d0-9fb3-dc8b45069334,"In 2013, US children got 46 vaccines and the autism rate was 1 in 88.",fullfact,English,OTHER,-1,,,0.0,15,en,87,87_autism_vaccine_vaccines_vaccinate
9647,13986,24902,3357,http://data.gesis.org/claimskg/creative_work/10bfa877-462e-59da-b76f-9837f2a92881,Increasing numbers of vaccines are associated with increasing rates of autism.,fullfact,English,OTHER,-1,autism,['autism'],1.0,11,en,87,87_autism_vaccine_vaccines_vaccinate
21481,26473,7725,1487,http://data.gesis.org/claimskg/creative_work/8c943035-a63b-5327-91d1-d5cd11ca175e,A video that received almost 8 million views on Facebook claimed that the mercury in vaccines causes autism.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,18,en,87,87_autism_vaccine_vaccines_vaccinate
36629,42005,37006,694,http://data.gesis.org/claimskg/creative_work/a70715a4-de9d-5894-b0c4-a7266506364c,Science is very certain that the measles vaccine doesn't cause autism.,politifact,English,True,3,"autism, measles vaccine","['autism', ' measles vaccine']",2.0,11,en,87,87_autism_vaccine_vaccines_vaccinate
40213,45898,32423,173,http://data.gesis.org/claimskg/creative_work/6f8c1bd9-408c-5047-b14b-81071e6ff4a9,Courts have quietly confirmed MMR vaccine causes autism,Vishvanews,English,FALSE,1,"MMR vaccine, autism","['MMR vaccine', ' autism']",2.0,8,en,87,87_autism_vaccine_vaccines_vaccinate
41183,47063,41477,2650,http://data.gesis.org/claimskg/creative_work/49f1aaa3-f478-58e0-b30b-9920740eedeb,Courts have quietly confirmed that the MMR vaccine causes autism.,politifact,English,False,1,"MMR vaccine, autism","['MMR vaccine', ' autism']",2.0,10,en,87,87_autism_vaccine_vaccines_vaccinate
41245,47125,43247,4420,http://data.gesis.org/claimskg/creative_work/4494848d-2d79-5dc1-a334-97fba4b45b2f,Now it’s official: FDA announced that vaccines are causing autism.,politifact,English,False,1,"FDA, autism","['FDA', ' autism']",2.0,10,en,87,87_autism_vaccine_vaccines_vaccinate
43176,49147,67317,5288,http://data.gesis.org/claimskg/creative_work/4d9fba63-9cc2-525b-b7ba-7bec231283c8,The Amish don’t get autism because they do not vaccinate their children.,snopes,English,False,1,"Amish, autism, vaccinate their children","['Amish', ' autism', ' vaccinate their children']",3.0,12,en,87,87_autism_vaccine_vaccines_vaccinate
44207,50253,42280,3453,http://data.gesis.org/claimskg/creative_work/999e836e-0d70-52ef-918d-618f989810c5,"As the number of vaccines administered to children has increased in the United States, so has the autism rate.",politifact,English,False,1,"autism, increased in the United States, number of vaccines","['autism', ' increased in the United States', ' number of vaccines']",3.0,19,en,87,87_autism_vaccine_vaccines_vaccinate
58946,65487,62575,546,http://data.gesis.org/claimskg/creative_work/14edea34-2a32-55e9-8270-06390d7fcd4e,Data suppressed by the CDC proved that the MMR vaccine produces a 340% increased risk of autism in African-American boys.,snopes,English,False,1,"African-American, CDC, MMR vaccine, risk of autism","['African-American', ' CDC', ' MMR vaccine', ' risk of autism']",4.0,20,en,87,87_autism_vaccine_vaccines_vaccinate
64547,71460,64505,2476,http://data.gesis.org/claimskg/creative_work/ad3c5815-2638-5708-86f0-9433fb4c5af4,"Autism has now been included among the known side effects of the DTaP (Diphtheria, Tetanus, and acellular Pertussis) vaccine.",snopes,English,False,1,"Autism, DTaP, Diphtheria, Tetanus, acellular Pertussis, vaccine","['Autism', ' DTaP', ' Diphtheria', ' Tetanus', ' acellular Pertussis', ' vaccine']",6.0,19,en,87,87_autism_vaccine_vaccines_vaccinate
64964,71902,29445,298,http://data.gesis.org/claimskg/creative_work/6df29aea-97c1-5560-ba77-bda3c2cc3b24,"The FDA published conclusive proof in November 2017 that the Diphtheria, Tetanus, Pertussis (DTaP) vaccine causes autism .",truthorfiction,English,FALSE,1,"DTaP, Diphtheria, FDA, Pertussis, Tetanus, autism","['DTaP', ' Diphtheria', ' FDA', ' Pertussis', ' Tetanus', ' autism']",6.0,18,en,87,87_autism_vaccine_vaccines_vaccinate
