Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2753,4846,22526,981,http://data.gesis.org/claimskg/creative_work/010a778d-457e-5980-9a0f-0abf77cb0f81,The vaccines aren’t safe during or prior to pregnancy.,fullfact,English,FALSE,1,,,0.0,9,en,88,88_vaccines_vaccine_unprotected_pfizer
9384,13721,72965,1679,http://data.gesis.org/claimskg/creative_work/0c16a548-85c3-5716-bf05-25520b1353b6,Health experts warned that pregnant women should avoid COVID-19 vaccines.,snopes,English,MIXTURE,2,COVID-19 vaccines,['COVID-19 vaccines'],1.0,10,en,88,88_vaccines_vaccine_unprotected_pfizer
15005,19393,47861,9034,http://data.gesis.org/claimskg/creative_work/72763c47-944c-5e37-b407-98cde46fe188,Officials recommend that women who get one of these (COVID-19) shots should absolutely not get pregnant for at least the first two months after they’ve been injected.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,27,en,88,88_vaccines_vaccine_unprotected_pfizer
22637,27775,24213,2668,http://data.gesis.org/claimskg/creative_work/40602bcf-31cb-59eb-b96c-9b9fad49c4c9,mRNA vaccines are not recommended for pregnant women or those who are breastfeeding.,fullfact,English,OTHER,-1,pregnant women,['pregnant women'],1.0,13,en,88,88_vaccines_vaccine_unprotected_pfizer
29669,34960,2110,2110,http://data.gesis.org/claimskg/creative_work/b71f9f69-94ca-5afc-8afc-ed50503967d7,"No, Pfizer hasn’t warned that Covid vaccine carries risk of ‘births defects due to genetic manipulation’",africacheck,English,FALSE,1,"Pfizer, genetic manipulation","['Pfizer', ' genetic manipulation']",2.0,16,en,88,88_vaccines_vaccine_unprotected_pfizer
33033,38355,62033,4,http://data.gesis.org/claimskg/creative_work/9fc89728-a6d6-5f41-91e8-393ffeced7f8,The CDC has recommended mothers stop breastfeeding in order to increase the efficacy of vaccines.,snopes,English,False,1,"CDC, breastfeeding","['CDC', ' breastfeeding']",2.0,15,en,88,88_vaccines_vaccine_unprotected_pfizer
37012,42407,17267,5919,http://data.gesis.org/claimskg/creative_work/7d0ef848-4125-5c20-b9b0-402054ceb543,Pfizer Covid-19 vaccine is not safe for pregnant women,factcheck_afp,English,OTHER,-1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,9,en,88,88_vaccines_vaccine_unprotected_pfizer
39310,44844,24439,2894,http://data.gesis.org/claimskg/creative_work/35eaea01-2eb8-5ac3-b0ba-9d5dd123ee93,"Vaccines are incompatible with human life, and being vaccinated while pregnant or breastfeeding may be unsafe.",fullfact,English,FALSE,1,"breastfeeding, human life","['breastfeeding', ' human life']",2.0,16,en,88,88_vaccines_vaccine_unprotected_pfizer
39381,44916,24122,2577,http://data.gesis.org/claimskg/creative_work/3bc4166f-0171-5247-90ab-ac2a598a449c,A new Pfizer document shows the company admitting its Covid-19 vaccine is not safe for use in pregnancy or breastfeeding.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,20,en,88,88_vaccines_vaccine_unprotected_pfizer
43922,49966,47028,8201,http://data.gesis.org/claimskg/creative_work/15a2a04f-77e5-5b01-a978-8052a8881be6,Head of Pfizer research: Covid vaccine is female sterilization.,politifact,English,False,1,"Pfizer, female sterilization, vaccine","['Pfizer', ' female sterilization', ' vaccine']",3.0,9,en,88,88_vaccines_vaccine_unprotected_pfizer
47452,53633,25927,4382,http://data.gesis.org/claimskg/creative_work/040bad73-d451-5ae5-8ca4-e84ab70c34dc,There is a discrepancy between information on Pfizer’s website and patient information leaflet and official government advice for pregnant women thinking about getting the Covid-19 vaccine.,fullfact,English,TRUE,3,"Covid-19 vaccine, Pfizer, pregnant women","['Covid-19 vaccine', ' Pfizer', ' pregnant women']",3.0,26,en,88,88_vaccines_vaccine_unprotected_pfizer
48220,54436,29712,565,http://data.gesis.org/claimskg/creative_work/c9e062dc-0216-5627-b2a7-1f1fe460c6f0,The Centers for Disease Control and Prevention (CDC) has advised young mothers to delay breastfeeding because studies show that it could make vaccines less effective for their babies.,truthorfiction,English,FALSE,1,"CDC, Centers for Disease Control and Prevention, breastfeeding","['CDC', ' Centers for Disease Control and Prevention', ' breastfeeding']",3.0,28,en,88,88_vaccines_vaccine_unprotected_pfizer
60053,66687,23548,2003,http://data.gesis.org/claimskg/creative_work/0cac53a5-77c3-5e5a-9279-5181bbcf6137,You are not meant to have unprotected sex after a second dose of the Pfizer Covid-19 vaccine as it could cause birth defects due to genetic manipulation.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer, birth defects, genetic manipulation","['Covid-19 vaccine', ' Pfizer', ' birth defects', ' genetic manipulation']",4.0,27,en,88,88_vaccines_vaccine_unprotected_pfizer
64525,71436,63487,1458,http://data.gesis.org/claimskg/creative_work/f4905920-83b1-5a7a-9fc7-e5a6757fbfa6,Pfizer vaccine page 132 warns not to have unprotected sex for 28 days after the second dose of the COVID-19 vaccine because genetic manipulation may cause birth defects.,snopes,English,False,1,"28 days, COVID-19 vaccine, Pfizer vaccine, birth defects, genetic manipulation, unprotected sex","['28 days', ' COVID-19 vaccine', ' Pfizer vaccine', ' birth defects', ' genetic manipulation', ' unprotected sex']",6.0,28,en,88,88_vaccines_vaccine_unprotected_pfizer
