Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
11095,15444,27060,5515,http://data.gesis.org/claimskg/creative_work/d22c34db-c386-5ac7-bc12-96d0f6146acc,There are more flu vaccines available than ever before.,fullfact,English,FALSE,1,flu vaccines,['flu vaccines'],1.0,9,en,89,89_vaccine_influenza_flu_vaccinations
19759,24679,16218,4870,http://data.gesis.org/claimskg/creative_work/c4706b4c-a00f-5e50-98ae-d44decd5101b,Flu vaccine makes recipients more vulnerable to infections and the first to die during pandemic,factcheck_afp,English,FALSE,1,Flu vaccine,['Flu vaccine'],1.0,15,en,89,89_vaccine_influenza_flu_vaccinations
28776,34061,11394,46,http://data.gesis.org/claimskg/creative_work/3cf71a96-bb4d-56c2-a4a7-162bc45c7bc8,Flu vaccine raises risk of coronavirus infection,factcheck_afp,English,OTHER,-1,"Flu vaccine, coronavirus infection","['Flu vaccine', ' coronavirus infection']",2.0,7,en,89,89_vaccine_influenza_flu_vaccinations
32697,38017,5676,5676,http://data.gesis.org/claimskg/creative_work/cda06a6d-fc02-57bd-8d47-d540f5a55cca,"Plenty of evidence Spanish Flu caused by a virus, not an ‘experimental bacterial vaccine’",africacheck,English,FALSE,1,"Spanish Flu, vaccine","['Spanish Flu', ' vaccine']",2.0,14,en,89,89_vaccine_influenza_flu_vaccinations
41056,46936,13298,1950,http://data.gesis.org/claimskg/creative_work/5703ba7c-672f-5d53-ac43-d417fc6a066b,Flu vaccine will give you coronavirus,factcheck_afp,English,FALSE,1,"Flu vaccine, coronavirus","['Flu vaccine', ' coronavirus']",2.0,6,en,89,89_vaccine_influenza_flu_vaccinations
41945,47840,41318,2491,http://data.gesis.org/claimskg/creative_work/f7bbe2ae-9ab7-536b-9279-d0529db9e756,New study: The flu vaccine is 'significantly associated' with an increased risk of coronavirus,politifact,English,False,1,"coronavirus, flu vaccine","['coronavirus', ' flu vaccine']",2.0,14,en,89,89_vaccine_influenza_flu_vaccinations
42212,48111,12905,1557,http://data.gesis.org/claimskg/creative_work/49897369-6c16-5174-86d3-797c945d49be,Flu vaccine is more deadly than coronavirus,factcheck_afp,English,FALSE,1,"Flu vaccine, coronavirus","['Flu vaccine', ' coronavirus']",2.0,7,en,89,89_vaccine_influenza_flu_vaccinations
42876,48822,65177,3148,http://data.gesis.org/claimskg/creative_work/930e0105-03ff-5a12-a689-6037126fb80c,The U.S. Department of Justice admitted that the flu shot is the most dangerous vaccine in America.,snopes,English,False,1,"U.S. Department of Justice, flu shot, vaccine","['U.S. Department of Justice', ' flu shot', ' vaccine']",3.0,17,en,89,89_vaccine_influenza_flu_vaccinations
47491,53672,75017,670,http://data.gesis.org/claimskg/creative_work/c3756efb-660c-5668-a170-9230306e022a,"FluMist, a flu vaccine delivered as a nasal mist, poses a greater risk to the public than the flu virus itself.",snopes,English,OTHER,-1,"FluMist, flu vaccine, flu virus","['FluMist', ' flu vaccine', ' flu virus']",3.0,21,en,89,89_vaccine_influenza_flu_vaccinations
49419,55772,71958,672,http://data.gesis.org/claimskg/creative_work/f9a0ab51-db38-5662-9ca5-a08046060db1,A Johns Hopkins scientist issued a blistering report on flu vaccine dangers in the British Medical Journal.,snopes,English,MIXTURE,2,"British Medical Journal, Johns Hopkins, flu vaccine","['British Medical Journal', ' Johns Hopkins', ' flu vaccine']",3.0,17,en,89,89_vaccine_influenza_flu_vaccinations
49894,56260,70935,8906,http://data.gesis.org/claimskg/creative_work/569cdca6-2868-5aea-8dcd-af5cdda8e866,A Centers for Disease Control and Prevention doctor said the flu vaccine is causing the deadly flu epidemic.,snopes,English,False,1,"Centers for Disease Control and Prevention, flu epidemic, flu vaccine","['Centers for Disease Control and Prevention', ' flu epidemic', ' flu vaccine']",3.0,18,en,89,89_vaccine_influenza_flu_vaccinations
50653,57029,55033,7163,http://data.gesis.org/claimskg/creative_work/1c4c81f2-fb4e-558c-96a4-74f371baa370,Coronavirus vaccinations seem to be causing 50 times the adverse events of flu vaccinations after just the first of two shots.,politifact,English,MIXTURE,2,"Coronavirus vaccinations, adverse events, flu","['Coronavirus vaccinations', ' adverse events', ' flu']",3.0,21,en,89,89_vaccine_influenza_flu_vaccinations
52947,59334,14623,3275,http://data.gesis.org/claimskg/creative_work/e576ae5d-8237-52a7-90e2-628c684b0518,Experimental bacterial meningitis vaccine caused the 1918 Spanish Flu outbreak,factcheck_afp,English,FALSE,1,"1918 Spanish Flu, bacterial meningitis, vaccine","['1918 Spanish Flu', ' bacterial meningitis', ' vaccine']",3.0,10,en,89,89_vaccine_influenza_flu_vaccinations
62499,69230,68414,6385,http://data.gesis.org/claimskg/creative_work/e9551790-2923-5298-adea-c282c963d829,The death from influenza of eight mostly vaccinated people over 65 in California's Santa Barbara County during the 2017-2018 flu season proves that you shouldn’t get the flu shot.,snopes,English,False,1,"2017-2018, flu season, flu shot, influenza, vaccinated people","['2017-2018', ' flu season', ' flu shot', ' influenza', ' vaccinated people']",5.0,29,en,89,89_vaccine_influenza_flu_vaccinations
